hs6,bec4,bec_description,is_capital
711810,7,Goods not elsewhere specified,FALSE
871000,7,Goods not elsewhere specified,FALSE
880400,7,Goods not elsewhere specified,FALSE
880510,7,Goods not elsewhere specified,FALSE
880521,7,Goods not elsewhere specified,FALSE
880529,7,Goods not elsewhere specified,FALSE
890610,7,Goods not elsewhere specified,FALSE
890690,7,Goods not elsewhere specified,FALSE
930111,7,Goods not elsewhere specified,FALSE
930119,7,Goods not elsewhere specified,FALSE
930120,7,Goods not elsewhere specified,FALSE
930190,7,Goods not elsewhere specified,FALSE
930200,7,Goods not elsewhere specified,FALSE
930510,7,Goods not elsewhere specified,FALSE
930591,7,Goods not elsewhere specified,FALSE
930599,7,Goods not elsewhere specified,FALSE
930621,7,Goods not elsewhere specified,FALSE
930629,7,Goods not elsewhere specified,FALSE
930630,7,Goods not elsewhere specified,FALSE
930690,7,Goods not elsewhere specified,FALSE
930700,7,Goods not elsewhere specified,FALSE
050100,21,Primary,FALSE
050210,21,Primary,FALSE
050290,21,Primary,FALSE
050400,21,Primary,FALSE
050510,21,Primary,FALSE
050590,21,Primary,FALSE
050610,21,Primary,FALSE
050690,21,Primary,FALSE
050710,21,Primary,FALSE
050790,21,Primary,FALSE
050800,21,Primary,FALSE
051000,21,Primary,FALSE
051110,21,Primary,FALSE
051191,21,Primary,FALSE
051199,21,Primary,FALSE
060110,21,Primary,FALSE
060120,21,Primary,FALSE
060210,21,Primary,FALSE
060220,21,Primary,FALSE
060230,21,Primary,FALSE
060240,21,Primary,FALSE
060290,21,Primary,FALSE
100400,21,Primary,FALSE
100510,21,Primary,FALSE
100590,21,Primary,FALSE
120400,21,Primary,FALSE
120791,21,Primary,FALSE
120799,21,Primary,FALSE
120910,21,Primary,FALSE
120921,21,Primary,FALSE
120922,21,Primary,FALSE
120923,21,Primary,FALSE
120924,21,Primary,FALSE
120925,21,Primary,FALSE
120929,21,Primary,FALSE
120930,21,Primary,FALSE
120991,21,Primary,FALSE
120999,21,Primary,FALSE
121120,21,Primary,FALSE
121130,21,Primary,FALSE
121140,21,Primary,FALSE
121190,21,Primary,FALSE
121220,21,Primary,FALSE
121300,21,Primary,FALSE
121410,21,Primary,FALSE
121490,21,Primary,FALSE
130120,21,Primary,FALSE
130190,21,Primary,FALSE
130211,21,Primary,FALSE
130212,21,Primary,FALSE
