year,arrivals_eur,dispatches_eur,extended_eur,source,break_flag
2000,,,,UNKNOWN -- pre-2016 NBB newsletters not on public archive,
2001,,,,UNKNOWN -- pre-2016 NBB newsletters not on public archive,
2002,,,,UNKNOWN -- pre-2016 NBB newsletters not on public archive,
2003,,,,UNKNOWN -- pre-2016 NBB newsletters not on public archive,
2004,,,,UNKNOWN -- pre-2016 NBB newsletters not on public archive,
2005,,,,UNKNOWN -- pre-2016 NBB newsletters not on public archive,
2006,,,,UNKNOWN -- pre-2016 NBB newsletters not on public archive,
2007,,,,UNKNOWN -- pre-2016 NBB newsletters not on public archive,
2008,,,,UNKNOWN -- pre-2016 NBB newsletters not on public archive,
2009,,,,UNKNOWN -- pre-2016 NBB newsletters not on public archive,
2010,,,,UNKNOWN -- pre-2016 NBB newsletters not on public archive,
2011,,,,UNKNOWN -- pre-2016 NBB newsletters not on public archive,
2012,,,,UNKNOWN -- pre-2016 NBB newsletters not on public archive,
2013,,,,UNKNOWN -- pre-2016 NBB newsletters not on public archive,
2014,,,,UNKNOWN -- pre-2016 NBB newsletters not on public archive,
2015,,,,UNKNOWN -- pre-2016 NBB newsletters not on public archive,
2016,1500000,1e+06,2.5e+07,NBB newsletter (verified),FALSE
2017,1500000,1e+06,2.5e+07,NBB newsletter (verified),FALSE
2018,1500000,1e+06,2.5e+07,NBB newsletter (verified),FALSE
2019,1500000,1e+06,2.5e+07,NBB newsletter (verified),FALSE
2020,1500000,1e+06,2.5e+07,NBB newsletter (verified),FALSE
2021,1500000,1e+06,2.5e+07,NBB newsletter (verified),FALSE
2022,1500000,1e+06,2.5e+07,NBB newsletter (verified),FALSE
2023,1500000,1e+06,2.5e+07,NBB newsletter (verified),FALSE
2024,1500000,1e+06,2.5e+07,NBB newsletter (verified),FALSE
2025,1500000,1e+06,2.5e+07,NBB newsletter (verified),FALSE
2026,1500000,1e+06,2.5e+07,NBB newsletter (verified),FALSE
