cn8,hs2,hs4,hs6,is_ets,is_cbam,is_regulated,exists_2014
01011010,01,0101,010110,FALSE,FALSE,FALSE,FALSE
01011090,01,0101,010110,FALSE,FALSE,FALSE,FALSE
01011100,01,0101,010111,FALSE,FALSE,FALSE,FALSE
01011910,01,0101,010119,FALSE,FALSE,FALSE,FALSE
01011990,01,0101,010119,FALSE,FALSE,FALSE,FALSE
01012010,01,0101,010120,FALSE,FALSE,FALSE,FALSE
01012090,01,0101,010120,FALSE,FALSE,FALSE,FALSE
01012100,01,0101,010121,FALSE,FALSE,FALSE,TRUE
01012910,01,0101,010129,FALSE,FALSE,FALSE,TRUE
01012990,01,0101,010129,FALSE,FALSE,FALSE,TRUE
01013000,01,0101,010130,FALSE,FALSE,FALSE,TRUE
01019000,01,0101,010190,FALSE,FALSE,FALSE,TRUE
01019011,01,0101,010190,FALSE,FALSE,FALSE,FALSE
01019019,01,0101,010190,FALSE,FALSE,FALSE,FALSE
01019030,01,0101,010190,FALSE,FALSE,FALSE,FALSE
01019090,01,0101,010190,FALSE,FALSE,FALSE,FALSE
01021010,01,0102,010210,FALSE,FALSE,FALSE,FALSE
01021030,01,0102,010210,FALSE,FALSE,FALSE,FALSE
01021090,01,0102,010210,FALSE,FALSE,FALSE,FALSE
01022110,01,0102,010221,FALSE,FALSE,FALSE,TRUE
01022130,01,0102,010221,FALSE,FALSE,FALSE,TRUE
01022190,01,0102,010221,FALSE,FALSE,FALSE,TRUE
01022905,01,0102,010229,FALSE,FALSE,FALSE,TRUE
01022910,01,0102,010229,FALSE,FALSE,FALSE,TRUE
01022921,01,0102,010229,FALSE,FALSE,FALSE,TRUE
01022929,01,0102,010229,FALSE,FALSE,FALSE,TRUE
01022941,01,0102,010229,FALSE,FALSE,FALSE,TRUE
01022949,01,0102,010229,FALSE,FALSE,FALSE,TRUE
01022951,01,0102,010229,FALSE,FALSE,FALSE,TRUE
01022959,01,0102,010229,FALSE,FALSE,FALSE,TRUE
01022961,01,0102,010229,FALSE,FALSE,FALSE,TRUE
01022969,01,0102,010229,FALSE,FALSE,FALSE,TRUE
01022991,01,0102,010229,FALSE,FALSE,FALSE,TRUE
01022999,01,0102,010229,FALSE,FALSE,FALSE,TRUE
