threshold,downstream_ind,downstream_nace2d,upstream_cpa_nace2d,upstream_share,value_mio_eur
0.05,C11,11,11,0.103,299.2
0.05,C11,11,01,0.0967,280.9
0.05,C11,11,20,0.0739,214.6
0.05,C11,11,46,0.0623,181.1
0.05,C11,11,70,0.0608,176.6
0.05,C11,11,66,0.0601,174.5
0.05,C11,11,73,0.058,168.4
0.05,C12,12,12,0.2855,58.5
0.05,C12,12,01,0.203,41.6
0.05,C12,12,17,0.0653,13.4
0.05,C13,13,13,0.2962,840.1
0.05,C13,13,20,0.287,814.1
0.05,C13,13,46,0.1115,316.3
0.05,C15,15,77,0.3796,67
0.05,C15,15,59,0.0733,12.9
0.05,C15,15,70,0.0729,12.9
0.05,C15,15,25,0.0606,10.7
0.05,C15,15,20,0.057,10.1
0.05,C16,16,16,0.292,725.1
0.05,C16,16,02,0.1263,313.6
0.05,C16,16,20,0.0906,225
0.05,C16,16,46,0.0764,189.7
0.05,C16,16,38,0.0681,169
0.05,C16,16,49,0.0671,166.7
0.05,C17,17,17,0.261,872.3
0.05,C17,17,20,0.1586,530.2
0.05,C17,17,49,0.0843,281.8
0.05,C17,17,38,0.0825,275.6
0.05,C17,17,46,0.0714,238.7
0.05,C17,17,22,0.0524,175.1
0.05,C18,18,17,0.3415,683.3
0.05,C18,18,46,0.1471,294.4
0.05,C18,18,18,0.1154,231
0.05,C18,18,20,0.0801,160.3
0.05,C18,18,22,0.0509,101.9
0.05,C19,19,06,0.3796,9803.7
0.05,C19,19,19,0.2776,7169.4
0.05,C19,19,20,0.0911,2353.1
0.05,C20,20,20,0.4357,9757.2
0.05,C20,20,19,0.1114,2495.1
0.05,C20,20,46,0.0655,1466.6
0.05,C21,21,70,0.2269,2334.9
0.05,C21,21,72,0.2157,2219.8
0.05,C21,21,77,0.1253,1288.9
0.05,C21,21,21,0.1161,1194.5
0.05,C21,21,73,0.075,771.5
0.05,C21,21,78,0.059,606.8
0.05,C21,21,20,0.0542,558.1
0.05,C22,22,20,0.464,2241.3
0.05,C22,22,22,0.1227,592.7
0.05,C22,22,46,0.0881,425.8
0.05,C23,23,23,0.1681,792.8
0.05,C23,23,49,0.1044,492.6
0.05,C23,23,46,0.0851,401.5
0.05,C23,23,08,0.0795,375
0.05,C23,23,20,0.0719,339
0.05,C23,23,70,0.0529,249.8
0.05,C24,24,24,0.4163,6438.4
0.05,C24,24,38,0.1541,2382.2
0.05,C24,24,46,0.0575,889.7
0.05,C24,24,07,0.0527,815.7
0.05,C25,25,24,0.2593,2071.7
0.05,C25,25,25,0.1714,1369.1
0.05,C25,25,46,0.0781,624
0.05,C25,25,38,0.0772,617
0.05,C25,25,70,0.0566,451.9
0.05,C26,26,26,0.3717,825.4
0.05,C26,26,46,0.1567,348
0.05,C26,26,27,0.0536,119
0.05,C27,27,24,0.1908,422.4
0.05,C27,27,27,0.1864,412.6
0.05,C27,27,46,0.1104,244.4
0.05,C27,27,20,0.0671,148.6
0.05,C27,27,26,0.0615,136.1
0.05,C28,28,28,0.3493,2083.2
0.05,C28,28,24,0.1236,737
0.05,C28,28,46,0.1029,613.9
0.05,C28,28,25,0.0628,374.3
0.05,C28,28,27,0.0517,308.3
0.05,C29,29,29,0.568,7242.8
0.05,C31,31,16,0.1456,235.5
0.05,C31,31,46,0.1437,232.4
0.05,C31,31,20,0.0787,127.3
0.05,C31,31,13,0.0662,107.1
0.05,C31,31,31,0.0653,105.7
0.05,C31,31,27,0.0551,89.1
0.05,C31,31,24,0.0544,87.9
0.05,C32,32,08,0.3041,402.7
0.05,C32,32,22,0.1046,138.5
0.05,C32,32,46,0.0815,107.9
0.05,C32,32,20,0.0579,76.6
0.05,C32,32,19,0.051,67.6
0.05,C33,33,33,0.1415,420.8
0.05,C33,33,25,0.0954,283.6
0.05,C33,33,30,0.0909,270.2
0.05,C33,33,28,0.0839,249.6
0.05,C33,33,27,0.0766,227.7
0.05,C33,33,43,0.0745,221.5
0.05,C33,33,46,0.069,205.1
0.05,C33,33,38,0.0536,159.4
0.1,C11,11,11,0.103,299.2
0.1,C12,12,12,0.2855,58.5
0.1,C12,12,01,0.203,41.6
0.1,C13,13,13,0.2962,840.1
0.1,C13,13,20,0.287,814.1
0.1,C13,13,46,0.1115,316.3
0.1,C15,15,77,0.3796,67
0.1,C16,16,16,0.292,725.1
0.1,C16,16,02,0.1263,313.6
0.1,C17,17,17,0.261,872.3
0.1,C17,17,20,0.1586,530.2
0.1,C18,18,17,0.3415,683.3
0.1,C18,18,46,0.1471,294.4
0.1,C18,18,18,0.1154,231
0.1,C19,19,06,0.3796,9803.7
0.1,C19,19,19,0.2776,7169.4
0.1,C20,20,20,0.4357,9757.2
0.1,C20,20,19,0.1114,2495.1
0.1,C21,21,70,0.2269,2334.9
0.1,C21,21,72,0.2157,2219.8
0.1,C21,21,77,0.1253,1288.9
0.1,C21,21,21,0.1161,1194.5
0.1,C22,22,20,0.464,2241.3
0.1,C22,22,22,0.1227,592.7
0.1,C23,23,23,0.1681,792.8
0.1,C23,23,49,0.1044,492.6
0.1,C24,24,24,0.4163,6438.4
0.1,C24,24,38,0.1541,2382.2
0.1,C25,25,24,0.2593,2071.7
0.1,C25,25,25,0.1714,1369.1
0.1,C26,26,26,0.3717,825.4
0.1,C26,26,46,0.1567,348
0.1,C27,27,24,0.1908,422.4
0.1,C27,27,27,0.1864,412.6
0.1,C27,27,46,0.1104,244.4
0.1,C28,28,28,0.3493,2083.2
0.1,C28,28,24,0.1236,737
