nace2d,description
05,regulated-producing (>=1 regulated CN8 maps to this NACE 2d)
06,regulated-producing (>=1 regulated CN8 maps to this NACE 2d)
07,regulated-producing (>=1 regulated CN8 maps to this NACE 2d)
08,regulated-producing (>=1 regulated CN8 maps to this NACE 2d)
17,regulated-producing (>=1 regulated CN8 maps to this NACE 2d)
19,regulated-producing (>=1 regulated CN8 maps to this NACE 2d)
20,regulated-producing (>=1 regulated CN8 maps to this NACE 2d)
21,regulated-producing (>=1 regulated CN8 maps to this NACE 2d)
23,regulated-producing (>=1 regulated CN8 maps to this NACE 2d)
24,regulated-producing (>=1 regulated CN8 maps to this NACE 2d)
25,regulated-producing (>=1 regulated CN8 maps to this NACE 2d)
27,regulated-producing (>=1 regulated CN8 maps to this NACE 2d)
28,regulated-producing (>=1 regulated CN8 maps to this NACE 2d)
35,regulated-producing (>=1 regulated CN8 maps to this NACE 2d)
