"label","t_base","t_end","n_survivors","n_entrants","n_exiters","E_t_base","E_t_end","total_pp","scale_pp","between_pp","within_pp","tech_pp","entry_pp","exit_pp","z_survivors_t0","z_survivors_t1","z_entrants_t1","z_exiters_t0"
"2005 -> 2007",2005,2007,154,8,8,51327726,49205809,-4.13,18.22,11.48,3.28,-38.06,1.02,-0.08,0.000539834773878142,0.00043339651053416,0.000180454982189655,0.000131168166610714
"2005 -> 2012",2005,2012,127,37,35,51327726,42931071,-16.36,10.84,7.43,10.47,-49.58,10.84,-6.36,0.000554086540471917,0.000386074574175905,0.000666521734175251,0.000380188829496341
"2005 -> 2020",2005,2020,105,55,57,51327726,40924294,-20.27,1.55,-14.29,11.06,-21.46,10.32,-7.44,0.000575803347854926,0.000424708293020785,0.000465827164819701,0.000297930582141218
"2005 -> 2022",2005,2022,100,49,62,51327726,32173661,-37.32,15.58,-31.72,4.46,-25.63,8.49,-8.5,0.000613657026678508,0.000310576458618951,0.000368242693245824,0.000232121039255226
"2007 -> 2012",2007,2012,129,35,33,49205809,42931071,-12.75,-6.63,-3.9,4.02,-10.35,10.8,-6.68,0.000433232417417428,0.000382057744962261,0.000796291905990892,0.000355688702887741
"2007 -> 2020",2007,2020,109,51,53,49205809,40924294,-16.83,-12.62,-18.54,9.34,2.61,9.53,-7.15,0.000456548557793903,0.000419041561710203,0.000533657720443321,0.000232014384837033
"2012 -> 2020",2012,2020,126,34,38,42931071,40924294,-4.67,-7.03,-17.12,14.48,4.19,3.08,-2.27,0.000424315461631929,0.000431577659832896,0.000378086101189187,0.000155873400636554
"2005 -> 2012 [triple-bal]",2005,2012,101,0,0,47292431,36793910,-22.2,12.52,9.17,9.8,-53.7,0,0,0.000581049919848649,0.000401748837594672,NA,NA
"2012 -> 2020 [triple-bal]",2012,2020,101,0,0,36793910,35572602,-3.32,-9.15,-16.23,12.51,9.54,0,0,0.000401748837594672,0.000427514124482796,NA,NA
"2005 -> 2020 [triple-bal]",2005,2020,101,0,0,47292431,35572602,-24.78,2.23,-15.9,12.03,-23.15,0,0,0.000581049919848649,0.000427514124482796,NA,NA
