"nace2d","t_base","t_end","n_surv","n_ent","n_exit","E_t0_kt","total_pp","scale_pp","within_pp","tech_pp","entry_pp","exit_pp","share_2005"
"35",2005,2012,3,6,1,18481.176,-23.73,41.15,16.77,-99.9,18.32,-0.09,43.28
"23",2005,2012,25,6,3,9097.45,-14.7,0.51,10.92,-29.71,4.16,-0.59,21.3
"19",2005,2012,3,2,2,5621.69,6.82,-2.56,-17.39,32.26,5.77,-11.26,13.17
"20",2005,2012,27,10,4,3973.125,36.22,-30.4,7.24,42.04,24.49,-7.15,9.3
"24",2005,2012,8,5,3,3184.919,-64.21,4.66,-4.67,-5.4,5.64,-64.43,7.46
"10",2005,2012,22,4,1,845.506,16.58,39.95,-3.13,-48.86,29.67,-1.05,1.98
"17",2005,2012,6,1,3,706.073,6.37,3.63,13.25,-4.89,3.99,-9.61,1.65
"11",2005,2012,5,1,1,137.63,-10.13,11.91,22.85,-45.27,6.74,-6.36,0.32
"29",2005,2012,3,0,3,108,-44.95,-1.49,-5.57,-9.02,0,-28.86,0.25
"21",2005,2012,2,1,1,95.098,0.96,74.75,6.85,-79.68,10.11,-11.07,0.22
"13",2005,2012,5,2,5,80.593,-42.88,-9.9,-0.63,15.58,11.64,-59.57,0.19
"35",2005,2022,3,4,1,18481.176,-39.77,-46.43,12.82,-15.73,9.65,-0.09,43.28
"23",2005,2022,21,11,7,9097.45,-29.01,11.27,-15.1,-25.81,4.85,-4.22,21.3
"19",2005,2022,3,1,2,5621.69,1.6,-32.12,15.98,28.82,0.19,-11.26,13.17
"20",2005,2022,26,21,5,3973.125,43.7,-29.66,24.38,14.24,42.22,-7.48,9.3
"24",2005,2022,6,3,5,3184.919,-70.59,-0.88,-7.1,-0.23,2.95,-65.33,7.46
"10",2005,2022,15,4,8,845.506,22.96,180.63,-71.37,-105.48,32.1,-12.91,1.98
"17",2005,2022,5,1,4,706.073,-3.38,35.41,15.12,-38.22,3.51,-19.2,1.65
"11",2005,2022,2,2,4,137.63,-9.95,27.62,15.16,-45.71,31.12,-38.14,0.32
"22",2005,2022,2,1,2,103.89,-40.52,10.12,6.64,-28.69,7.78,-36.36,0.24
"21",2005,2022,3,1,0,95.098,-13.17,533.73,-105.31,-450.7,9.11,0,0.22
"13",2005,2022,3,3,7,80.593,-43.75,-9.24,0.5,11.81,27.08,-73.9,0.19
"35",2012,2022,6,1,3,14095.186,-21.03,-62.07,-0.85,39.12,2.87,-0.1,43.28
"23",2012,2022,26,6,5,7760.053,-16.77,10.7,-16.34,-9.03,0.34,-2.45,21.3
"19",2012,2022,4,0,1,6004.901,-4.88,-33.22,83.79,-55.06,0,-0.4,13.17
"20",2012,2022,31,16,6,5412.048,5.49,5.87,17.64,-20.52,10.47,-7.98,9.3
"24",2012,2022,9,0,4,1139.869,-17.84,-11.77,-8.58,13.88,0,-11.36,7.46
"10",2012,2022,18,1,8,985.696,5.48,76.9,-30.5,-33.26,3.35,-11.01,1.98
"17",2012,2022,6,0,1,751.034,-9.17,19.41,5.19,-24.64,0,-9.13,1.65
"11",2012,2022,3,1,3,123.693,0.19,23.25,-2.6,5.69,10.57,-36.72,0.32
"21",2012,2022,3,1,0,96.011,-13.99,231.91,-33.97,-218.56,6.63,0,0.22
"13",2012,2022,4,2,3,46.035,-1.53,-4.9,-0.56,6.81,32.48,-35.36,0.19
