"nace2d","sector_name","phase","t0","t1","paying_start","learning_date","learning_event","allocation_rule","n_surv","n_ent","n_exit","E_t0_kt","E_t1_kt","total_pp","scale_pp","within_pp","tech_pp","entry_pp","exit_pp"
"35","Electricity","Phase 1",2005,2007,"2005-01-01","2003-10-13","Directive 2003/87/EC (pre-Kanzig sample)","grandfathered_free",4,1,0,18481.2,16317.7,-11.71,46.81,14.52,-74.61,1.58,0
"23","Cement, glass, ceramics","Phase 1",2005,2007,"2005-01-01","2003-10-13","Directive 2003/87/EC (pre-Kanzig sample)","grandfathered_free",27,0,1,9097.5,9260.1,1.79,11.58,-3.95,-5.77,0,-0.06
"19","Petroleum refining","Phase 1",2005,2007,"2005-01-01","2003-10-13","Directive 2003/87/EC (pre-Kanzig sample)","grandfathered_free",5,0,0,5621.7,5723,1.8,19.87,-23.3,5.24,0,0
"20","Chemicals","Phase 1",2005,2007,"2005-01-01","2003-10-13","Directive 2003/87/EC (pre-Kanzig sample)","grandfathered_free",29,2,2,3973.1,3919.8,-1.34,-2.92,3.27,-5.14,3.57,-0.13
"24","Basic metals","Phase 1",2005,2007,"2005-01-01","2003-10-13","Directive 2003/87/EC (pre-Kanzig sample)","grandfathered_free",11,1,0,3184.9,3213.6,0.9,23.78,-51.6,27.69,1.03,0
"10","Food","Phase 1",2005,2007,"2005-01-01","2003-10-13","Directive 2003/87/EC (pre-Kanzig sample)","grandfathered_free",21,1,2,845.5,812.9,-3.86,24.94,-10.21,-17.22,1.47,-2.84
"17","Paper","Phase 1",2005,2007,"2005-01-01","2003-10-13","Directive 2003/87/EC (pre-Kanzig sample)","grandfathered_free",9,1,0,706.1,693.4,-1.79,18.15,6.9,-30.78,3.94,0
"11","Beverages","Phase 1",2005,2007,"2005-01-01","2003-10-13","Directive 2003/87/EC (pre-Kanzig sample)","grandfathered_free",6,0,0,137.6,135.4,-1.65,6.38,7.63,-15.65,0,0
"29","Motor vehicles","Phase 1",2005,2007,"2005-01-01","2003-10-13","Directive 2003/87/EC (pre-Kanzig sample)","grandfathered_free",6,0,0,108,77.1,-28.57,-10.83,-8.81,-8.92,0,0
"22","Rubber, plastics","Phase 1",2005,2007,"2005-01-01","2003-10-13","Directive 2003/87/EC (pre-Kanzig sample)","grandfathered_free",4,0,0,103.9,98.7,-4.97,12.38,1.64,-18.99,0,0
