year,estimate,se,ci_lo,ci_hi,spec
2001,-0.0526782033100354,0.0133754096583555,-0.0788940062404123,-0.0264624003796586,diag1_tight_trends
2002,-0.0373608866133865,0.0117331294109723,-0.0603578202588922,-0.0143639529678807,diag1_tight_trends
2003,-0.0483283437132391,0.0141834477723271,-0.0761279013470002,-0.0205287860794779,diag1_tight_trends
2004,0,0,0,0,diag1_tight_trends
2005,0.00717531183346726,0.00359665198326397,0.000125873946269867,0.0142247497206646,diag1_tight_trends
2006,0.00578666295042519,0.00652781361008275,-0.007007851725337,0.0185811776261874,diag1_tight_trends
2007,0.00392937947499751,0.0101987659191949,-0.0160602017266244,0.0239189606766195,diag1_tight_trends
2008,0.0301920753410119,0.0122284396191995,0.00622433368738092,0.054159816994643,diag1_tight_trends
2009,-0.00332164226494937,0.0151772181413703,-0.0330689898220352,0.0264257052921365,diag1_tight_trends
2010,0.0130578352489571,0.0179221517200106,-0.0220695821222638,0.0481852526201779,diag1_tight_trends
2011,0.0147306585138916,0.0186203925817825,-0.0217653109464021,0.0512266279741852,diag1_tight_trends
2012,-0.00393669350639903,0.020322483908177,-0.0437687619664259,0.0358953749536278,diag1_tight_trends
2013,-0.0555299225676114,0.0219628774706434,-0.0985771624100724,-0.0124826827251504,diag1_tight_trends
2014,-0.0852513566480894,0.0270012330875991,-0.138173773499784,-0.0323289397963951,diag1_tight_trends
2015,-0.102775965984857,0.0301781437244229,-0.161925127684725,-0.0436268042849876,diag1_tight_trends
2016,-0.128854615441484,0.0355315581593358,-0.198496469433782,-0.0592127614491857,diag1_tight_trends
2017,-0.116324405760545,0.0333062003624929,-0.181604558471031,-0.0510442530500585,diag1_tight_trends
2018,-0.105018074240256,0.0307313158958154,-0.165251453396054,-0.0447846950844574,diag1_tight_trends
2019,-0.130305558005291,0.0355758641905438,-0.200034251818757,-0.0605768641918253,diag1_tight_trends
2020,-0.155700702851695,0.0436598197073217,-0.241273949478045,-0.070127456225344,diag1_tight_trends
2021,-0.0946599670249474,0.0296445702612016,-0.152763324736903,-0.0365566093129923,diag1_tight_trends
2001,-0.0340391318387216,0.0112702977967366,-0.0561289155203254,-0.0119493481571179,diag1_broad_trends
2002,-0.0301860198463774,0.00928216372667204,-0.0483790607506546,-0.0119929789421002,diag1_broad_trends
2003,-0.0332681119848459,0.0105931506866313,-0.0540306873306432,-0.0125055366390486,diag1_broad_trends
2004,0,0,0,0,diag1_broad_trends
2005,0.00720753881458234,0.00326000852498487,0.000817922105611986,0.0135971555235527,diag1_broad_trends
2006,0.0229520472854291,0.00599279155443216,0.011206175838742,0.0346979187321161,diag1_broad_trends
2007,0.00860487407487545,0.00869044146008292,-0.00842839118688708,0.025638139336638,diag1_broad_trends
2008,0.0273017116845387,0.00993545597396644,0.0078282179755645,0.0467752053935129,diag1_broad_trends
2009,0.00568267052566709,0.012508939104116,-0.0188348501184002,0.0302001911697344,diag1_broad_trends
2010,0.0140612472577714,0.014816042801686,-0.0149781966335331,0.0431006911490759,diag1_broad_trends
2011,0.00400715832708415,0.016030535607119,-0.027412691462869,0.0354270081170373,diag1_broad_trends
2012,-0.00416886891626775,0.017555246206478,-0.0385771514809646,0.030239413648429,diag1_broad_trends
2013,-0.0436260228392818,0.0186544952251197,-0.0801888334805164,-0.00706321219804725,diag1_broad_trends
2014,-0.0623576702272586,0.0222971538337064,-0.106060091741323,-0.018655248713194,diag1_broad_trends
2015,-0.0647149143168722,0.0254343842532436,-0.11456630745323,-0.0148635211805147,diag1_broad_trends
2016,-0.0844668096983362,0.0298304052454132,-0.142934403979346,-0.0259992154173263,diag1_broad_trends
2017,-0.0772343859166539,0.0279678950004544,-0.132051460117544,-0.0224173117157633,diag1_broad_trends
2018,-0.0668306585619773,0.0260351367770565,-0.117859526645008,-0.0158017904789466,diag1_broad_trends
2019,-0.0874244872878818,0.0296917793476574,-0.14562037480929,-0.0292285997664734,diag1_broad_trends
2020,-0.101041087737046,0.0356826099139694,-0.170979003168426,-0.0311031723056665,diag1_broad_trends
2021,-0.0606291403369774,0.0236481078349565,-0.106979431693492,-0.0142788489804627,diag1_broad_trends
2001,0,0,0,0,diag2_tight_placebo
2002,0.0272065427621844,0.00460090450668496,0.0181887699290819,0.0362243155952869,diag2_tight_placebo
2003,0.028128311727867,0.00641831960083536,0.0155484053102297,0.0407082181455043,diag2_tight_placebo
2004,0.0883458815066405,0.0124652300911456,0.0639140305279951,0.112777732485286,diag2_tight_placebo
2001,0,0,0,0,diag2_broad_placebo
2002,0.0138036743757789,0.00448577219211236,0.00501156087923866,0.0225957878723191,diag2_broad_placebo
2003,0.0206721446207453,0.00548379589277966,0.0099239046708972,0.0314203845705935,diag2_broad_placebo
2004,0.0638908189890257,0.0105571083521094,0.0431988866188913,0.0845827513591602,diag2_broad_placebo
