year,estimate,se,ci_lo,ci_hi,treat_label
2001,-0.0638908189890492,0.0105727684430854,-0.0846134451374967,-0.0431681928406017,"Broad (our list, 14 NACE 2d)"
2002,-0.0500871446132707,0.0091855179075998,-0.0680907597121664,-0.0320835295143751,"Broad (our list, 14 NACE 2d)"
2003,-0.0432186743683046,0.0106527363017483,-0.0640980375197313,-0.0223393112168779,"Broad (our list, 14 NACE 2d)"
2004,0,0,0,0,"Broad (our list, 14 NACE 2d)"
2005,0.0171581011979897,0.00345485535301332,0.0103865847060836,0.0239296176898959,"Broad (our list, 14 NACE 2d)"
2006,0.0428531720522706,0.00608969656150166,0.0309173667917273,0.0547889773128138,"Broad (our list, 14 NACE 2d)"
2007,0.0384565612251515,0.00810797417321339,0.0225649318456532,0.0543481906046497,"Broad (our list, 14 NACE 2d)"
2008,0.0671039612182485,0.0101480268323666,0.04721382862681,0.086994093809687,"Broad (our list, 14 NACE 2d)"
2009,0.0554354824428115,0.0103963274659936,0.0350586806094641,0.0758122842761589,"Broad (our list, 14 NACE 2d)"
2010,0.073764621558349,0.0119043270738542,0.0504321404935948,0.0970971026231033,"Broad (our list, 14 NACE 2d)"
2011,0.073661095011097,0.0178642817890355,0.0386471027045875,0.108675087317607,"Broad (our list, 14 NACE 2d)"
2012,0.0754356301511796,0.0198351353125297,0.0365587649386213,0.114312495363738,"Broad (our list, 14 NACE 2d)"
2013,0.045929038611601,0.0212429810448759,0.00429279576364418,0.0875652814595578,"Broad (our list, 14 NACE 2d)"
2014,0.0371479536070588,0.0209664245064552,-0.00394623842559343,0.078242145639711,"Broad (our list, 14 NACE 2d)"
2015,0.0447412719008792,0.0223561466707494,0.000923224426210345,0.088559319375548,"Broad (our list, 14 NACE 2d)"
2016,0.0349399389028496,0.0240534631584766,-0.0122048488877647,0.0820847266934638,"Broad (our list, 14 NACE 2d)"
2017,0.0521229250679668,0.0245554265108803,0.00399428910664133,0.100251561029292,"Broad (our list, 14 NACE 2d)"
2018,0.0724772148060762,0.0255611139682281,0.0223774314283491,0.122576998183803,"Broad (our list, 14 NACE 2d)"
2019,0.0618339484636058,0.0258703804186505,0.0111280028430508,0.112539894084161,"Broad (our list, 14 NACE 2d)"
2020,0.0581679103978773,0.0272365969271827,0.00478418042059925,0.111551640375155,"Broad (our list, 14 NACE 2d)"
2021,0.108530420181379,0.0312148412815211,0.0473493312695974,0.16971150909316,"Broad (our list, 14 NACE 2d)"
2022,0.17911012290179,0.04812907576706,0.0847771343983521,0.273443111405227,"Broad (our list, 14 NACE 2d)"
2001,-0.0883458815066065,0.0124837206314209,-0.112813973944191,-0.0638777890690215,CMdG-tight (7 NACE 2d)
2002,-0.0611393387444219,0.0116860780508573,-0.0840440517241022,-0.0382346257647416,CMdG-tight (7 NACE 2d)
2003,-0.0602175697787393,0.014131296854311,-0.0879149116131889,-0.0325202279442897,CMdG-tight (7 NACE 2d)
2004,0,0,0,0,CMdG-tight (7 NACE 2d)
2005,0.0190645378990375,0.00354493971370316,0.0121164560601793,0.0260126197378957,CMdG-tight (7 NACE 2d)
2006,0.0295651150815304,0.00667556153290406,0.0164810144770384,0.0426492156860224,CMdG-tight (7 NACE 2d)
2007,0.0395970576716378,0.00789868095047808,0.0241156430087008,0.0550784723345748,CMdG-tight (7 NACE 2d)
2008,0.0777489796031873,0.0111883956337479,0.0558197241610415,0.0996782350453332,CMdG-tight (7 NACE 2d)
2009,0.0561244880627612,0.0128457681004388,0.0309467825859012,0.0813021935396212,CMdG-tight (7 NACE 2d)
2010,0.0843931916422024,0.0142421950670323,0.056478489310819,0.112307893973586,CMdG-tight (7 NACE 2d)
2011,0.0979552409726726,0.0200295962465645,0.0586972323294061,0.137213249615939,CMdG-tight (7 NACE 2d)
2012,0.0911771150179175,0.0229680726157895,0.04615969269097,0.136194537344865,CMdG-tight (7 NACE 2d)
2013,0.0514731120222398,0.0250275299345997,0.00241915335042432,0.100527070694055,CMdG-tight (7 NACE 2d)
2014,0.0336409040072965,0.0243866275419465,-0.0141568859749186,0.0814386939895116,CMdG-tight (7 NACE 2d)
2015,0.0280055207360649,0.0259052225732948,-0.0227687155075928,0.0787797569797226,CMdG-tight (7 NACE 2d)
2016,0.0138160973449722,0.0278333238979307,-0.040737217494972,0.0683694121849164,CMdG-tight (7 NACE 2d)
2017,0.0382355330914466,0.0281705715125852,-0.0169787870732203,0.0934498532561135,CMdG-tight (7 NACE 2d)
2018,0.0614310906772717,0.0298694920352813,0.00288688628812039,0.119975295066423,CMdG-tight (7 NACE 2d)
2019,0.0480328329777707,0.0300432414697917,-0.010851920303021,0.106917586258562,CMdG-tight (7 NACE 2d)
2020,0.034526914196903,0.0319785060805444,-0.0281509577209641,0.0972047861147701,CMdG-tight (7 NACE 2d)
2021,0.107456876089185,0.0357449258927801,0.0373968213393356,0.177516930839033,CMdG-tight (7 NACE 2d)
2022,0.214006069179668,0.056973222046489,0.102338553968549,0.325673584390786,CMdG-tight (7 NACE 2d)
