year,group,share,prob_active
2000,Control (unregulated x non-ETS),0.44558251456633,0.155412999873507
2000,Treated (regulated x non-ETS),0.55441748543367,0.149087816231399
2001,Control (unregulated x non-ETS),0.463046804461353,0.154885343067276
2001,Treated (regulated x non-ETS),0.536953195538647,0.149232868944873
2002,Control (unregulated x non-ETS),0.46975695760326,0.152597625544372
2002,Treated (regulated x non-ETS),0.53024304239674,0.151692171768786
2003,Control (unregulated x non-ETS),0.456406254683102,0.151621821861617
2003,Treated (regulated x non-ETS),0.543593745316898,0.151810851261629
2004,Control (unregulated x non-ETS),0.438204535356016,0.153327671262582
2004,Treated (regulated x non-ETS),0.561795464643985,0.157573399969671
2005,Control (unregulated x non-ETS),0.368656900052945,0.0882269664193895
2005,Treated (regulated x non-ETS),0.631343099947055,0.0839749396135266
2006,Control (unregulated x non-ETS),0.384102381241125,0.0922136021292259
2006,Treated (regulated x non-ETS),0.615897618758875,0.0885794082125604
2007,Control (unregulated x non-ETS),0.343838398938631,0.105437314086748
2007,Treated (regulated x non-ETS),0.656161601061369,0.106520484708598
2008,Control (unregulated x non-ETS),0.341665791737796,0.131673728813559
2008,Treated (regulated x non-ETS),0.658334208262204,0.126631545840541
2009,Control (unregulated x non-ETS),0.390496417656713,0.141219397363465
2009,Treated (regulated x non-ETS),0.609503582343287,0.12604183047649
2010,Control (unregulated x non-ETS),0.339706909656196,0.146104048964218
2010,Treated (regulated x non-ETS),0.660293090343804,0.125845258688473
2011,Control (unregulated x non-ETS),0.381820579662073,0.148375706214689
2011,Treated (regulated x non-ETS),0.618179420337927,0.139015568485611
2012,Control (unregulated x non-ETS),0.378289439427838,0.147434086629002
2012,Treated (regulated x non-ETS),0.621710560572162,0.134061959427583
2013,Control (unregulated x non-ETS),0.41445428058615,0.138486274324356
2013,Treated (regulated x non-ETS),0.58554571941385,0.126676660880543
2014,Control (unregulated x non-ETS),0.410725590038553,0.137174000425602
2014,Treated (regulated x non-ETS),0.589274409961447,0.13223922991952
2015,Control (unregulated x non-ETS),0.403848953065377,0.130033338850401
2015,Treated (regulated x non-ETS),0.596151046934623,0.12715007101152
2016,Control (unregulated x non-ETS),0.509390863184506,0.133851937672901
2016,Treated (regulated x non-ETS),0.490609136815494,0.156383146599337
2017,Control (unregulated x non-ETS),0.543081968731433,0.129903293689263
2017,Treated (regulated x non-ETS),0.456918031268567,0.156185892378097
2018,Control (unregulated x non-ETS),0.551855149551428,0.12880382096328
2018,Treated (regulated x non-ETS),0.448144850448572,0.136697175319552
2019,Control (unregulated x non-ETS),,0
2019,Treated (regulated x non-ETS),,0
