year,group,share,prob_active
2000,Control (unregulated x non-ETS),0.447890176740859,0.0419098143236074
2000,Treated (regulated x non-ETS),0.552109823259141,0.033008658008658
2001,Control (unregulated x non-ETS),0.545340623322837,0.0355437665782493
2001,Treated (regulated x non-ETS),0.454659376677163,0.038961038961039
2002,Control (unregulated x non-ETS),0.559328007554496,0.0355437665782493
2002,Treated (regulated x non-ETS),0.440671992445504,0.0378787878787879
2003,Control (unregulated x non-ETS),0.496669333186737,0.036604774535809
2003,Treated (regulated x non-ETS),0.503330666813263,0.0362554112554113
2004,Control (unregulated x non-ETS),0.364790018163102,0.0461538461538462
2004,Treated (regulated x non-ETS),0.635209981836898,0.0411255411255411
2005,Control (unregulated x non-ETS),0.334332024692891,0.0429708222811671
2005,Treated (regulated x non-ETS),0.665667975307109,0.0936147186147186
2006,Control (unregulated x non-ETS),0.310660104136355,0.0328912466843501
2006,Treated (regulated x non-ETS),0.689339895863645,0.0898268398268398
2007,Control (unregulated x non-ETS),0.163918896681736,0.03342175066313
2007,Treated (regulated x non-ETS),0.836081103318264,0.0957792207792208
2008,Control (unregulated x non-ETS),0.274323761933789,0.0350132625994695
2008,Treated (regulated x non-ETS),0.725676238066211,0.0941558441558442
2009,Control (unregulated x non-ETS),0.141825982225711,0.0403183023872679
2009,Treated (regulated x non-ETS),0.858174017774289,0.0898268398268398
2010,Control (unregulated x non-ETS),0.167363645862928,0.0424403183023873
2010,Treated (regulated x non-ETS),0.832636354137072,0.091991341991342
2011,Control (unregulated x non-ETS),0.310388769180404,0.0413793103448276
2011,Treated (regulated x non-ETS),0.689611230819596,0.0963203463203463
2012,Control (unregulated x non-ETS),0.346564820926197,0.0424403183023873
2012,Treated (regulated x non-ETS),0.653435179073803,0.0941558441558442
2013,Control (unregulated x non-ETS),0.28818995012928,0.0318302387267905
2013,Treated (regulated x non-ETS),0.711810049870721,0.0952380952380952
2014,Control (unregulated x non-ETS),0.259168965612278,0.036604774535809
2014,Treated (regulated x non-ETS),0.740831034387722,0.079004329004329
2015,Control (unregulated x non-ETS),0.368765508321614,0.0403183023872679
2015,Treated (regulated x non-ETS),0.631234491678386,0.0909090909090909
2016,Control (unregulated x non-ETS),0.323262157418434,0.046684350132626
2016,Treated (regulated x non-ETS),0.676737842581566,0.100108225108225
2017,Control (unregulated x non-ETS),0.149078598790927,0.0376657824933687
2017,Treated (regulated x non-ETS),0.850921401209073,0.101731601731602
2018,Control (unregulated x non-ETS),0.349087103845342,0.0408488063660477
2018,Treated (regulated x non-ETS),0.650912896154658,0.0779220779220779
2019,Control (unregulated x non-ETS),0.203357080380847,0.0323607427055703
2019,Treated (regulated x non-ETS),0.796642919619153,0.0914502164502164
