year,estimate,se,ci_lo,ci_hi,outcome
2000,-0.000329808878581439,0.000308203829195947,-0.000933888383805496,0.000274270626642617,Share
2001,-0.000298558346975912,0.000306787143557738,-0.000899861148349079,0.000302744454397255,Share
2002,-7.09218070544995e-05,0.000337631088882434,-0.00073267874126407,0.000590835127155071,Share
2003,0.000401437457825963,0.000325282681071573,-0.00023611659707432,0.00103899151272625,Share
2004,0,0,0,0,Share
2005,-1.48231930204532e-05,0.000448038482985716,-0.000892978619672456,0.00086333223363155,Share
2006,5.31521920573757e-05,0.000383712966997017,-0.000698925223256777,0.000805229607371528,Share
2007,-0.000113461095701483,0.000439131751621574,-0.000974159328879768,0.000747237137476803,Share
2008,-0.00076748627226119,0.000675172398320724,-0.00209082417296981,0.000555851628447429,Share
2009,-0.000629894721922908,0.000603244880523493,-0.00181225468774895,0.000552465243903139,Share
2010,-0.000960108878691858,0.00051498771202072,-0.00196948479425247,4.92670368687524e-05,Share
2011,-0.000821996174472154,0.000529101156512134,-0.00185903444123594,0.000215042092291628,Share
2012,-0.000729860578707583,0.000442239084489677,-0.00159664918430735,0.000136928026892184,Share
2013,-0.000787730522080464,0.000427110033668352,-0.00162486618807043,4.94051439095069e-05,Share
2014,-0.000430348352897594,0.000502113124609076,-0.00141449007713138,0.000553793371336195,Share
2015,-0.000296788297891418,0.00049160259286641,-0.00126032937990958,0.000666752784126745,Share
2016,2.9281206314498e-05,0.000495348012933391,-0.000941600899034949,0.00100016331166395,Share
2017,-0.000637294526137384,0.000590808817464965,-0.00179527980836871,0.000520690756093947,Share
2018,-0.00089829948554286,0.00061137661621742,-0.002096597653329,0.000299998682243284,Share
2019,-0.00106548778810925,0.0005268896155077,-0.00209819143450434,-3.2784141714154e-05,Share
2000,-0.0125142896265427,0.00818547221057967,-0.0285578151592789,0.00352923590619341,Probability of sourcing
2001,-0.0149018952033484,0.00782892308467628,-0.0302465844493139,0.00044279404261708,Probability of sourcing
2002,-0.0137403343117882,0.00833613797857829,-0.0300791647498016,0.00259849612622525,Probability of sourcing
2003,-0.0129541357546602,0.00675161420357959,-0.0261872995936762,0.000279028084355771,Probability of sourcing
2004,0,0,0,0,Probability of sourcing
2005,-0.0091240894973109,0.0103475570277944,-0.0294053012717879,0.0111571222771662,Probability of sourcing
2006,-0.00384001347028373,0.0101947095235923,-0.0238216441365247,0.0161416171959573,Probability of sourcing
2007,-0.00930461090755863,0.00952465717849457,-0.027972938977408,0.00936371716229074,Probability of sourcing
2008,-0.0256580722156443,0.0123647276211979,-0.0498929383531921,-0.00142320607809653,Probability of sourcing
2009,-0.0256925201006069,0.0125793137970336,-0.0503479751427929,-0.00103706505842102,Probability of sourcing
2010,-0.0351633237102914,0.012515819131687,-0.0596943292083979,-0.010632318212185,Probability of sourcing
2011,-0.0259909532662522,0.0150159565621499,-0.0554222281280661,0.0034403215955616,Probability of sourcing
2012,-0.0249539849578342,0.0138141298400897,-0.05202967944441,0.00212170952874152,Probability of sourcing
2013,-0.0237419968805925,0.0148285897243315,-0.0528060327402823,0.00532203897909725,Probability of sourcing
2014,-0.0149210230448757,0.0142464835032487,-0.0428441307112432,0.0130020846214917,Probability of sourcing
2015,-0.024583319274546,0.0139826151069331,-0.0519892448841349,0.002822606335043,Probability of sourcing
2016,0.021222824402586,0.0319936493893161,-0.0414847284004735,0.0839303772056456,Probability of sourcing
2017,0.0258847711969988,0.0327657948715588,-0.0383361867512564,0.0901057291452539,Probability of sourcing
2018,-0.0201316007383467,0.0146437893439191,-0.048833427852428,0.00857022637573466,Probability of sourcing
2019,-0.00705084126590783,0.0101236523333861,-0.0268931998393446,0.0127915173075289,Probability of sourcing
