year,estimate,se,ci_lo,ci_hi,outcome
2000,-0.0062420539613611,0.00610357225273535,-0.0182050555767224,0.00572094765400019,Share
2001,-0.00211899606005155,0.00390396003910241,-0.00977075773669228,0.00553276561658918,Share
2002,-0.00280890907697303,0.00606547610945167,-0.0146972422514983,0.00907942409755225,Share
2003,-0.00362856240815184,0.00477162963821231,-0.012980956499048,0.00572383168274429,Share
2004,0,0,0,0,Share
2005,0.01424605153709,0.00791985952457831,-0.00127687313108345,0.0297689762052635,Share
2006,0.0176172017894198,0.00603338726262233,0.00579176275468007,0.0294426408241596,Share
2007,0.0293751703760016,0.00584720650316689,0.0179146456297945,0.0408356951222087,Share
2008,0.0243797375553607,0.00721425817542047,0.0102397915315366,0.0385196835791848,Share
2009,0.0206506533605855,0.00593972347439474,0.00900879535077181,0.0322925113703992,Share
2010,0.0201828475680831,0.00492881271168787,0.0105223746531748,0.0298433204829913,Share
2011,0.017058784005792,0.0053504493720346,0.00657190323660421,0.0275456647749798,Share
2012,0.0187944185361177,0.00652042984878564,0.00601437603249788,0.0315744610397376,Share
2013,0.0230581625437569,0.00623930849661836,0.0108291178903849,0.0352872071971289,Share
2014,0.0134104105203744,0.00724709325976445,-0.000793892268763913,0.0276147133095127,Share
2015,0.0137077037539149,0.00518729786134834,0.00354059994567211,0.0238748075621576,Share
2016,0.0149723187063857,0.00723502098895047,0.000791677568042826,0.0291529598447287,Share
2017,0.0183860398119395,0.00388991703928837,0.0107618024149343,0.0260102772089447,Share
2018,0.0120177008359459,0.00666673994892526,-0.00104910946394759,0.0250845111358394,Share
2019,0.019813595128795,0.00450393316657826,0.0109858861223016,0.0286413041352884,Share
2000,-0.00422847269549053,0.0110430531329374,-0.0258728568360479,0.0174159114450668,Probability of sourcing
2001,0.008054125562253,0.0110573346593848,-0.0136182503701412,0.0297265014946472,Probability of sourcing
2002,0.0073991466351161,0.00970820077297353,-0.011628926879912,0.0264272201501442,Probability of sourcing
2003,0.00427459528845877,0.00898903205870732,-0.0133439075466076,0.0218930981235251,Probability of sourcing
2004,0,0,0,0,Probability of sourcing
2005,0.0554310703347775,0.0150402647609814,0.025952151403254,0.084909989266301,Probability of sourcing
2006,0.0619259459588996,0.0124968995114126,0.037432022916531,0.0864198690012682,Probability of sourcing
2007,0.0683838573495919,0.0135703910967439,0.0417858907999738,0.09498182389921,Probability of sourcing
2008,0.063951363497233,0.0143410738071941,0.0358428588351327,0.0920598681593334,Probability of sourcing
2009,0.0546744311371139,0.0127580420088937,0.0296686687996823,0.0796801934745455,Probability of sourcing
2010,0.0547830073050887,0.0140815361422759,0.0271831964662278,0.0823828181439495,Probability of sourcing
2011,0.0610941532890709,0.0102658195703781,0.0409731469311297,0.081215159647012,Probability of sourcing
2012,0.0576745528404628,0.010296560088415,0.0374932950671694,0.0778558106137562,Probability of sourcing
2013,0.0686308352992713,0.00900746675392189,0.0509762004615843,0.0862854701369582,Probability of sourcing
2014,0.0481472379047446,0.0115723545688899,0.0254654229497204,0.0708290528597688,Probability of sourcing
2015,0.0552166523098126,0.00992937843531706,0.0357550705765912,0.0746782340430341,Probability of sourcing
2016,0.0579863696908501,0.0167168018568015,0.0252214380515192,0.090751301330181,Probability of sourcing
2017,0.0692024048336836,0.0111787796014805,0.0472919968147818,0.0911128128525854,Probability of sourcing
2018,0.0428001582730177,0.00992831035233535,0.0233406699824404,0.062259646563595,Probability of sourcing
2019,0.0645790806165559,0.00924779010624791,0.04645341200831,0.0827047492248018,Probability of sourcing
