spec,term,estimate,se,tval,pval
col1,treat_p1,0.00187704278236282,0.0008015506531296,2.34176439758864,0.0201074826882646
col1,treat_p2,0.00465093382488554,0.00150666313430232,3.08691021834765,0.00228865565246234
col1,treat_p3,0.00670108086422109,0.00187349843872162,3.57677419191957,0.000429698034615627
col2,treat_p1,0.00187704278236191,0.000801550653129617,2.34176439758745,0.0201074826883271
col2,treat_p2,0.00465093382488438,0.00150666313430224,3.08691021834705,0.00228865565246676
col2,treat_p3,0.00670108086422018,0.00187349843872153,3.57677419191925,0.000429698034616126
col3,treat_p1,-0.000268071948579235,0.00049729768374296,-0.539057303789484,0.590440928644884
col3,treat_p2,-0.00109586375761593,0.000598186910363803,-1.83197548898128,0.0684276160517499
col3,treat_p3,-0.000569620550463597,0.00073753051266065,-0.77233489419805,0.440818784243068
col4,treat_p1,0.00182263413208693,0.000859502651662999,2.12056836422834,0.0351039942351387
col4,treat_p2,0.00496089981300712,0.0016012277235263,3.09818506144896,0.00220695715170721
col4,treat_p3,0.00691931518218365,0.00198154398594481,3.49188069064461,0.000582028779081864
col5,treat_p1,-0.000589243792898206,0.000560112154462159,-1.05201036650244,0.294051630766025
col5,treat_p2,-0.00137035967631943,0.000670260401134142,-2.04451833048865,0.0421995620229102
col5,treat_p3,-0.00102400952229675,0.000769547584436767,-1.33066433188302,0.184799620766346
col6,treat_p1,0.00182260142615098,0.000821039263729984,2.21987121282227,0.0274718867969515
col6,treat_p2,0.00455321311390793,0.00151613365693211,3.00317395705162,0.00298836206590215
col6,treat_p3,0.00644641209598793,0.00188733790329415,3.41561099617424,0.000760759899442932
