spec,term,estimate,se,tval,pval
col1,treat_p1,0.0236289512598328,0.00212896934793817,11.0987747581789,5.89025204906304e-12
col1,treat_p2,0.0238598912485905,0.00261307212117839,9.13097310066996,4.9789973651775e-10
col1,treat_p3,0.0202155446867453,0.0018287167892396,11.054497233085,6.47381860526363e-12
col2,treat_p1,0.0236289512598356,0.00212896934793817,11.0987747581802,5.89025204904651e-12
col2,treat_p2,0.0238598912485934,0.00261307212117841,9.13097310067102,4.97899736516491e-10
col2,treat_p3,0.0202155446867488,0.0018287167892396,11.0544972330869,6.47381860523677e-12
col3,treat_p1,0.0243395674492592,0.00257051521353885,9.46875059173477,2.24352249532821e-10
col3,treat_p2,0.0219830803642576,0.00340527935896735,6.45558794063931,4.60107971717815e-07
col3,treat_p3,0.0193764304797203,0.00196169362701283,9.87739890312322,8.72480799566291e-11
col4,treat_p1,0.0236773852464299,0.00209147230289439,11.320917429154,3.68008873293556e-12
col4,treat_p2,0.0239782435389036,0.0025841218054764,9.27906861359542,3.50385479486815e-10
col4,treat_p3,0.0202898916164924,0.00183659176461222,11.0475784588832,6.570231854472e-12
col5,treat_p1,0.0243642446157839,0.00251732785967653,9.67861398034763,1.37753246794746e-10
col5,treat_p2,0.0221313801689599,0.00340722981586382,6.49541749896581,4.13124583285277e-07
col5,treat_p3,0.0194405516300445,0.00196122756692661,9.91244053361399,8.05420289845335e-11
col6,treat_p1,0.0236277260076775,0.00212810037761478,11.102730987793,5.84081111955074e-12
col6,treat_p2,0.0238659245485742,0.00260955457210801,9.14559319956863,4.80863373557486e-10
col6,treat_p3,0.0202126933757063,0.00182694272919711,11.0636710459935,6.34821664216088e-12
