spec,term,estimate,se,tval,pval
col1,treat_p1,0.0581493386926194,0.00399131781798746,14.5689572578162,7.10868340619993e-15
col1,treat_p2,0.056463225583704,0.00554929986180732,10.1748377254414,4.44754396967332e-11
col1,treat_p3,0.0540669085553792,0.00379561180312599,14.2445833135124,1.26390248883623e-14
col2,treat_p1,0.058149338692622,0.00399131781798746,14.5689572578168,7.10868340619199e-15
col2,treat_p2,0.0564632255837052,0.00554929986180736,10.1748377254416,4.44754396967182e-11
col2,treat_p3,0.0540669085553856,0.00379561180312594,14.2445833135143,1.2639024888319e-14
col3,treat_p1,0.0592431682151384,0.00495757132706066,11.9500384980368,1.00265450614802e-12
col3,treat_p2,0.0537108337796687,0.0073099850566783,7.34759830057371,4.28769805728878e-08
col3,treat_p3,0.0549102976507711,0.00480612900127917,11.4250569712458,2.95788747607658e-12
col4,treat_p1,0.0583335160421158,0.0039711336488154,14.6893862561178,5.75553754775386e-15
col4,treat_p2,0.0565923025591893,0.00554321166208708,10.2092985094279,4.11656538184319e-11
col4,treat_p3,0.0542281300601728,0.00383165793761801,14.152654266911,1.49049456658506e-14
col5,treat_p1,0.0593231803270773,0.00483541403905682,12.268479978738,5.28306547635108e-13
col5,treat_p2,0.053956657184885,0.00730977435793311,7.38143950043098,3.9253866614115e-08
col5,treat_p3,0.0549805123173688,0.0047778498974548,11.5073753879663,2.49104859158963e-12
col6,treat_p1,0.0581102417309678,0.00394830162829709,14.7177817709006,5.47706597760092e-15
col6,treat_p2,0.0564539813533858,0.00555609522293259,10.1607296290341,4.59080595985433e-11
col6,treat_p3,0.0540345134105391,0.00378684146830706,14.269019145049,1.20986230266833e-14
