panel,spec,phase,estimate,se,tval,pval,ci_lo,ci_hi
Share,A: vs unreg in non-ETS (CMdG),Phase 1 (2005-08),-0.00141674857230249,0.000833565096661295,-1.69962559370233,0.090740672366529,-0.00305053616175863,0.000217039017153645
Share,A: vs unreg in non-ETS (CMdG),Phase 2 (2009-12),-0.00368941239126094,0.00111492629879755,-3.30910876821183,0.00110819579023108,-0.00587466793690414,-0.00150415684561774
Share,A: vs unreg in non-ETS (CMdG),Phase 3 (2013-19),-0.00240147395023851,0.000873966787780863,-2.74778628182911,0.00654282246231601,-0.004114448854289,-0.000688499046188018
Prob,A: vs unreg in non-ETS (CMdG),Phase 1 (2005-08),-0.00411300596697836,0.00514983642347966,-0.798667302950813,0.425421365237722,-0.0142066853569985,0.00598067342304177
Prob,A: vs unreg in non-ETS (CMdG),Phase 2 (2009-12),-0.0128131532883972,0.00949551486904237,-1.34939005047226,0.178722164162381,-0.0314243624317202,0.00579805585492585
Prob,A: vs unreg in non-ETS (CMdG),Phase 3 (2013-19),0.00414086407533273,0.00973754154771408,0.42524738457263,0.67110901107229,-0.0149447173581869,0.0232264455088523
Share,B: vs reg in ETS (Fig 4 style),Phase 1 (2005-08),0.137510813405939,115.238515783497,0.00119327129884496,0.999049558972445,-225.729980122247,226.005001749059
Share,B: vs reg in ETS (Fig 4 style),Phase 2 (2009-12),-0.305323641595969,109.675380236095,-0.00278388496067857,0.997782636961032,-215.269068904342,214.65842162115
Share,B: vs reg in ETS (Fig 4 style),Phase 3 (2013-19),-0.622031150743005,70.7298409832807,-0.00879446556213866,0.99299529419846,-139.252519477973,138.008457176487
Prob,B: vs reg in ETS (Fig 4 style),Phase 1 (2005-08),0.131494244813126,2247.57816800182,5.85048594461252e-05,0.999953400846866,-4405.12171503876,4405.38470352839
Prob,B: vs reg in ETS (Fig 4 style),Phase 2 (2009-12),-0.665797416341462,2458.78145541909,-0.000270783487029342,0.999784320804297,-4819.87745003776,4818.54585520507
Prob,B: vs reg in ETS (Fig 4 style),Phase 3 (2013-19),-0.873497993089671,1712.70932083592,-0.000510009481739344,0.999593777181241,-3357.7837668315,3356.03677084532
Share,C: vs all other 3 cells (full sample),Phase 1 (2005-08),-0.000589243792898206,0.000560112154462159,-1.05201036650244,0.294051630766025,-0.00168706361564404,0.000508576029847627
Share,C: vs all other 3 cells (full sample),Phase 2 (2009-12),-0.00137035967631943,0.000670260401134142,-2.04451833048865,0.0421995620229102,-0.00268407006254234,-5.66492900965084e-05
Share,C: vs all other 3 cells (full sample),Phase 3 (2013-19),-0.00102400952229675,0.000769547584436767,-1.33066433188302,0.184799620766346,-0.00253232278779281,0.000484303743199318
Prob,C: vs all other 3 cells (full sample),Phase 1 (2005-08),-0.0102220022858941,0.00613045393394453,-1.66741360363129,0.0969817467658337,-0.0222376919964253,0.00179368742463722
Prob,C: vs all other 3 cells (full sample),Phase 2 (2009-12),-0.0211025124044865,0.0093176020947519,-2.26480077061591,0.0245863939056049,-0.0393650125102002,-0.00284001229877276
Prob,C: vs all other 3 cells (full sample),Phase 3 (2013-19),-0.00536433500868812,0.00930903200572796,-0.576250570992491,0.565087331323826,-0.0236100377399149,0.0128813677225387
Share,D: triple diff,Phase 1 (2005-08),-0.000847504285645908,0.000588894614514349,-1.4391442284539,0.151657413969402,-0.00200173773009403,0.000306729158802216
Share,D: triple diff,Phase 2 (2009-12),-0.00140365944880177,0.000630968752659627,-2.22461008232997,0.0272140909761804,-0.00264035820401464,-0.000166960693588904
Share,D: triple diff,Phase 3 (2013-19),-0.000951105459835452,0.00078459537944676,-1.21222414094014,0.22684253102682,-0.0024889124035511,0.000586701483880197
Prob,D: triple diff,Phase 1 (2005-08),-0.0171714289577367,0.00743995197026473,-2.30800266270076,0.0220114413920676,-0.0317537348194556,-0.00258912309601788
Prob,D: triple diff,Phase 2 (2009-12),-0.0290586727993157,0.0100220702988952,-2.89946806724347,0.00415137516558463,-0.0487019305851502,-0.00941541501348123
Prob,D: triple diff,Phase 3 (2013-19),-0.015284958020822,0.00899123282513459,-1.69998467597164,0.0906729790674253,-0.0329077743580858,0.00233785831644177
