year,estimate,se,ci_lo,ci_hi,outcome
2002,-0.407998723182734,3.87958460701764,-8.0119845529373,7.19598710657184,Share (active pairs)
2003,4.48701966553945,2.77920827923452,-0.960228561760201,9.93426789283911,Share (active pairs)
2004,0,0,0,0,Share (active pairs)
2005,3.89454719704411,3.31761372260292,-2.60797569925761,10.3970700933458,Share (active pairs)
2006,3.64094849609333,3.92439055731745,-4.05085699624888,11.3327539884355,Share (active pairs)
2007,3.29889488464711,4.20251513091584,-4.93803477194792,11.5358245412422,Share (active pairs)
2008,5.64047131508091,5.66368562746501,-5.4603525147505,16.7412951449123,Share (active pairs)
2009,3.31386821598107,8.6746659977353,-13.6884771395801,20.3162135715423,Share (active pairs)
2010,-0.986351374238084,8.38028336489587,-17.411706769434,15.4390040209578,Share (active pairs)
2011,-2.38230594076188,7.45628224877407,-16.9966191483591,12.2320072668353,Share (active pairs)
2012,-7.44705594411094,7.57891031566019,-22.3017201628049,7.40760827458304,Share (active pairs)
2013,-4.28684588667689,7.58237138982422,-19.1482938107324,10.5746020373786,Share (active pairs)
2014,-5.49293110882529,7.63514778318109,-20.4578207638602,9.47195854620965,Share (active pairs)
2015,-2.49348903353586,7.20198420531102,-16.6093780759454,11.6224000088737,Share (active pairs)
2016,-6.42592371409482,7.10113774781119,-20.3441536998048,7.49230627161512,Share (active pairs)
2017,-5.62371419570772,7.24978940492177,-19.8333014293544,8.58587303793895,Share (active pairs)
2018,-5.66736682736205,6.97852436407999,-19.3452745809588,8.01054092623473,Share (active pairs)
2019,-5.82856661683407,6.94368266213661,-19.4381846346218,7.78105140095369,Share (active pairs)
