spec,term,estimate,se,tval,pval,ci_lo,ci_hi
"share, col5 FE",treat_pre,-71.0395317787588,347.503349263984,-0.204428336961993,0.83802053100462,-752.146096336168,610.06703277865
"share, col5 FE",treat_p1,-68.1997278989984,347.70777477096,-0.196140934564729,0.844501527079106,-749.706966450079,613.307510652082
"share, col5 FE",treat_p2,-75.5254123343693,347.680476244568,-0.217226498163339,0.828033691806389,-756.979145773723,605.928321104984
"share, col5 FE",treat_p3,-75.6978044862444,347.63736268398,-0.217749334829288,0.827626283532972,-757.067035346845,605.671426374356
"share, col1 FE (sn4d_year)",treat_pre,32.1188509749027,16.846542070147,1.906554522653,0.0565886337025167,-0.9003714825853,65.1380734323908
"share, col1 FE (sn4d_year)",treat_p1,28.5685834804784,14.4455450915397,1.97767431408387,0.0479753535930281,0.255315101060589,56.8818518598963
"share, col1 FE (sn4d_year)",treat_p2,2.53368593133242,4.28014826430423,0.591962187960395,0.55388073938962,-5.85540466670387,10.9227765293687
"share, col1 FE (sn4d_year)",treat_p3,-0.549359506985481,1.57942858412843,-0.347821682161485,0.727976747617626,-3.6450395318772,2.54632051790624
"share, col4 FE (seller_buyer + bn4d_year)",treat_pre,-44.8801107118452,270.219316663985,-0.166087721876868,0.868089323203373,-574.509971373256,484.749749949566
"share, col4 FE (seller_buyer + bn4d_year)",treat_p1,-38.6438013562911,270.423486752587,-0.142901054269915,0.886369532145144,-568.673835391361,491.386232678779
"share, col4 FE (seller_buyer + bn4d_year)",treat_p2,-39.9032548766118,270.36583336306,-0.147589857713374,0.882667706413788,-569.82028826821,490.013778514986
"share, col4 FE (seller_buyer + bn4d_year)",treat_p3,-41.5603449639239,270.369446018516,-0.153716869919827,0.877834282106836,-571.484459160216,488.363769232368
