year,estimate,se,ci_lo,ci_hi,outcome
2005,0,0,0,0,Share
2006,-0.0254260620903449,0.0221642382875076,-0.0688679691338598,0.01801584495317,Share
2007,0.0191300692674873,0.0258997626416696,-0.0316334655101852,0.0698936040451597,Share
2008,0.0176064659765393,0.0260782172123762,-0.0335068397597179,0.0687197717127966,Share
2009,0.054840452047628,0.0327461992991068,-0.00934209857862141,0.119023002673877,Share
2010,0.0410183910290033,0.0325252859641781,-0.0227311694607859,0.104767951518792,Share
2011,0.0464946808142016,0.0298269856278464,-0.0119662110163773,0.104955572644781,Share
2012,0.0507295426281872,0.032872904819599,-0.0137013508182268,0.115160436074601,Share
2013,0.0433106014486823,0.0326346623510463,-0.0206533367593685,0.107274539656733,Share
2014,0.0436393083670983,0.0334702609767949,-0.0219624031474197,0.109241019881616,Share
2015,0.0361219685334095,0.0353520252770606,-0.0331680010096293,0.105411938076448,Share
2016,0.0278217900009477,0.0366996860011603,-0.0441095945613265,0.0997531745632218,Share
2017,0.0198725010659838,0.0365176870451585,-0.0517021655425269,0.0914471676744945,Share
2018,0.0115656891334301,0.0365683843828756,-0.0601083442570061,0.0832397225238664,Share
2019,0.0342499995335751,0.0357153499910913,-0.0357520864489639,0.104252085516114,Share
2005,0,0,0,0,Probability
2006,0.000346475265502596,0.0260631788634904,-0.0507373553069386,0.0514303058379438,Probability
2007,0.0480814942174769,0.0312753822837711,-0.0132182550587145,0.109381243493668,Probability
2008,0.0511953860183755,0.0332053630878792,-0.0138871256338677,0.116277897670619,Probability
2009,0.0853850327194662,0.0392026005216935,0.00854793569694687,0.162222129741985,Probability
2010,0.0741428202303591,0.0397090770488472,-0.00368697078538147,0.1519726112461,Probability
2011,0.0787650376934053,0.0374373197701834,0.00538789094384581,0.152142184442965,Probability
2012,0.0877239029620551,0.0410244579124177,0.00731596545371634,0.168131840470394,Probability
2013,0.0773045528989561,0.042017830970893,-0.00505039580399423,0.159659501601907,Probability
2014,0.0800120526496658,0.04161271302151,-0.00154886487249377,0.161572970171825,Probability
2015,0.0764217408857758,0.0430225999580657,-0.00790255503203295,0.160746036803585,Probability
2016,0.0680802847826803,0.0438348173943774,-0.0178359573102994,0.15399652687566,Probability
2017,0.0569169870880686,0.0440152035273511,-0.0293528118255396,0.143186786001677,Probability
2018,0.0482274763349695,0.0437345022933898,-0.0374921481600745,0.133947100830013,Probability
2019,0.0707857753318789,0.042812788679507,-0.0131272904799547,0.154698841143713,Probability
