"denominator","phase","n_firm_years","pct_positive_share","mean_share","median_share","p75_share","p90_share","p99_share","max_share","em_weighted_mean"
"mat_inputs","Phase I",641,15.600624024961,0.00015556868092668,0,0,7.35623208954144e-05,0.00486266121716741,0.00490758339891589,0.00112650588493809
"mat_inputs","Phase II",1118,9.48121645796064,0.000113771022785762,0,0,0,0.0040149370805417,0.00407246513419962,0.000829217257395657
"mat_inputs","Phase III",1721,53.7478210342824,0.00424348553227012,4.1004282605421e-05,0.00138868095164874,0.00737567032143827,0.121187513310102,0.121236468184345,0.011561650934843
"mat_inputs","Phase IV",410,63.9024390243902,0.0127765969043509,0.00165757742635796,0.00988908877834595,0.0293263443343296,0.243149491526229,0.25209587176679,0.0414586259809873
"revenue","Phase I",646,15.7894736842105,0.00010675971142979,0,0,5.23140285758946e-05,0.00344947206188923,0.00350877127593408,0.000799138479298602
"revenue","Phase II",1128,9.48581560283688,8.3847011517397e-05,0,0,0,0.00291697292266197,0.00304731097153832,0.000709645042140709
"revenue","Phase III",1739,53.9390454284071,0.00298945542347533,2.72996400794959e-05,0.0010345121120361,0.0049991091593679,0.0946113286496648,0.0953141789341088,0.00836117378122064
"revenue","Phase IV",417,64.0287769784173,0.00983225245851515,0.0012339738215377,0.00748281783318069,0.0184342455099401,0.218651336047455,0.219875197302357,0.0328792529295966
"total_cost","Phase I",642,15.5763239875389,0.000121837269515398,0,0,5.90000408924872e-05,0.0039717382046407,0.00398111736765163,0.000914214387854182
"total_cost","Phase II",1122,9.44741532976827,9.09622488805387e-05,0,0,0,0.00314707437931329,0.00316625022564908,0.00071536399553189
"total_cost","Phase III",1730,53.8150289017341,0.00374051999094137,3.21407634586311e-05,0.00111544668441243,0.00591830542128711,0.120839613602544,0.122328878860773,0.0102107038996375
"total_cost","Phase IV",414,64.0096618357488,0.0139156130387849,0.00142151654952977,0.00872825711801346,0.0225558776815502,0.416370948281465,0.42502473801363,0.0440826406821097
