"phase5","sample","n_pair_years","n_treated_pairs","n_zero_shock","p50","p75","p90","p95","p99","mean","sales_wmean"
"I","all_active",567827,7423,566959,0,0,0,0,0,6.21124669708822e-07,2.07489278885483e-05
"II","all_active",891604,12324,891114,0,0,0,0,0,2.36750761010597e-07,4.98800421307671e-05
"III pre-MSR","all_active",778349,11146,773941,0,0,0,0,0,7.84905980213506e-06,0.000426195987002869
"III post-MSR","all_active",417203,5817,413828,0,0,0,0,0,3.96776672542714e-05,0.00195980438159129
"IV","all_active",256416,3597,253827,0,0,0,0,3.90710640814301e-07,0.000171154863812987,0.00210143242595186
"I","ets_seller_active",7423,NA,NA,0,0,1.42844794617303e-06,4.95646352586148e-05,0.00139886369202502,4.75133177726999e-05,7.36265466085707e-05
"II","ets_seller_active",12324,NA,NA,0,0,0,0,0.00068551229134615,1.71281990847203e-05,0.000136123944181115
"III pre-MSR","ets_seller_active",11146,NA,NA,0,5.50935560458472e-05,0.000966010304338585,0.00239644186022911,0.00892414406876856,0.000548116620126684,0.00114565705587909
"III post-MSR","ets_seller_active",5817,NA,NA,5.2350238849112e-05,0.00206663446828595,0.00967802105367349,0.0142583079672411,0.033886035336174,0.00284573522631662,0.00564239206709671
"IV","ets_seller_active",3597,NA,NA,0.000836184357006451,0.00751482805304107,0.0329927902768034,0.082930438820773,0.120315433235367,0.0122009578981015,0.00942484739198
