"buyer_nace2d","n_treated_pairs","p50","p90","p95","p99","mean","sales_wmean"
"32",8,0.00125663043313531,0.0893281515209227,0.106597170993703,0.120412386571927,0.0252914012513878,0.0878669768623369
"23",1319,0.00128841976136672,0.0879567443946063,0.247432169760958,0.672113863042147,0.0402974754317699,0.210201890504498
"17",54,9.38297488937538e-06,0.00487494292518123,0.00587412325595508,0.0361936650003963,0.00214737315709761,0.00583478788795888
"19",15,4.53121649377628e-05,0.00384972933551691,0.00461342872178138,0.00469764458399024,0.000841976576446522,0.00132431443747949
"13",276,9.4306117220963e-06,0.00185414849706443,0.00767014838535722,0.0244431007066085,0.0018595014409328,0.0117396526970257
"18",37,1.15349727128764e-06,0.0010089397410249,0.00595088527514435,0.0401888582429476,0.002071161043812,0.0114838231210109
"22",166,3.52502688208283e-06,0.000990735287934229,0.00181887334183963,0.0138445282111383,0.00112970474053717,0.00380000756425834
"25",185,8.00137149493873e-06,0.000945500541729685,0.00174773877948823,0.0103355437555818,0.000935591236803867,0.00573238534401343
"20",773,4.73024076565595e-06,0.000852999702959433,0.00258789852828467,0.0213952496438437,0.000946763907843432,0.00632625269549175
"28",86,6.70247547210532e-07,0.00057361514655951,0.00364005131474796,0.0147653053446725,0.000795920410890627,0.00349142118309669
"27",25,0,9.86117004995309e-05,0.000267400131328201,0.000731708555450749,5.346433689716e-05,0.00020463008370066
"24",87,2.7415793845157e-07,7.9903923746322e-05,0.000202610427682416,0.00330802317077635,0.000113687923851543,0.000152541455150367
"11",170,0,4.37417800454611e-05,0.000146518177200389,0.0017711349600019,0.000116629772742259,0.00112507960679403
"21",14,7.78679240249413e-07,1.96540811919414e-05,2.38778829461878e-05,2.85163052120622e-05,5.39317614830716e-06,5.76622487866051e-06
"29",97,0,3.59420009136835e-07,1.95855653108543e-06,6.04342860712149e-05,1.61867461523477e-06,2.14329106627954e-05
"16",142,0,0,0,0,0,0
"31",78,0,0,0,0,0,0
"33",9,0,0,0,0,0,0
