"window","buyer_nace2d","n_buyers","p25","p50","p75","p90","mean"
"2005-2019","24",255,0.20734383408459,0.309151742440055,0.480078718918766,0.801001424314594,0.413760642305657
"2005-2019","12",24,0.247188382170477,0.301345588468356,0.424698167163758,0.822584334615632,0.392286654672731
"2005-2019","33",883,0.207959220972444,0.295881137064638,0.462390418003339,0.716838886828826,0.38872213425417
"2005-2019","28",1276,0.194895468091218,0.279580873865517,0.423383959182303,0.687694641720698,0.365826737518982
"2005-2019","26",353,0.188385663487088,0.277923422676855,0.423014772779919,0.614222412044455,0.33903008466062
"2005-2019","25",3758,0.183692470992967,0.265165868061145,0.4173729522867,0.68193426194084,0.357697579556607
"2005-2019","29",324,0.178119544825373,0.2555860421733,0.377798843917955,0.607955178736954,0.326930471568551
"2005-2019","19",14,0.185493795927977,0.25189646661776,0.26832735522519,0.94217066094549,0.731475178953743
"2005-2019","27",467,0.179828846861081,0.248629330169688,0.379154865059601,0.593743166291156,0.324527589681942
"2005-2019","21",129,0.14140372022382,0.240895364583667,0.415539360331946,0.600617818363038,0.338123918080902
"2005-2019","13",810,0.16167354223637,0.24077683654402,0.392339406645949,0.656473377466719,0.330945476240263
"2005-2019","15",43,0.167606098777456,0.229563893790766,0.334804575707763,0.406640091427906,0.297861856400718
"2005-2019","20",585,0.151132606312445,0.228981187935756,0.373717806823918,0.609822404248155,0.3170473106057
"2005-2019","16",812,0.1533632140799,0.223772097613406,0.351962472428834,0.57578443020406,0.303237970025746
"2005-2019","31",1022,0.150486672785247,0.218312376940172,0.342782923777763,0.554601308539685,0.298420282002546
"2005-2019","22",753,0.150804869889123,0.214074238005204,0.336035970531997,0.59484065003631,0.297865873389576
"2005-2019","32",383,0.146590257510298,0.209064829139248,0.327026749686466,0.54525377121204,0.294836357445531
"2005-2019","23",1094,0.148176624130001,0.206745140952473,0.335321765022967,0.583122609433491,0.302558013896037
"2005-2019","18",1395,0.136042661412685,0.198157886317568,0.312055096814615,0.539173412415126,0.275371638564405
"2005-2019","17",264,0.127385180835446,0.182247342121286,0.294919376729503,0.54677026092912,0.281336913819345
"2005-2019","11",146,0.109166270461773,0.173108270365941,0.243436452567609,0.431957794622075,0.224088146197394
"2019-2022","19",11,0.177814374659113,0.399354008192236,0.472918484066227,0.531364909164875,0.377913161113897
"2019-2022","15",26,0.186750373145401,0.300779795138776,0.378483552836774,0.565773226845453,0.322475937418115
"2019-2022","24",166,0.179134968263326,0.253858872158227,0.337950677488092,0.514682204590852,0.294572349033096
"2019-2022","26",286,0.153449713307157,0.242146635490741,0.344150008407127,0.529146497955054,0.286275901507622
"2019-2022","27",326,0.152654130671813,0.238748763071992,0.387503570707824,0.65059837297626,0.318483863319017
"2019-2022","11",165,0.155411319225542,0.233960380788185,0.371617183665862,0.540333634111665,0.340732081287587
"2019-2022","28",905,0.141189974358029,0.230059410534089,0.37941579683676,0.569919029511186,0.3181794918886
"2019-2022","33",748,0.139677638834737,0.224877948441098,0.354533797978577,0.579975611796336,0.307617983078671
"2019-2022","13",456,0.142319825904945,0.224465267431455,0.333306444472417,0.523616573603487,0.284026286286126
"2019-2022","25",2593,0.143869272972603,0.223270455827058,0.353597289302181,0.580521404736245,0.303614314946324
"2019-2022","20",472,0.143908566305638,0.223139678581927,0.349337527577715,0.50997851043403,0.297314862726682
"2019-2022","21",111,0.134729867861004,0.218928005719706,0.349415868214713,0.6214029472693,0.30594157543662
"2019-2022","12",13,0.193803083787604,0.215540242177271,0.41158906094098,0.563291185507044,0.334521545033751
"2019-2022","16",535,0.132945243292494,0.214192231871879,0.344036528881264,0.556525873754018,0.288330266864191
"2019-2022","29",235,0.132859455215491,0.205117540940947,0.309079594072545,0.430338110011725,0.25463379363163
"2019-2022","32",266,0.135108744866342,0.204041182903275,0.35061121726639,0.530266185509211,0.285153043086272
"2019-2022","18",668,0.140954265393674,0.203801896295057,0.317160015195723,0.526632143840997,0.277393865598425
"2019-2022","22",551,0.136479817694115,0.202937773726887,0.305801491142266,0.486886176319679,0.27969418193633
"2019-2022","31",637,0.125152001893138,0.195486244781711,0.301004081646523,0.488731074230201,0.272774489445213
"2019-2022","17",169,0.118483701257136,0.18901604845097,0.263996749473515,0.413439283857533,0.253793929965003
"2019-2022","23",767,0.111255986857087,0.17189672505517,0.276042240501252,0.493648484128949,0.249373947932765
"2005-2022","24",262,0.220183632429563,0.311641963510107,0.460046462291691,0.777329531637716,0.411780936608208
"2005-2022","12",24,0.236052133149744,0.307122773107141,0.530006542289516,0.80576491992938,0.396733176320878
"2005-2022","33",967,0.212700994629622,0.302999462150712,0.463326213428461,0.724869668708161,0.392881110716069
"2005-2022","28",1327,0.200250032272959,0.287748862364652,0.441938727810344,0.714373066747241,0.375098393581544
"2005-2022","26",380,0.198145878121103,0.282693667991905,0.431810456556343,0.631072754325947,0.350426453206275
"2005-2022","25",3981,0.190428818244553,0.274953429154773,0.433955120112874,0.691042176680252,0.366533303577649
"2005-2022","29",339,0.179767125811182,0.265133951159743,0.389839264272019,0.601247990692222,0.329184687573042
"2005-2022","21",140,0.173964497733384,0.262883976158171,0.426064017772503,0.626150734118079,0.3622256665858
"2005-2022","27",490,0.188014153045764,0.261070581117639,0.412670535157838,0.634827653596045,0.336943813558268
"2005-2022","19",14,0.221963272449466,0.256422982451979,0.309811566284956,0.94520253559798,0.760485422072497
"2005-2022","13",837,0.173258041722553,0.25410925406366,0.407502926841623,0.657520615132203,0.337299230226209
"2005-2022","20",606,0.169274338091497,0.243526306313607,0.383077324161729,0.629932727163852,0.327192643357151
"2005-2022","15",44,0.176308681032474,0.242860065179195,0.344350913698064,0.443398975879756,0.306445895146796
"2005-2022","16",865,0.16917933365266,0.236205943211777,0.386121329489005,0.594211083882062,0.321784370482137
"2005-2022","31",1071,0.16121023868688,0.22932940016843,0.356252744098186,0.567325833190833,0.310436580549931
"2005-2022","22",783,0.161521823259768,0.221533623038882,0.343011108362394,0.584939561918531,0.312264972636494
"2005-2022","32",396,0.154406976248609,0.218830352665043,0.344732575431858,0.545138191092033,0.304220486055937
"2005-2022","11",176,0.148624947926655,0.217887498390931,0.333458169925372,0.542398878719468,0.287932520772687
"2005-2022","23",1124,0.151063823936773,0.216010728889303,0.34781104999668,0.571596400834434,0.304924434517557
"2005-2022","18",1439,0.144179070664984,0.210343773379538,0.326558604636002,0.562278570960062,0.287358753359432
"2005-2022","17",270,0.136557324274743,0.193820056731575,0.316634236335293,0.565167178120486,0.303805915220986
