"window","buyer_nace2d","n_buyers","p25","p50","p75","p90","mean"
"2005-2019","12",24,0.19927625075391,0.272365081416342,0.310655657737849,0.519763072274894,0.330689061284278
"2005-2019","21",129,0.117242904816539,0.206915303895157,0.390121927449205,0.734612505298231,0.404138626045359
"2005-2019","26",353,0.114947578322087,0.174892851116066,0.308879668983324,0.511701525281568,0.261521670402037
"2005-2019","28",1276,0.110536489404416,0.17370626808227,0.269687544435818,0.450500236250258,0.238553978018687
"2005-2019","33",883,0.115069283119953,0.173537992942362,0.255901894296146,0.40055387340787,0.229851748192154
"2005-2019","25",3758,0.111559129321766,0.162344557627647,0.252373054175632,0.389034960404471,0.218326888846951
"2005-2019","24",255,0.0984240339449711,0.154125069621511,0.261492754392545,0.526701526722226,0.242604441408366
"2005-2019","29",324,0.100789451354082,0.153544559650397,0.243579792808183,0.368082504889414,0.209103755233609
"2005-2019","27",467,0.107433535616334,0.151296704677713,0.241390622912469,0.396518245965859,0.21481604394285
"2005-2019","32",383,0.101249526598436,0.148785650658676,0.237224652321812,0.380672897409282,0.224753546220966
"2005-2019","13",810,0.0943178723018464,0.140914739149669,0.239931322763309,0.426105870785855,0.203509945654112
"2005-2019","31",1022,0.0949046704541628,0.140013681796997,0.208025060024027,0.33386904086873,0.184645422865032
"2005-2019","16",812,0.093854922325109,0.138070692783537,0.222275245889788,0.34167922062196,0.187547901158176
"2005-2019","18",1395,0.0921525819069907,0.136615493023203,0.206254352832359,0.343014644521745,0.190950542962389
"2005-2019","20",585,0.0872330178373999,0.13457424711744,0.228931299677732,0.378990034096265,0.207435265204075
"2005-2019","23",1094,0.08629827694728,0.130352777869577,0.208069714153183,0.35003640749112,0.187820510044274
"2005-2019","15",43,0.0835765315648957,0.126149926336235,0.212084699736093,0.258275682538249,0.168907379013693
"2005-2019","11",146,0.0806624365778172,0.126066464112241,0.198396540417625,0.363613308021301,0.187313254513697
"2005-2019","22",753,0.0824014983283479,0.119903564491873,0.190848954498044,0.357234280282761,0.179016365664201
"2005-2019","17",264,0.0769885744772939,0.118043204159395,0.183711662648335,0.341791109771506,0.169840991341523
"2005-2019","19",14,0.0735794257095729,0.103274482820894,0.174661409045985,0.361004618075669,0.159337587600314
"2019-2022","12",13,0.184262236381773,0.235009603313549,0.347051699730527,0.389499817696703,0.252130856404069
"2019-2022","21",111,0.104110888020787,0.17905212998892,0.322918956959257,0.595432676739085,0.363081203709116
"2019-2022","26",286,0.092028801583882,0.14936616501311,0.282022680825148,0.490102924607649,0.258723512254159
"2019-2022","15",26,0.0654922425453705,0.145246895014257,0.201903744466357,0.285016263378487,0.161320682274292
"2019-2022","28",905,0.0880402743296892,0.143938761552178,0.244337624117212,0.389213951477076,0.210980773772333
"2019-2022","32",266,0.0903513070305988,0.142057553368165,0.233457850018439,0.38251033368806,0.203242545854363
"2019-2022","27",326,0.0858881461931707,0.140112689604699,0.24016149718964,0.363214005119093,0.199149787707695
"2019-2022","33",748,0.0861658956495531,0.137158174374869,0.225694524722901,0.35691877373975,0.19542374622314
"2019-2022","25",2593,0.0830135366527425,0.134486709834287,0.222001418706136,0.356032783036614,0.189499045505055
"2019-2022","13",456,0.0697485632415049,0.124655020080787,0.204539635944403,0.356437104388726,0.174155960436692
"2019-2022","29",235,0.0760959970341301,0.123294010134385,0.196932798062881,0.304092316852611,0.166529824949881
"2019-2022","11",165,0.0667248234344233,0.121533886314812,0.223528484701328,0.437015245147338,0.19777370090709
"2019-2022","31",637,0.0713435874299805,0.120229883060537,0.205632731336866,0.333536292024713,0.17444010014985
"2019-2022","16",535,0.0695568989331089,0.119279775614558,0.202879779409206,0.326220131404287,0.169320334030825
"2019-2022","20",472,0.0712273861557042,0.117512778783381,0.186913124888066,0.327606079340009,0.180253911333419
"2019-2022","18",668,0.0676066084872227,0.113736032531031,0.198214928000796,0.351454711985913,0.169170466865222
"2019-2022","24",166,0.0688136788461156,0.112920705225615,0.195456980108461,0.308388898280649,0.159342596505237
"2019-2022","22",551,0.0656106600301536,0.109962469679263,0.171969754216463,0.284138336207301,0.154802816559082
"2019-2022","17",169,0.061965390852195,0.103925146695921,0.163440149462118,0.278373861485585,0.161893566104154
"2019-2022","23",767,0.0578013994516301,0.103234405048595,0.171313369357494,0.283587621348441,0.157582453139917
"2019-2022","19",11,0.0685579043699697,0.0949369441342801,0.166009840237048,0.207427559527947,0.180867565282505
"2005-2022","12",24,0.216735850259525,0.270305187857687,0.313262333189507,0.632643809169596,0.357103617840784
"2005-2022","21",140,0.128728892839431,0.214552131787757,0.433319473895682,0.753554716188522,0.417159224061914
"2005-2022","26",380,0.12106378757164,0.195515834517495,0.327551358699418,0.576026515080544,0.289858210326834
"2005-2022","28",1327,0.117066305387825,0.175887225094077,0.274774193885217,0.456856503635168,0.244242036156755
"2005-2022","33",967,0.120213709224803,0.175153437088501,0.256400157790262,0.411860410420893,0.234215087295439
"2005-2022","25",3981,0.11551981536922,0.164310255238785,0.254889965630361,0.401383855691941,0.22366122602108
"2005-2022","24",262,0.103058627009564,0.156897941494584,0.263861300357586,0.492202936942705,0.239948675479128
"2005-2022","27",490,0.112818229653965,0.155528209995735,0.258092688104202,0.418768325272218,0.226253158102329
"2005-2022","29",339,0.104177802900323,0.153607102344616,0.24535623084485,0.365474311322377,0.208368913819397
"2005-2022","32",396,0.108444277833319,0.152374235149266,0.243788002169781,0.396143047430891,0.222707437887387
"2005-2022","13",837,0.0994204552284507,0.146090365576353,0.246859432855619,0.424302592627753,0.208571471428639
"2005-2022","16",865,0.0976701074189518,0.145282058904329,0.226440179007393,0.351708941975666,0.195125249503298
"2005-2022","31",1071,0.0972260816647051,0.14515303711674,0.21259209025363,0.356395649434308,0.193003876486058
"2005-2022","11",176,0.0855317254606052,0.142923584040541,0.228733395964596,0.406889319615623,0.198648299777048
"2005-2022","20",606,0.0922355112271405,0.140901383684634,0.229153697803497,0.391588812608898,0.215213916505142
"2005-2022","18",1439,0.0944374591752982,0.140682339415044,0.214068674217914,0.362644102750746,0.197045441787198
"2005-2022","15",44,0.084673554297168,0.134964594066415,0.222630685598655,0.298514099857065,0.170217912568587
"2005-2022","23",1124,0.0879151271102196,0.133745875606733,0.208639830024602,0.351140477573117,0.189164794471318
"2005-2022","22",783,0.0863330548583352,0.126810035351708,0.194257477571978,0.370512567179395,0.190312583404449
"2005-2022","17",270,0.0834400076552451,0.124220366341467,0.188319702518123,0.354955444136097,0.179566815479688
"2005-2022","19",14,0.0817571905271518,0.106762427803466,0.165610384608675,0.416400336652032,0.169236204513636
