"buyer_nace2d","n_cells","p25","p50","p75","p90","mean"
"19",10,0.655743081176753,1.46776990976179,2.21666939913115,3.30191971463966,1.6554801624282
"29",312,0.724244786853313,1.23103421535001,1.8070920324013,2.4417431194198,1.35775980601954
"33",700,0.706994267512426,1.15553595591149,1.73048554278645,2.42645595594341,1.32212279202537
"21",392,0.518222255235501,1.05521083665053,1.69706887896623,2.24402381579875,1.20022029439019
"25",13622,0.605733280251025,0.97117234427656,1.45457367675212,2.02274429841708,1.11086606846047
"12",24,0.495306615359546,0.891953921693502,1.53944073258164,1.95772055503187,1.0883240045549
"11",223,0.429564722409328,0.863027324945605,1.42307096957695,2.10584216656639,1.01818363404018
"16",1154,0.497159514397712,0.858130949881879,1.35387680447839,1.94524087910512,1.00193730357587
"28",15062,0.521210982984374,0.849619217213791,1.28867909694607,1.81865009401048,0.984116626733173
"13",8801,0.52372618445302,0.837789928034779,1.26078172182551,1.79706987055861,0.982092381540665
"22",2415,0.481530791212609,0.826017107964457,1.28149557898091,1.80570415921373,0.95683248733627
"26",2982,0.487737879104078,0.819304140409505,1.24241760976933,1.77133541504792,0.942618734485938
"20",1740,0.447348424915284,0.796250549856716,1.34359821583925,2.03905949526368,1.0080234021602
"18",11986,0.472454217216245,0.793116373786365,1.21481690044612,1.7296213697189,0.923992052538852
"27",5013,0.485815079245253,0.791308105945161,1.22737392860719,1.76928535133834,0.939312823385354
"24",661,0.425886618510726,0.782679612515441,1.29948340362455,1.91084007169185,0.947044287940256
"31",9854,0.462499257472109,0.778893429994187,1.1970918356634,1.68871922903859,0.903765219454756
"32",263,0.502506117438819,0.750681212194286,1.13430407025694,1.68124892917892,0.900591829786692
"23",3239,0.387635452045072,0.719887560365646,1.23398487309114,1.83914986466925,0.906567526334391
"17",599,0.367332100549968,0.669439360208246,1.11782168689164,1.72812973649466,0.871192811781396
"15",17,0.246080015028428,0.524545475346514,1.08642249045888,1.57841504757362,0.745285906579146
