year,estimate,se,ci_lo,ci_hi,treat_label
2000,-0.0762829239949409,0.0131464543829376,-0.102049974585499,-0.0505158734043831,CMdG-tight (7 NACE 2d)
2001,-0.0879706448814227,0.0126578573774615,-0.112780045341247,-0.0631612444215981,CMdG-tight (7 NACE 2d)
2002,-0.0611317497570308,0.0119426312201246,-0.0845393069484751,-0.0377241925655866,CMdG-tight (7 NACE 2d)
2003,-0.0594777634175653,0.0143496464737908,-0.0876030705061952,-0.0313524563289354,CMdG-tight (7 NACE 2d)
2004,0,0,0,0,CMdG-tight (7 NACE 2d)
2005,0.0202011734940497,0.00378907144821552,0.0127745934555473,0.0276277535325521,CMdG-tight (7 NACE 2d)
2006,0.029476559546765,0.00680350439261589,0.0161416909372379,0.0428114281562922,CMdG-tight (7 NACE 2d)
2007,0.042353751980976,0.00826653244540087,0.0261513483879903,0.0585561555739617,CMdG-tight (7 NACE 2d)
2008,0.0738128201417752,0.0110816730715322,0.0520927409215721,0.0955328993619782,CMdG-tight (7 NACE 2d)
2009,0.058987913413105,0.0133502527282505,0.0328214180657341,0.0851544087604759,CMdG-tight (7 NACE 2d)
2010,0.0879440311257404,0.0148290335879825,0.0588791252932948,0.117008936958186,CMdG-tight (7 NACE 2d)
2011,0.0968763581625382,0.0207234812671002,0.0562583348790218,0.137494381446055,CMdG-tight (7 NACE 2d)
2012,0.0901031714678749,0.023556716745563,0.0439320066465715,0.136274336289178,CMdG-tight (7 NACE 2d)
2013,0.0500258699609095,0.025704144334933,-0.000354252935559136,0.100405992857378,CMdG-tight (7 NACE 2d)
2014,0.0368054785108096,0.0252774667377721,-0.0127383562952237,0.0863493133168428,CMdG-tight (7 NACE 2d)
2015,0.0305866273949293,0.0267473804078247,-0.0218382382044072,0.0830114929942657,CMdG-tight (7 NACE 2d)
2016,0.0189169708251302,0.0282137002121064,-0.0363818815905983,0.0742158232408588,CMdG-tight (7 NACE 2d)
2017,0.0409099846419967,0.0285172781936924,-0.0149838806176404,0.0968038499016339,CMdG-tight (7 NACE 2d)
2018,0.0606841096014993,0.0303695328438971,0.00115982522746096,0.120208393975538,CMdG-tight (7 NACE 2d)
2019,0.0496507552348461,0.0298960794358286,-0.00894556045937793,0.10824707092907,CMdG-tight (7 NACE 2d)
2020,0.0433413321193537,0.0306469138246953,-0.016726618977049,0.103409283215756,CMdG-tight (7 NACE 2d)
2021,0.0977381111703197,0.0352450207194156,0.028657870560265,0.166818351780374,CMdG-tight (7 NACE 2d)
2022,0.174815340169854,0.049199519693525,0.0783842815705446,0.271246398769163,CMdG-tight (7 NACE 2d)
2000,-0.0552569786405575,0.0118588112203827,-0.0785002486325076,-0.0320137086486074,"Broad (our list, 14 NACE 2d)"
2001,-0.0654248804212083,0.0109296902146869,-0.0868470732419946,-0.0440026876004221,"Broad (our list, 14 NACE 2d)"
2002,-0.0529389804299523,0.00952415439144711,-0.0716063230371887,-0.034271637822716,"Broad (our list, 14 NACE 2d)"
2003,-0.0441783917926883,0.0111373577469006,-0.0660076129766134,-0.0223491706087631,"Broad (our list, 14 NACE 2d)"
2004,0,0,0,0,"Broad (our list, 14 NACE 2d)"
2005,0.01747857442208,0.00365907093596083,0.0103067953875968,0.0246503534565633,"Broad (our list, 14 NACE 2d)"
2006,0.0435117695910916,0.00633417470381824,0.0310967871716079,0.0559267520105754,"Broad (our list, 14 NACE 2d)"
2007,0.0413838201086988,0.00835465195471555,0.0250087022774563,0.0577589379399412,"Broad (our list, 14 NACE 2d)"
2008,0.0651837093493911,0.010179668651808,0.0452315587918475,0.0851358599069348,"Broad (our list, 14 NACE 2d)"
2009,0.055670543500678,0.0110902490107732,0.0339336554395625,0.0774074315617936,"Broad (our list, 14 NACE 2d)"
2010,0.0754230218237728,0.0127391276863798,0.0504543315584684,0.100391712089077,"Broad (our list, 14 NACE 2d)"
2011,0.0738822433123844,0.0186635285551293,0.037301727344331,0.110462759280438,"Broad (our list, 14 NACE 2d)"
2012,0.0718934163512635,0.0206965063253353,0.0313282639536064,0.112458568748921,"Broad (our list, 14 NACE 2d)"
2013,0.0408074378608966,0.0221785024844664,-0.0026624270086575,0.0842773027304507,"Broad (our list, 14 NACE 2d)"
2014,0.0345473631565458,0.0220454624731814,-0.00866174329088976,0.0777564696039813,"Broad (our list, 14 NACE 2d)"
2015,0.0422035803097109,0.0234263302470353,-0.0037120269744784,0.0881191875939001,"Broad (our list, 14 NACE 2d)"
2016,0.0343038931128821,0.024756232530247,-0.0142183226464019,0.0828261088721662,"Broad (our list, 14 NACE 2d)"
2017,0.051341484204841,0.0252265788209504,0.00189738971577812,0.100785578693904,"Broad (our list, 14 NACE 2d)"
2018,0.0690723882151522,0.0264178225043985,0.0172934561065312,0.120851320323773,"Broad (our list, 14 NACE 2d)"
2019,0.0587991280301565,0.0262978649804228,0.00725531266852775,0.110342943391785,"Broad (our list, 14 NACE 2d)"
2020,0.0579686912378885,0.0269313084119078,0.00518332675054927,0.110754055725228,"Broad (our list, 14 NACE 2d)"
2021,0.0971638651144585,0.0314004012807433,0.0356190786042016,0.158708651624715,"Broad (our list, 14 NACE 2d)"
2022,0.146127383435081,0.0439731081587349,0.0599400914439602,0.232314675426201,"Broad (our list, 14 NACE 2d)"
