"h","coef","se","lo68","hi68","lo90","hi90","lo95","hi95","n"
0,0.000344711784692264,0.000371616628229278,-2.69048435370141e-05,0.000716328412921542,-0.000266597568744899,0.000956021138129427,-0.000383656806637121,0.00107308037602165,179
1,0.000622426886082156,0.000652540614102025,-3.01137280198696e-05,0.00127496750018418,-0.000451002424115676,0.00169585619627999,-0.000656552717557814,0.00190140648972213,178
2,0.000885422954451951,0.000885729177951416,-3.06223499464968e-07,0.00177115213240337,-0.000571601543278128,0.00234244745218203,-0.000850606234332824,0.00262145214323673,177
3,0.00102698544421364,0.00101164658803916,1.53388561744815e-05,0.0020386320322528,-0.000637173193110776,0.00269114408153806,-0.000955841868343111,0.00300981275677039,176
4,0.00150026913925968,0.00118853571910434,0.000311733420155346,0.00268880485836402,-0.00045487211866695,0.00345541039718631,-0.000829260870184816,0.00382979914870418,175
5,0.00152933447698706,0.00112656641793121,0.000402768059055851,0.00265590089491827,-0.00032386728050978,0.0033825362344839,-0.000678735702158111,0.00373740465613224,174
6,0.00181823371829309,0.00110529695693823,0.00071293676135486,0.00292353067523133,2.02241296986226e-08,0.00363644721245649,-0.000348148317305845,0.00398461575389204,173
7,0.00157146555389094,0.00111287249277776,0.000458593061113177,0.0026843380466687,-0.00025920969672848,0.00340214080451036,-0.000609764531953475,0.00375269563973536,172
8,0.00145001621784231,0.00127109116513579,0.000178925052706517,0.0027211073829781,-0.000640928748806067,0.00354096118449068,-0.00104132246582384,0.00394135490150845,171
9,0.00128182954261926,0.00120202376113187,7.98057814873963e-05,0.00248385330375113,-0.000695499544442659,0.00325915862968119,-0.0010741370291992,0.00363779611443773,170
10,0.00143421948783443,0.00135589442543547,7.83250623989588e-05,0.0027901139132699,-0.000796226842006921,0.00366466581767578,-0.0012233335860191,0.00409177256168796,169
11,0.00101523538300973,0.00134023727184592,-0.000325001888836189,0.00235547265485565,-0.00118945492917681,0.00321992569519627,-0.00161162966980827,0.00364210043582774,168
12,0.000795424490280662,0.00144151024144436,-0.000646085751163701,0.00223693473172503,-0.00157585985689532,0.00316670883745664,-0.00202993558295029,0.00362078456351161,167
13,0.00038361411424586,0.00163832482214579,-0.00125471070789993,0.00202193893639165,-0.00231143021818396,0.00307865844667568,-0.00282750253715988,0.0035947307656516,166
14,0.00042116337534015,0.00183164934281137,-0.00141048596747122,0.00225281271815152,-0.00259189979358456,0.00343422654426486,-0.00316886933657014,0.00401119608725044,165
15,-9.52448922196765e-05,0.00199751406581934,-0.00209275895803901,0.00190226917359966,-0.00338115553049249,0.00319066574605313,-0.00401037246122558,0.00381988267678622,164
16,0.000225364129089564,0.0020399306161447,-0.00181456648705514,0.00226529474523426,-0.00313032173446847,0.00358104999264759,-0.00377289987855405,0.00422362813673317,163
17,0.000231259999544223,0.00212199765686355,-0.00189073765731933,0.00235325765640778,-0.00325942614599632,0.00372194614508477,-0.00392785540790834,0.00439037540699679,162
18,0.000283616430637993,0.00205907371647734,-0.00177545728583935,0.00234269014711533,-0.00310355983296723,0.00367079269424322,-0.00375216805365759,0.00431940091493358,161
19,0.000312274026537691,0.00189996793967572,-0.00158769391313802,0.00221224196621341,-0.00281317323422886,0.00343772128730424,-0.00341166313522671,0.00403621118830209,160
20,0.000867124286072769,0.0017982796310822,-0.000931155345009428,0.00266540391715497,-0.00209104570705744,0.00382529427920298,-0.00265750379084834,0.00439175236299388,159
21,0.0005907701701065,0.00194242244038118,-0.00135165227027468,0.00253319261048768,-0.00260451474432054,0.00378605508453354,-0.00321637781304061,0.00439791815325361,158
22,0.000980790535891424,0.00205596335759993,-0.0010751728217085,0.00303675389349135,-0.00240126918736046,0.0043628502591433,-0.00304889764500443,0.00501047871678728,157
23,0.00108580481496444,0.00198456704326084,-0.000898762228296405,0.00307037185822528,-0.00217880797119965,0.00435041760112853,-0.00280394658982682,0.0049755562197557,156
24,0.00119628959451102,0.00199456317068575,-0.00079827357617473,0.00319085276519677,-0.00208476682126704,0.00447734601028908,-0.00271305422003305,0.00510563340905508,155
25,0.000963155264784259,0.00189084596799317,-0.000927690703208915,0.00285400123277743,-0.00214728635256451,0.00407359688213303,-0.00274290283248236,0.00466921336205088,154
26,0.000894006198803843,0.00182761733924916,-0.000933611140445317,0.002721623538053,-0.00211242432426103,0.00390043672186871,-0.00268812378612451,0.0044761361837322,153
27,0.00119277454506162,0.00177326806165991,-0.000580493516598289,0.00296604260672153,-0.00172425141636893,0.00410980050649217,-0.0022828308557918,0.00466837994591504,152
28,0.000926915040404305,0.00171256898635672,-0.000785653945952419,0.00263948402676103,-0.00189026094215251,0.00374409102296112,-0.00242972017285487,0.00428355025366349,151
29,0.000964213947475636,0.00185334387153303,-0.000889129924057389,0.00281755781900866,-0.00208453672119619,0.00401296461614746,-0.00266834004072909,0.00459676793568037,150
30,0.00093119918760133,0.00190980695099278,-0.000978607763391454,0.00284100613859411,-0.0022104332467818,0.00407283162198446,-0.00281202243634453,0.00467442081154719,149
31,0.000577994767946591,0.00203204295391502,-0.00145404818596843,0.00261003772186161,-0.00276471589124361,0.00392070542713679,-0.00340480942172684,0.00456079895762002,148
32,2.99915483157008e-05,0.00205077891444514,-0.00202078736612944,0.00208077046276084,-0.00334353976594655,0.00340352286257795,-0.00398953512399677,0.00404951822062817,147
33,-0.000627733335999857,0.00210245671540436,-0.00273019005140422,0.0014747233794045,-0.00408627463284003,0.00283080796084031,-0.0047485484981924,0.00349308182619269,146
34,-0.00151810572892185,0.0020237801450576,-0.00354188587397946,0.000505674416135752,-0.00484722406754161,0.00181101260969791,-0.00548471481323476,0.00244850335539105,145
35,-0.00154158369612681,0.00223856187142898,-0.00378014556755579,0.000696978175302163,-0.00522401797462748,0.00214085058237385,-0.0059291649641276,0.00284599757187398,144
36,-0.00124959762484889,0.00243863404290035,-0.00368823166774924,0.00118903641805147,-0.00526115062541997,0.00276195537572219,-0.00602932034893358,0.00353012509923581,143
