"h","gamma","se","n","t_stat","lo95","hi95","R","R_se","n_R","gamma_lo68","gamma_hi68","gamma_lo90","gamma_hi90","gamma_lo95","gamma_hi95","R_lo68","R_hi68","R_lo90","R_hi90","R_lo95","R_hi95","beta","beta_se","beta_lo68","beta_hi68","beta_lo90","beta_hi90","beta_lo95","beta_hi95"
0,0.197878764228934,0.256527684762371,10452,0.771373913939286,-0.304915497905314,0.700673026363182,0.0245083698033361,0.0148817276390773,78,-0.0586489205334377,0.454406448991305,-0.224109277205167,0.619866805663035,-0.304915497905314,0.700673026363182,0.00962664216425881,0.0393900974424135,2.79278370539406e-05,0.0489888117696183,-0.00465981636925542,0.0536765559759277,0.173931093222399,0.231516594600173,-0.0575855013777743,0.405447687822572,-0.206913704894886,0.554775891339684,-0.279841432193941,0.627703618638738
1,0.382010331329824,0.43716035458259,10318,0.873844865677668,-0.474823963652051,1.2388446263117,0.0417384624914953,0.0280971134407665,77,-0.0551500232527651,0.819170685912414,-0.337118451958535,1.10113911461818,-0.474823963652051,1.2388446263117,0.0136413490507288,0.0698355759322618,-0.00448128911856555,0.0879582141015561,-0.013331879852407,0.0968088048353976,0.335778701718473,0.397403085174124,-0.0616243834556512,0.733181786892597,-0.317949373392961,0.989506776829908,-0.443131345222811,1.11468874865976
2,0.811613354193731,0.740862654375071,10184,1.09549772741391,-0.640477448381409,2.26370415676887,0.062946514550605,0.0323303161152717,76,0.0707506998186593,1.5524760085688,-0.407105712253262,2.03033242064072,-0.640477448381409,2.26370415676887,0.0306161984353334,0.0952768306658767,0.00976314454098315,0.116129884560227,-0.000420905035327421,0.126313934136537,0.713390335334289,0.685898401954878,0.0274919333794106,1.39928873728917,-0.414912535881486,1.84169320655006,-0.630970532497272,2.05775120316585
3,0.284707043590207,0.716847350075316,10050,0.397165510286526,-1.12031376255741,1.68972784973783,0.0689698055245758,0.0337517241647589,75,-0.432140306485109,1.00155439366552,-0.894506847283687,1.4639209344641,-1.12031376255741,1.68972784973783,0.0352180813598169,0.102721529689335,0.0134482192735474,0.124491391775604,0.00281642616164834,0.135123184887503,0.250251246174506,0.634607066455835,-0.384355820281329,0.884858312630341,-0.793677378145343,1.29417987049435,-0.993578604078931,1.49408109642794
4,0.502265440272866,0.680376080797293,9916,0.738217368964956,-0.831271678089828,1.83580255863556,0.0278654064661794,0.0411639746674032,74,-0.178110640524427,1.18264152107016,-0.616953212638681,1.62148409318441,-0.831271678089828,1.83580255863556,-0.0132985682012238,0.0690293811335825,-0.0398493318616989,0.0955801447940576,-0.0528159838819308,0.10854679681429,0.441480304644613,0.612710155087941,-0.171229850443328,1.05419045973255,-0.56642790047505,1.44938850976428,-0.759431599327752,1.64239220861698
5,0.205494650409437,0.844394241776723,9782,0.243363396198733,-1.44951806347294,1.86050736429182,0.0144460702531903,0.0471261214648258,73,-0.638899591367286,1.04988889218616,-1.18353387731327,1.59452317813215,-1.44951806347294,1.86050736429182,-0.0326800512116355,0.0615721917180161,-0.0630763995564481,0.0919685400628288,-0.0779211278178683,0.106813268324249,0.18062529011813,0.744204857436785,-0.563579567318655,0.924830147554915,-1.04359170036538,1.40484228060164,-1.27801623045797,1.63926681069423
6,0.0996821094784731,0.855141549053258,9648,0.116567964202924,-1.57639532666591,1.77575954562286,0.0233656889441797,0.0558492359160188,72,-0.755459439574785,0.954823658531731,-1.30702573871414,1.50638995767108,-1.57639532666591,1.77575954562286,-0.0324835469718391,0.0792149248601985,-0.0685063041376713,0.115237682026031,-0.0860988134512172,0.132830191339577,0.0876183876721955,0.752116039612035,-0.66449765193984,0.839734427284231,-1.1496124974896,1.32484927283399,-1.38652904996739,1.56176582531178
7,0.11155467060728,0.803213328766756,9514,0.138885482364393,-1.46274345377556,1.68585279499012,0.0426892419057944,0.0581307251856397,71,-0.691658658159475,0.914767999374036,-1.20973125521403,1.43284059642859,-1.46274345377556,1.68585279499012,-0.0154414832798453,0.100819967091434,-0.052935801024583,0.138314284836172,-0.0712469794580595,0.156625463269648,0.0980541084759403,0.706627331274696,-0.608573222798756,0.804681439750637,-1.06434785147094,1.26045606842282,-1.28693546082246,1.48304367777435
8,-0.483346344302066,1.18293439881108,9380,-0.408599449629545,-2.80189776597179,1.83520507736766,0.065434501826317,0.0670141529563952,70,-1.66628074311315,0.699588054509018,-2.4292734303463,1.46258074174217,-2.80189776597179,1.83520507736766,-0.00157965113007812,0.132448654782712,-0.044803779786953,0.175672783439587,-0.0659132379682175,0.196782241620852,-0.424850834282782,1.0476557248334,-1.47250655911618,0.622804890550616,-2.14824450163372,1.29854283306816,-2.47825605495624,1.62855438639068
9,0.441756601072336,1.57708163777332,9246,0.280110167090685,-2.64932340896337,3.53283661110805,0.0400203982132107,0.0688555371979706,69,-1.13532503670098,2.01883823884566,-2.15254269306478,3.03605589520945,-2.64932340896337,3.53283661110805,-0.0288351389847599,0.108875935411181,-0.0732469604774509,0.153287756903872,-0.0949364546948116,0.174977251121233,0.388294362268348,1.39116873015664,-1.00287436788829,1.77946309242499,-1.90017819883932,2.67676692337602,-2.33839634883866,3.11498507337536
