"h","theta","se","iv_F","n","t_stat","lo95","hi95"
0,-0.256033936943619,0.593566445450472,1103.09781784506,15142,-0.431348400682099,-1.41942417002654,0.907356296139305
1,-0.374084832855433,0.543088558382901,1093.35742220326,15008,-0.688810005442404,-1.43853840728592,0.690368741575052
2,-0.660671360236436,0.535749042382905,1109.09095752786,14874,-1.23317319858922,-1.71073948330693,0.389396762834058
3,-1.07596696667394,0.538129834835933,1070.46020465507,14740,-1.99945607364807,-2.13070144295237,-0.0212324903955103
4,-1.21088000587564,0.768571146448381,1062.36834948238,14606,-1.57549500976091,-2.71727945291447,0.295519441163183
5,-0.852889414881472,0.980801859995767,1166.49004352233,14472,-0.869583806544935,-2.77526106047317,1.06948223071023
6,-0.581328935794232,1.55652885424194,1017.46491373419,14338,-0.373477776663094,-3.63212549010843,2.46946761851997
7,-0.419056049382948,1.85611235215225,1006.32397249967,14204,-0.225770842426124,-4.05703625960136,3.21892416083546
8,0.275458221566444,1.9499689253604,999.753748068362,14070,0.14126287756895,-3.54648087213994,4.09739731527282
9,0.472756098826266,2.16228823107526,1023.3302288687,13936,0.218636947670558,-3.76532883408125,4.71084103173378
10,0.351419920914651,2.30091885567051,1017.02571477437,13802,0.152730253849931,-4.15838103619956,4.86122087802886
11,0.499511463480472,2.14302544010824,1016.80705353907,13668,0.233087043266852,-3.70081839913167,4.69984132609261
12,1.16200452589351,2.05285914316546,993.235999072833,13534,0.566042014992674,-2.86159939471079,5.18560844649781
