year,n_buyers_active,n_buyers_ets_nace,share_buyers_ets_nace
2005,1438,1269,0.882475660639777
2006,1476,1326,0.898373983739837
2007,1492,1345,0.901474530831099
2008,1502,1340,0.892143808255659
2009,1480,1329,0.897972972972973
2010,1449,1314,0.906832298136646
2011,1449,1321,0.911663216011042
2012,1446,1303,0.901106500691563
2013,1414,1270,0.898161244695898
2014,1421,1279,0.900070372976777
2015,1391,1241,0.8921639108555
2016,1387,1279,0.922134102379236
2017,1377,1267,0.920116194625999
2018,1373,1275,0.928623452294246
2019,1356,1254,0.924778761061947
2020,1310,1216,0.92824427480916
2021,1303,1201,0.921719109746738
2022,1286,1184,0.920684292379471
