year,n_buyers,mean_share,median_share,aggregate_share,ci_lo,ci_hi
2005,1438,0.51823246788642,0.550674060584805,0.877780701207279,0.498997305180594,0.536978956986526
2006,1476,0.528535241575412,0.580351387462714,0.86037580109197,0.508616165800543,0.547542507282396
2007,1492,0.521330455760843,0.542874452011368,0.805925442953153,0.502677760681641,0.539439425792604
2008,1502,0.516661676546526,0.556131990380389,0.855779652668299,0.497168772519818,0.534998332828426
2009,1480,0.509839082904339,0.522920875819393,0.851371031904727,0.490259412505015,0.528561545643901
2010,1449,0.517852883706383,0.545140051958129,0.853062492625152,0.497762675803274,0.536855704652318
2011,1449,0.526351934958688,0.564974489815406,0.875374531753319,0.506149743989521,0.545834431056219
2012,1446,0.525445352433759,0.5810554803562,0.882636368686229,0.506968039696752,0.544116310939927
2013,1414,0.519029829827094,0.551937652368554,0.843469170009243,0.501098948311351,0.538577646993855
2014,1421,0.513515967830449,0.544927994561272,0.692538225105563,0.496002473871315,0.5331816081744
2015,1391,0.497115845997887,0.522137118265222,0.676517374697992,0.478271146295518,0.51766422294185
2016,1387,0.551445344237299,0.60260942574886,0.687487700478969,0.532258889768611,0.571681882474834
2017,1377,0.559910462373415,0.640227671317644,0.693042407593345,0.540383557138287,0.578951817346025
2018,1373,0.579151401580486,0.679160232608287,0.687064103025059,0.56044377912708,0.597441058282737
2019,1356,0.57588890673945,0.667849684090519,0.671842293761985,0.557187906657647,0.595602503645225
2020,1310,0.560104139556592,0.64152788843583,0.640823198440923,0.539621341945994,0.578391013270376
2021,1303,0.559453824767262,0.638833670551344,0.741938174860578,0.540457958848407,0.579893343150049
2022,1286,0.553319659126122,0.625354072397125,0.769454175610376,0.534784324540619,0.572138373095704
