"h","instrument","R","R_se","n","t_stat","lo90","hi90","lo95","hi95"
0,"shock",-0.0265284295294633,0.0403878947961803,171,-0.656841107053004,-0.0929665164691798,0.0399096574102532,-0.105688703329977,0.05263184427105
1,"shock",0.106165785247959,0.11448278679225,170,0.927351510411925,-0.0821583990252918,0.294489969521211,-0.118220476864851,0.33055204736077
3,"shock",0.235240866563815,0.111894763811005,168,2.10234025750434,0.0511739800947125,0.419307753032918,0.0159271294942461,0.454554603633384
6,"shock",0.142727899160141,0.104845087504793,165,1.36132176105643,-0.0297422697852444,0.315198068105525,-0.0627684723492543,0.348224270669535
12,"shock",0.0977232061017823,0.12576465019366,159,0.777032385104258,-0.109159643466788,0.304606055670353,-0.148775508277791,0.344221920481356
18,"shock",0.0342874417173945,0.110834609938059,153,0.309356813152104,-0.148035491630713,0.216610375065502,-0.182948393761201,0.25152327719599
24,"shock",-0.0368802116246877,0.119110278489411,147,-0.309630806781853,-0.23281661973977,0.159056196490394,-0.270336357463934,0.196575934214559
0,"surprise",0.0732300250674374,0.0839702236544062,171,0.872095153263234,-0.0649009928440608,0.211361042978936,-0.0913516132951988,0.237811663430074
1,"surprise",0.255998825134286,0.221550646345432,170,1.15548669957452,-0.10845198810395,0.620449638372522,-0.178240441702761,0.690238091971333
3,"surprise",0.391434822761882,0.334243872753534,168,1.17110545523902,-0.158396347917681,0.941265993441446,-0.263683167835045,1.04655281335881
6,"surprise",0.377758480301165,0.549607023418052,165,0.68732469601981,-0.526345073221531,1.28186203382386,-0.699471285598217,1.45498824620055
12,"surprise",0.213519080839253,0.391478117439834,159,0.545417665323449,-0.430462422349273,0.857500584027779,-0.553778029342821,0.980816191021327
18,"surprise",-0.0990533620088069,0.309709043255674,153,-0.319827154440031,-0.608524738164391,0.410418014146777,-0.706083086789929,0.507976362772315
24,"surprise",0.274573944996793,0.247380477178821,147,1.1099256826088,-0.132366939962367,0.681514829955953,-0.210291790273695,0.759439680267282
