"year","Estimate","Std. Error","lo95","hi95"
2010,-155.371632939646,98.2186147752215,-347.88011789908,37.1368520197882
2011,-45.6984239179286,119.83317426552,-280.571445478349,189.174597642491
2012,143.95331066589,121.221927025038,-93.6416663031853,381.548287634965
2013,163.984119211011,106.90765066997,-45.5548761021308,373.523114524152
2014,149.495277305723,84.9319988921156,-16.9714405228238,315.96199513427
2015,-38.8932728735891,48.4130172649706,-133.782786712931,55.9962409657532
2017,75.9038859872002,46.6251202213371,-15.4813496466205,167.289121621021
2018,147.608794530114,73.607606973018,3.33788486299906,291.87970419723
2019,229.63681806671,75.4124650992372,81.8283864722046,377.445249661214
2020,243.457249780128,65.0477008183879,115.963756176087,370.950743384168
2021,380.819414597249,127.571511352461,130.779252346426,630.859576848072
2022,903.879652308879,343.45045257226,230.71676526725,1577.04253935051
