"year","Estimate","Std. Error","lo95","hi95"
2010,0.0812910417504391,0.0213350288475891,0.0394743852091645,0.123107698291714
2011,0.0902233687872404,0.0213240631160669,0.0484282050797492,0.132018532494732
2012,0.0834501820925746,0.0192944986849956,0.0456329646699832,0.121267399515166
2013,0.0433728805855938,0.0151107847911147,0.0137557423950089,0.0729900187761786
2014,0.0301524891354889,0.0125753966096687,0.00550471178053821,0.0548002664904396
2015,0.0160924022279413,0.00743621858529064,0.00151741380077164,0.0306673906551109
2017,0.0265183453218041,0.0108218392352785,0.00530754042065815,0.04772915022295
2018,0.0525211766492041,0.0153235494007438,0.0224870198237463,0.0825553334746619
2019,0.0399988986796418,0.0151470127965904,0.0103107535983246,0.069687043760959
2020,0.0245096799502135,0.0164485145045412,-0.00772940847868717,0.0567487683791142
2021,0.0962236682699319,0.0255463433934046,0.0461528352188588,0.146294501321005
2022,0.207555145056801,0.0492845072403297,0.110957510865755,0.304152779247847
