buyer,seller_nace4d,n_suppliers,total_sales_in_interval,interval
8D77A015524F01D004DB52EE065746D3502EA5E855F2D16133BE66F708368698,1082,1,17404.8303222656,interval_2006_07
3A03EF07D82B182A1644571A8F7DD0169ABFDAFFE08229F4B374E108DF0EFE30,1082,3,1163326.4765625,interval_2006_07
C78C4ED24A1A5F082073F2A2339803C9D0F3256E4FBC464EB4F49D37C6EEF98F,1082,1,1729.90002441406,interval_2006_07
02F0BFEDEC9E92948071739F77D2CB6ABA96BFDA7163F2D7B8A21E5A354BF755,4673,2,15415.7703857422,interval_2006_07
BD82BA2061C72EB2FDFC34AD831B7A0E33C57B6587E1D690B5308EB60182A371,4673,4,12431188.3965759,interval_2006_07
6F4F34531538E252D3211A55D02B168CB91CBC9221FA038D0D1B034D977BEF84,4673,1,5812.91015625,interval_2006_07
CD802969F6FDC1FE69F2A78E6151E83D7C29E6C8BBF3D80E9592FF356091885C,4673,1,2708.47998046875,interval_2006_07
A3EEA90520023A1349E958E99956592B4CDBDA90F3C04CFD8AE2C2B9C48DDCCE,2011,2,8231.66015625,interval_2006_07
3D4F4958124C1EC7F879AA8AF7FCA99E38235954F4D247F2CB25F446130153BF,2011,2,2403.71002197266,interval_2006_07
EFEF2006408C9BF676E67DFD79CA4AC8F4E2236396773A1B07910F455A630AEE,2011,2,5629.92993164063,interval_2006_07
6A7CBC40C3168A914A7CF508E3021D50654E091EFBFE62BCA8446DB5E76E7372,2011,2,4013.68005371094,interval_2006_07
4ED48060316E4A8264EF55EABF15DA3208919316F554C1FD77C7784AD4A3DB70,2011,2,35584.5085754395,interval_2006_07
52CC2CBF9E3CAAF0F57404F3B203CA71D00EDB7723E195AE8A8947ADA5C06C9A,2011,1,1553.61004638672,interval_2006_07
87E5B03AE2F26F8B96AB3C88B2131DACA236CEB32040FDCDA46B83175621CD78,2011,1,3237.19995117188,interval_2006_07
539DFF8A5B778AB035491D14825C7B39DA46F67FAB72F13B77AEF41EB8525850,2011,2,191006.922363281,interval_2006_07
0EDCE219327723D6AF92286B15C58BB65A813A671BDD77B0DBBE27949E5B0610,2011,3,626136.26751709,interval_2006_07
F2FD70DD9C68F0B393D3C4092E2CFC704C7401FC211106E245D03780CD82F19F,2011,2,146328.6328125,interval_2006_07
B3E0FD522207C8C5AEA81FC57D6965D5D991ADD89876A1705055DD7AAB7EEFC7,2011,2,31277.4398498535,interval_2006_07
ACB0AE831AC9F6834E294B6556EEFFF48E4CCD6162BA34659A3FAFA6C0110113,2011,1,897.47998046875,interval_2006_07
D4712EE84FE4C1819A82650805942EEF2CA83D0B0D49334A03EDF85E9C6820BA,2011,1,3560.70007324219,interval_2006_07
257FDDCB07D4D7028707E9708179CBE6D1755E141E9238923EDD7D452E929734,2011,4,12651.2000732422,interval_2006_07
C3B3A159137AE6CE6E00388D763D785B3B07ABE22746E8CC18FB0E2A7D0CF10F,2011,2,87734.21875,interval_2006_07
B156698FA5FC124931D96CF5B5BD945A4193A96BA62F703F4D4744CBC6D2FB6D,2011,3,1887572.21313477,interval_2006_07
