buyer,seller_nace4d,year,n_suppliers,total_sales_in_year
7FFF16D6AF3991F5F45ADB9AF281E1C0DD57B05C93B160F03C9645B881C381A3,4511,2005,2,48371445.7304688
00990F191B178D17875375629B9F0CDED5FB4466A63895C79CF972B0DC7CD0F4,1320,2009,1,608.76001739502
6DE17AA58F0D1B6889A07CEEC5D4460B1CD3EABD575D2A217F738ABBFCA33167,1320,2012,1,1200
6DE17AA58F0D1B6889A07CEEC5D4460B1CD3EABD575D2A217F738ABBFCA33167,1320,2013,1,2721.6
C96815C3537C06F1EA1F0F1600B724FC18F01EE6C1A098B17FC608DBCAE7BD92,1320,2013,1,4783.68
7945FA9C50721DAA30116060E01E84D608F94143882DED53B2B10CACC952D239,1320,2013,1,3361.32
3A03EF07D82B182A1644571A8F7DD0169ABFDAFFE08229F4B374E108DF0EFE30,1082,2005,2,370962.78125
8D77A015524F01D004DB52EE065746D3502EA5E855F2D16133BE66F708368698,1082,2006,1,14569.0302734375
3A03EF07D82B182A1644571A8F7DD0169ABFDAFFE08229F4B374E108DF0EFE30,1082,2006,3,690463.53125
C78C4ED24A1A5F082073F2A2339803C9D0F3256E4FBC464EB4F49D37C6EEF98F,1082,2006,1,990.400024414063
8D77A015524F01D004DB52EE065746D3502EA5E855F2D16133BE66F708368698,1082,2007,1,2835.80004882813
3A03EF07D82B182A1644571A8F7DD0169ABFDAFFE08229F4B374E108DF0EFE30,1082,2007,3,472862.9453125
C78C4ED24A1A5F082073F2A2339803C9D0F3256E4FBC464EB4F49D37C6EEF98F,1082,2007,1,739.5
8D77A015524F01D004DB52EE065746D3502EA5E855F2D16133BE66F708368698,1082,2008,1,7226.89990234375
3A03EF07D82B182A1644571A8F7DD0169ABFDAFFE08229F4B374E108DF0EFE30,1082,2008,3,659533.046875
8D77A015524F01D004DB52EE065746D3502EA5E855F2D16133BE66F708368698,1082,2009,1,556.799987792969
3A03EF07D82B182A1644571A8F7DD0169ABFDAFFE08229F4B374E108DF0EFE30,1082,2009,2,469154.21875
E8BB172935F6AF97D3D5974B90B3B80E28FD5FB2E73C6787FA90191D742F7F48,1082,2010,1,316.799987792969
8D77A015524F01D004DB52EE065746D3502EA5E855F2D16133BE66F708368698,1082,2010,1,6000
3A03EF07D82B182A1644571A8F7DD0169ABFDAFFE08229F4B374E108DF0EFE30,1082,2010,2,533797.921875
E8BB172935F6AF97D3D5974B90B3B80E28FD5FB2E73C6787FA90191D742F7F48,1082,2011,1,316.799987792969
8D77A015524F01D004DB52EE065746D3502EA5E855F2D16133BE66F708368698,1082,2011,1,972
3A03EF07D82B182A1644571A8F7DD0169ABFDAFFE08229F4B374E108DF0EFE30,1082,2011,2,603298.375
8D77A015524F01D004DB52EE065746D3502EA5E855F2D16133BE66F708368698,1082,2012,1,472
3A03EF07D82B182A1644571A8F7DD0169ABFDAFFE08229F4B374E108DF0EFE30,1082,2012,2,1115745.4375
3A03EF07D82B182A1644571A8F7DD0169ABFDAFFE08229F4B374E108DF0EFE30,1082,2013,2,1585763.37
3A03EF07D82B182A1644571A8F7DD0169ABFDAFFE08229F4B374E108DF0EFE30,1082,2014,2,239114.03515625
3A03EF07D82B182A1644571A8F7DD0169ABFDAFFE08229F4B374E108DF0EFE30,1082,2015,1,275267.88
3A03EF07D82B182A1644571A8F7DD0169ABFDAFFE08229F4B374E108DF0EFE30,1082,2016,1,214816.53
0170D826B820D5D853FC82D869955980DB295EFF3DFDE01BACEC2DC258087BE3,1082,2017,1,336
3A03EF07D82B182A1644571A8F7DD0169ABFDAFFE08229F4B374E108DF0EFE30,1082,2017,1,212344.68
3A03EF07D82B182A1644571A8F7DD0169ABFDAFFE08229F4B374E108DF0EFE30,1082,2018,1,206598.36
3A03EF07D82B182A1644571A8F7DD0169ABFDAFFE08229F4B374E108DF0EFE30,1082,2019,1,182135.81
3A03EF07D82B182A1644571A8F7DD0169ABFDAFFE08229F4B374E108DF0EFE30,1082,2020,1,153179.8
3A03EF07D82B182A1644571A8F7DD0169ABFDAFFE08229F4B374E108DF0EFE30,1082,2021,1,139211.53
93E844FE1AC70363ACC25C875A81A3C2EE7ED2364EA24705F5D877FBB5C4CEE8,1082,2022,1,3403.57637320753
3A03EF07D82B182A1644571A8F7DD0169ABFDAFFE08229F4B374E108DF0EFE30,1082,2022,1,1408731.75
2067DC776D1DEE682E338D5BDF2FAFF656A199BA8C65B700D0772CD9404A28CF,4673,2009,6,34530.1508178711
AABDEE5BC7229D7742B138B8153296792950B948744424057C583A70A6996D7C,4673,2009,5,159882.298828125
96BFA5EE90814CBD5C0D8579EF0756BF1C811AF96B52A9B6B50748AC8C9EFEC0,4673,2009,7,36271.1597290039
C49E201600E431B8C579817E8AE9DA71DC56031066A5DBCA7BF5D3219E55339B,4673,2009,3,15213.0903320313
26FEE1B86E920BDA8C964985218450E0B0CD0D5C151693FDCF9F0633F0894A95,4673,2009,2,16322.5698547363
DDEC1F035485958FD3F89FB1EDC9309CDEF6D17E4C23C76928CBBEF8FE17E947,4673,2009,1,1151.53002929688
B6F8B15A34CFB540C2417A6DC36A53425CEC90C412B5E9E7CE7A20390C171E33,4673,2009,1,411.230010986328
26447DF141F5D46256F23A2E3F92F38974CB73D026F90B39B34FFF5CE64E1359,4673,2009,4,74210.2284545898
F30E60828DC1B328C8766A07FA03A81E0E21B5D3F5DA1768FE350E6B22B31B97,4673,2009,3,199497.806274414
A6B3FE2D75D61A3FB81E34DE5FB75B79F5036843165A60AC3A190BC96FE44A39,4673,2009,3,16235.9597167969
46D183E20EB46E32E4CA625B71B4AD97522F4ACDE3BAF8579ACF464F98087B8E,4673,2009,2,1190.26000976563
4BB7D92E0635954FA4879107C4ECFB0EDB1C1AA90DFA446E26A6CB82B571B592,4673,2009,1,3945.5400390625
FEEB72045B9C8E1D1E438797096A98DC8041A48A1AE7399FE650621711D8BAB3,4673,2009,1,1164.25
9A223F33887F80EE1616E19052D7175A6FD49BAA5085C9F873C92F25A624BE41,4673,2009,1,629.909973144531
787A33BD6A5A8E3F133A25F3E3A7CC2F27EA07C93809C6C1D3C54867365C0BEE,4673,2009,1,1430.59997558594
E73499FBECC0CB6673265DCBB14DB6C443A7EF3C84F99944FBE276F01196804E,4673,2009,2,2780.61004638672
CBFD677240661AE9E5C65007B862388489F95881073B1F21CC0112B572C42F7C,4673,2009,1,373.220001220703
D24CFD4E4D07CA02994732D641C177D71F3ABA14D8EBD52CB9EAC7C559942972,4673,2009,5,89102.7314758301
