interval,seller_nace4d,n_cells,mean_n_supp,p10_n_supp,p25_n_supp,median_n_supp,p75_n_supp,p90_n_supp,p99_n_supp,max_n_supp,share_eq_1,share_eq_2,share_3_to_5,share_6_to_10,share_ge_11,share_ge_2
interval_2006_07,4675,816,2.73039215686275,1,1,2,4,6,10,16,0.41421568627451,0.207107843137255,0.257352941176471,0.111519607843137,0.00980392156862745,0.58578431372549
interval_2006_07,3511,565,1.10619469026549,1,1,1,1,2,2,3,0.895575221238938,0.102654867256637,0.00176991150442478,0,0,0.104424778761062
interval_2006_07,2011,557,1.5673249551167,1,1,1,2,3,4.43999999999994,6,0.631956912028725,0.235188509874327,0.129263913824057,0.00359066427289048,0,0.368043087971275
interval_2006_07,4673,544,1.86948529411765,1,1,1,2,4,7.57000000000005,11,0.602941176470588,0.194852941176471,0.161764705882353,0.0386029411764706,0.00183823529411765,0.397058823529412
interval_2006_07,7112,506,1.199604743083,1,1,1,1,2,3,4,0.828063241106719,0.150197628458498,0.0217391304347826,0,0,0.171936758893281
interval_2006_07,3821,421,1.11638954869359,1,1,1,1,1,3,5,0.907363420427554,0.0760095011876485,0.0166270783847981,0,0,0.0926365795724466
interval_2006_07,2059,415,1.46987951807229,1,1,1,2,2.60000000000002,4,6,0.674698795180723,0.224096385542169,0.0987951807228916,0.00240963855421687,0,0.325301204819277
interval_2006_07,2812,340,1.29117647058824,1,1,1,1,2,3,3,0.758823529411765,0.191176470588235,0.05,0,0,0.241176470588235
interval_2006_07,1107,314,1.01592356687898,1,1,1,1,1,2,2,0.984076433121019,0.0159235668789809,0,0,0,0.0159235668789809
interval_2006_07,4671,271,1.27306273062731,1,1,1,1,2,4,5,0.804428044280443,0.14760147601476,0.0479704797047971,0,0,0.195571955719557
interval_2006_07,1920,250,1.184,1,1,1,1,2,3,4,0.844,0.132,0.024,0,0,0.156
interval_2006_07,4511,215,1.17674418604651,1,1,1,1,2,3,3,0.851162790697675,0.12093023255814,0.027906976744186,0,0,0.148837209302326
interval_2006_07,4322,164,1.22560975609756,1,1,1,1,2,3.37,4,0.841463414634146,0.103658536585366,0.0548780487804878,0,0,0.158536585365854
interval_2006_07,1105,161,1.3416149068323,1,1,1,1,2,6.40000000000001,7,0.850931677018634,0.0745341614906832,0.0496894409937888,0.0248447204968944,0,0.149068322981366
interval_2006_07,4211,160,1.975,1,1,1,2,5,9.22999999999999,11,0.6625,0.13125,0.1375,0.05625,0.0125,0.3375
interval_2006_07,2013,158,1.54430379746835,1,1,1,2,3,4,5,0.626582278481013,0.246835443037975,0.126582278481013,0,0,0.373417721518987
interval_2006_07,2014,156,1.87820512820513,1,1,1,2,4,7,7,0.564102564102564,0.230769230769231,0.17948717948718,0.0256410256410256,0,0.435897435897436
interval_2006_07,2352,148,1.25675675675676,1,1,1,2,2,2,2,0.743243243243243,0.256756756756757,0,0,0,0.256756756756757
interval_2006_07,2229,142,1.15492957746479,1,1,1,1,2,3,4,0.880281690140845,0.0915492957746479,0.028169014084507,0,0,0.119718309859155
interval_2006_07,2521,114,1.18421052631579,1,1,1,1,2,3,3,0.87719298245614,0.0614035087719298,0.0614035087719298,0,0,0.12280701754386
interval_2006_07,2012,109,1.48623853211009,1,1,1,2,3,3.92,4,0.678899082568807,0.174311926605505,0.146788990825688,0,0,0.321100917431193
interval_2006_07,2530,108,1.05555555555556,1,1,1,1,1,2,2,0.944444444444444,0.0555555555555556,0,0,0,0.0555555555555556
interval_2006_07,2222,107,1.10280373831776,1,1,1,1,1,2.94,3,0.91588785046729,0.0654205607476636,0.0186915887850467,0,0,0.0841121495327103
interval_2006_07,4638,103,1.23300970873786,1,1,1,1,2,3,4,0.83495145631068,0.106796116504854,0.058252427184466,0,0,0.16504854368932
interval_2006_07,2561,100,1.05,1,1,1,1,1,2,2,0.95,0.05,0,0,0,0.05
interval_2006_07,2892,98,1.05102040816327,1,1,1,1,1,2,2,0.948979591836735,0.0510204081632653,0,0,0,0.0510204081632653
interval_2006_07,2351,90,1.36666666666667,1,1,1,2,2,3,3,0.722222222222222,0.188888888888889,0.0888888888888889,0,0,0.277777777777778
interval_2006_07,3522,89,1.01123595505618,1,1,1,1,1,1.12,2,0.98876404494382,0.0112359550561798,0,0,0,0.0112359550561798
interval_2006_07,8122,81,1.01234567901235,1,1,1,1,1,1.2,2,0.987654320987654,0.0123456790123457,0,0,0,0.0123456790123457
interval_2006_07,2443,79,1.26582278481013,1,1,1,2,2,2,2,0.734177215189873,0.265822784810127,0,0,0,0.265822784810127
interval_2006_07,2016,78,1.23076923076923,1,1,1,1,2,3.23,4,0.833333333333333,0.115384615384615,0.0512820512820513,0,0,0.166666666666667
interval_2006_07,4646,73,1.53424657534247,1,1,1,2,3,6,6,0.726027397260274,0.10958904109589,0.136986301369863,0.0273972602739726,0,0.273972602739726
interval_2006_07,2221,72,1.05555555555556,1,1,1,1,1,2,2,0.944444444444444,0.0555555555555556,0,0,0,0.0555555555555556
interval_2006_07,1712,72,1.16666666666667,1,1,1,1,1.90000000000001,3.58000000000001,5,0.888888888888889,0.0833333333333333,0.0277777777777778,0,0,0.111111111111111
interval_2006_07,1621,63,1.53968253968254,1,1,1,2,3,4.76000000000001,6,0.682539682539683,0.158730158730159,0.142857142857143,0.0158730158730159,0,0.317460317460317
interval_2006_07,1392,60,1.03333333333333,1,1,1,1,1,2,2,0.966666666666667,0.0333333333333333,0,0,0,0.0333333333333333
interval_2006_07,2219,56,1,1,1,1,1,1,1,1,1,0,0,0,0,0
interval_2006_07,5223,55,1.52727272727273,1,1,1,2,3,4,4,0.672727272727273,0.181818181818182,0.145454545454545,0,0,0.327272727272727
interval_2006_07,2410,55,1.47272727272727,1,1,1,2,2.6,4,4,0.690909090909091,0.2,0.109090909090909,0,0,0.309090909090909
interval_2006_07,2732,53,1,1,1,1,1,1,1,1,1,0,0,0,0,0
interval_2006_07,1062,48,1,1,1,1,1,1,1,1,1,0,0,0,0,0
interval_2006_07,2910,48,1.0625,1,1,1,1,1,2,2,0.9375,0.0625,0,0,0,0.0625
interval_2006_07,2332,48,2.20833333333333,1,1,1,2.25,6,7,7,0.604166666666667,0.145833333333333,0.125,0.125,0,0.395833333333333
interval_2006_07,2550,48,1.08333333333333,1,1,1,1,1,2,2,0.916666666666667,0.0833333333333333,0,0,0,0.0833333333333333
interval_2006_07,2015,48,1.02083333333333,1,1,1,1,1,1.53,2,0.979166666666667,0.0208333333333333,0,0,0,0.0208333333333333
interval_2006_07,1393,47,1.85106382978723,1,1,1,2,4,5.54,6,0.617021276595745,0.148936170212766,0.212765957446809,0.0212765957446809,0,0.382978723404255
interval_2006_07,2811,45,1.08888888888889,1,1,1,1,1,2,2,0.911111111111111,0.0888888888888889,0,0,0,0.0888888888888889
