year,n_cells,mean_n_supp,p10_n_supp,p25_n_supp,median_n_supp,p75_n_supp,p90_n_supp,p99_n_supp,max_n_supp,share_eq_1,share_eq_2,share_3_to_5,share_6_to_10,share_ge_11,share_ge_2
2005,6798,1.38084730803177,1,1,1,1,2,6,13,0.794351279788173,0.128567225654604,0.0631067961165049,0.0133862900853192,0.000588408355398647,0.205648720211827
2006,7774,1.41175713918189,1,1,1,1,2,6,15,0.779006946231027,0.131978389503473,0.0733213275019295,0.0153074350398765,0.000385901723694366,0.220993053768974
2007,7923,1.34519752618957,1,1,1,1,2,5,12,0.791619336110059,0.137700366022971,0.0622239050864572,0.00833017796289284,0.000126214817619589,0.208380663889941
2008,7839,1.38078836586299,1,1,1,1,2,5,14,0.78300803673938,0.133052685291491,0.0741165965046562,0.00956754688097972,0.000255134583492792,0.21699196326062
2009,7468,1.36582753079807,1,1,1,1,2,6,12,0.795661489019818,0.127611140867702,0.0658810926620246,0.0107123727905731,0.000133904659882164,0.204338510980182
2010,7626,1.36309992132179,1,1,1,1,2,6,11,0.797928140571728,0.123655913978495,0.0676632572777341,0.0106215578284815,0.0001311303435615,0.202071859428272
2011,7520,1.37553191489362,1,1,1,1,2,6,10,0.787765957446809,0.13125,0.0688829787234043,0.0121010638297872,0,0.212234042553192
2012,7321,1.38587624641442,1,1,1,1,2,6,12,0.784045895369485,0.132632154077312,0.0715749214588171,0.0113372490096981,0.000409780084687884,0.215954104630515
2013,7081,1.37522948736054,1,1,1,1,2,5,12,0.78421126959469,0.131337381725745,0.0745657393023584,0.00974438638610366,0.000141222991102952,0.21578873040531
2014,7120,1.38342696629213,1,1,1,1,2,6,13,0.785112359550562,0.126966292134831,0.0765449438202247,0.0110955056179775,0.000280898876404494,0.214887640449438
2015,7011,1.39523605762373,1,1,1,1,2,6,13,0.77877620881472,0.130651832834118,0.0797318499500785,0.0105548423905292,0.000285266010554842,0.22122379118528
2016,7645,1.3509483322433,1,1,1,1,2,5,12,0.798168737737083,0.121778940483976,0.0703727926749509,0.00902550686723349,0.00065402223675605,0.201831262262917
2017,7583,1.36792826058288,1,1,1,1,2,5,13,0.792562310431228,0.123433997098774,0.0743768956877226,0.00817618356850851,0.00145061321376764,0.207437689568772
2018,7801,1.35213434175106,1,1,1,1,2,5,16,0.794000769132163,0.130752467632355,0.0658889885912063,0.00884501986924753,0.000512754775028843,0.205999230867837
2019,7752,1.34300825593395,1,1,1,1,2,5,14,0.798503611971104,0.128095975232198,0.064499484004128,0.00838493292053664,0.000515995872033024,0.201496388028896
2020,7227,1.3471703334717,1,1,1,1,2,5,12,0.790092707900927,0.135879341358793,0.0662792306627923,0.0071952400719524,0.0005534800055348,0.209907292099073
2021,7169,1.35723252894406,1,1,1,1,2,5,12,0.784070302692147,0.139768447482215,0.0686288185242014,0.00711396289580137,0.000418468405635375,0.215929697307853
2022,7183,1.34609494640123,1,1,1,1,2,5,12,0.790059863566755,0.135876374773771,0.0658499234303216,0.00793540303494362,0.000278435194208548,0.209940136433245
