year,n_buyers_in_ets_nace,n_buyers_in_ets_firm_year,n_buyers_in_ets_firm_ever,share_year,share_ever
2005,1269,887,914,0.698975571315997,0.720252167060678
2006,1326,985,1008,0.742835595776772,0.760180995475113
2007,1345,1007,1029,0.748698884758364,0.765055762081784
2008,1340,942,987,0.702985074626866,0.736567164179105
2009,1329,843,977,0.63431151241535,0.735139202407826
2010,1314,819,962,0.623287671232877,0.732115677321157
2011,1321,842,968,0.637395912187737,0.732778198334595
2012,1303,822,953,0.630851880276286,0.731389102072141
2013,1270,779,911,0.613385826771654,0.717322834645669
2014,1279,772,904,0.603596559812353,0.706802189210321
2015,1241,704,848,0.567284448025786,0.683319903303787
2016,1279,962,1060,0.752150117279124,0.828772478498827
2017,1267,944,1043,0.745067087608524,0.823204419889503
2018,1275,946,1060,0.741960784313726,0.831372549019608
2019,1254,920,1029,0.733652312599681,0.820574162679426
2020,1216,884,980,0.726973684210526,0.805921052631579
2021,1201,874,969,0.727726894254788,0.806827643630308
2022,1184,851,946,0.71875,0.798986486486487
