version,treat_year,base_year,year,group,mean_R,n_cells,ci_lo,ci_hi,universe
treat_2008,2008,2007,2005,Placebo (no EUTL supplier),0.415267862224462,3412,0.403380074121349,0.428087105976342,anyNACE4d
treat_2008,2008,2007,2006,Placebo (no EUTL supplier),0.386779834220774,3824,0.376334540727578,0.39791454289131,anyNACE4d
treat_2008,2008,2007,2007,Placebo (no EUTL supplier),7.17198336321161e-19,3870,4.30319001792696e-19,1.03276560430247e-18,anyNACE4d
treat_2008,2008,2007,2008,Placebo (no EUTL supplier),0.303386847999436,3643,0.293937292362298,0.312894036003298,anyNACE4d
treat_2008,2008,2007,2009,Placebo (no EUTL supplier),0.426846437368711,2905,0.413859712434967,0.440033499261367,anyNACE4d
treat_2008,2008,2007,2010,Placebo (no EUTL supplier),0.461111772441882,2870,0.448929959714867,0.474767356458673,anyNACE4d
treat_2008,2008,2007,2011,Placebo (no EUTL supplier),0.494664301545026,2791,0.481408511858769,0.506848698693405,anyNACE4d
treat_2008,2008,2007,2012,Placebo (no EUTL supplier),0.51917835215887,2735,0.505514418258161,0.532648456338132,anyNACE4d
treat_2008,2008,2007,2013,Placebo (no EUTL supplier),0.543107800495824,2580,0.529960345831047,0.556975298723195,anyNACE4d
treat_2008,2008,2007,2014,Placebo (no EUTL supplier),0.558240190330053,2514,0.544076149328871,0.572626278603116,anyNACE4d
treat_2008,2008,2007,2015,Placebo (no EUTL supplier),0.571304319346007,2459,0.556687806150944,0.585083770067083,anyNACE4d
treat_2008,2008,2007,2016,Placebo (no EUTL supplier),0.586821825104312,2417,0.573358374800999,0.600297478789295,anyNACE4d
treat_2008,2008,2007,2017,Placebo (no EUTL supplier),0.601772780223,2306,0.58643306741824,0.617193518760463,anyNACE4d
treat_2008,2008,2007,2018,Placebo (no EUTL supplier),0.633122111818956,2309,0.617640530195728,0.647660405090595,anyNACE4d
treat_2008,2008,2007,2019,Placebo (no EUTL supplier),0.651798286471553,2209,0.637115967416494,0.667002268653406,anyNACE4d
treat_2008,2008,2007,2020,Placebo (no EUTL supplier),0.660276541571628,2099,0.645101303387796,0.675146303886978,anyNACE4d
treat_2008,2008,2007,2021,Placebo (no EUTL supplier),0.670299659363355,2068,0.655953948973523,0.686472447403722,anyNACE4d
treat_2008,2008,2007,2022,Placebo (no EUTL supplier),0.684626412500395,2037,0.669402011889616,0.699232979380545,anyNACE4d
treat_2008,2008,2007,2005,Treated (>=1 omega>0 supplier),0.332575214819076,185,0.278605971586674,0.384598275281923,anyNACE4d
treat_2008,2008,2007,2006,Treated (>=1 omega>0 supplier),0.298800103974675,222,0.249144628913169,0.347086675152581,anyNACE4d
treat_2008,2008,2007,2007,Treated (>=1 omega>0 supplier),1.00472671911779e-18,221,0,2.51181679779447e-18,anyNACE4d
treat_2008,2008,2007,2008,Treated (>=1 omega>0 supplier),0.248208451356251,207,0.20694025911517,0.29159297765113,anyNACE4d
treat_2008,2008,2007,2009,Treated (>=1 omega>0 supplier),0.374081945700914,192,0.321229605956506,0.429352217716189,anyNACE4d
treat_2008,2008,2007,2010,Treated (>=1 omega>0 supplier),0.400107262246734,183,0.345585553618272,0.458369572951088,anyNACE4d
treat_2008,2008,2007,2011,Treated (>=1 omega>0 supplier),0.415538835038816,182,0.357291711913171,0.4711788730623,anyNACE4d
treat_2008,2008,2007,2012,Treated (>=1 omega>0 supplier),0.420572163142818,174,0.364723818588437,0.476653711530997,anyNACE4d
treat_2008,2008,2007,2013,Treated (>=1 omega>0 supplier),0.432562211768996,166,0.376248465684081,0.495019042591924,anyNACE4d
treat_2008,2008,2007,2014,Treated (>=1 omega>0 supplier),0.481647712343188,165,0.422175891778551,0.54456295901283,anyNACE4d
treat_2008,2008,2007,2015,Treated (>=1 omega>0 supplier),0.484208469533887,164,0.422195198691522,0.541908042234979,anyNACE4d
treat_2008,2008,2007,2016,Treated (>=1 omega>0 supplier),0.471618067388697,169,0.410061057692859,0.528408505152783,anyNACE4d
treat_2008,2008,2007,2017,Treated (>=1 omega>0 supplier),0.493776124582766,164,0.432959651776912,0.551923613579383,anyNACE4d
treat_2008,2008,2007,2018,Treated (>=1 omega>0 supplier),0.47943323458862,160,0.417561979936921,0.54494338907001,anyNACE4d
treat_2008,2008,2007,2019,Treated (>=1 omega>0 supplier),0.511313516230117,159,0.452344423509005,0.573302718747986,anyNACE4d
treat_2008,2008,2007,2020,Treated (>=1 omega>0 supplier),0.502511096415319,152,0.437692629640721,0.564617327848934,anyNACE4d
treat_2008,2008,2007,2021,Treated (>=1 omega>0 supplier),0.516360375266652,154,0.454913201439422,0.578918901958683,anyNACE4d
treat_2008,2008,2007,2022,Treated (>=1 omega>0 supplier),0.548411147663023,148,0.485083272305499,0.611776567851931,anyNACE4d
treat_2013,2013,2012,2005,Placebo (no EUTL supplier),0.587753018867049,2339,0.573497658013048,0.602891274983152,anyNACE4d
treat_2013,2013,2012,2006,Placebo (no EUTL supplier),0.563694025856481,2552,0.549095396404188,0.576914344225687,anyNACE4d
treat_2013,2013,2012,2007,Placebo (no EUTL supplier),0.526055709407365,2649,0.512190500460471,0.54006257664152,anyNACE4d
treat_2013,2013,2012,2008,Placebo (no EUTL supplier),0.522577081927552,2720,0.508973214344945,0.536152028971766,anyNACE4d
treat_2013,2013,2012,2009,Placebo (no EUTL supplier),0.406995011664954,3249,0.394993358167378,0.419561991525632,anyNACE4d
treat_2013,2013,2012,2010,Placebo (no EUTL supplier),0.371222562117462,3450,0.359544316870682,0.382736912187479,anyNACE4d
treat_2013,2013,2012,2011,Placebo (no EUTL supplier),0.345235094074564,3698,0.334486765599181,0.355239374209224,anyNACE4d
treat_2013,2013,2012,2012,Placebo (no EUTL supplier),6.64804206362369e-19,3674,4.23057222230599e-19,9.36769563510611e-19,anyNACE4d
treat_2013,2013,2012,2013,Placebo (no EUTL supplier),0.263850377455484,3437,0.253984755317652,0.273828456095642,anyNACE4d
treat_2013,2013,2012,2014,Placebo (no EUTL supplier),0.316541522369347,3318,0.305464732077323,0.327078225069829,anyNACE4d
treat_2013,2013,2012,2015,Placebo (no EUTL supplier),0.352289296273458,3244,0.341055750138631,0.36329492499144,anyNACE4d
treat_2013,2013,2012,2016,Placebo (no EUTL supplier),0.387012542859029,3123,0.37503771860915,0.399004724278738,anyNACE4d
treat_2013,2013,2012,2017,Placebo (no EUTL supplier),0.413032172749597,3016,0.40169121919965,0.425788785940357,anyNACE4d
treat_2013,2013,2012,2018,Placebo (no EUTL supplier),0.442817387201735,2943,0.429002458270143,0.455161610208487,anyNACE4d
treat_2013,2013,2012,2019,Placebo (no EUTL supplier),0.469318910616449,2841,0.455371466305047,0.482965643385642,anyNACE4d
treat_2013,2013,2012,2020,Placebo (no EUTL supplier),0.489315588561795,2688,0.476089213398484,0.503120821104489,anyNACE4d
