buyer,top_supplier,version,seller_nace4d,omega,num_spend,sum_buyer_tc,n_yr_tc,x_buyertotal,shock_buyertotal
03C2F8EBEFFAC11E770D85E82485F76642EA0BF2914C018154D0A369C7BF7FAF,3BE59C35E1BFCEE14744A27D1026D2E8F5690AEFBA6276A6EFADA053A2D4F534,treat_2008,3511,0.000229158205560246,925.489990234375,355623114,2,2.6024461116281e-06,5.96371881007934e-10
07397C569A6F3EE3D320F358AC14FDDA7968E82875635449E3BD95D1834FC0E5,7BD8DA430EC6A64C5278A5087EDDDCFD54EE849C1B904B1F1BFF9FE3FB8E5553,treat_2008,2014,8.25574858824201e-06,40750,13821056,2,0.00294839989071747,2.43412482353636e-08
083C42AB940BBCC0A3859BC45EFA25AD9C63D65F877E10CBE66F9633B7E83442,1CB37AB74478F9C217EFCFDA2843A640F506101BDE944EFD19E87241396C4A1C,treat_2008,1107,3.1407618166918e-07,15694013,1332687042,2,0.0117762179006765,3.69862955274872e-09
083C42AB940BBCC0A3859BC45EFA25AD9C63D65F877E10CBE66F9633B7E83442,82AD7E022AA1035FA624569E4235B7E60665602F69F48D196D6E577AB3B2F821,treat_2008,1105,3.86397618937294e-05,70248.240234375,1332687042,2,5.27117305267346e-05,2.03676871655945e-09
083C42AB940BBCC0A3859BC45EFA25AD9C63D65F877E10CBE66F9633B7E83442,E30B927536F61331175A68BC7A08D889C65901DBE6824FE8ED84680AF71FAB48,treat_2008,1051,6.54164203332758e-06,43736.30078125,1332687042,2,3.2818133142207e-05,2.14684479218402e-10
0AABE45F4FB603AEFF53DCD7E191AED36467BD28C51C0AAB83550B4DE8F2B90A,1EB11C8C03D563589A1E83AF2856341DABF421EDF816A205EC6A0E9C90EACF10,treat_2008,2351,3.82449630403523e-05,2662212.125,36412644,2,0.0731122992606634,2.79617718301925e-06
0AFDA5600C5689E10A8202D92A4A682B1FB99F43FD7431989ABF246906DF5C24,3BE59C35E1BFCEE14744A27D1026D2E8F5690AEFBA6276A6EFADA053A2D4F534,treat_2008,3511,0.000229158205560246,13989.830078125,27534843,2,0.000508077350509135,1.16430093928478e-07
0BD0608E5E6033E97E470697C372C4189D34F4AC0B807046123DBB9D8AB8824D,7BD8DA430EC6A64C5278A5087EDDDCFD54EE849C1B904B1F1BFF9FE3FB8E5553,treat_2008,2014,8.25574858824201e-06,674015.875,48701838,2,0.0138396393787027,1.14256583262503e-07
0BFC34F8E6217EAAA681604AEF49E3C95AC309C23129FABBB0F6F54C0962553C,7BD8DA430EC6A64C5278A5087EDDDCFD54EE849C1B904B1F1BFF9FE3FB8E5553,treat_2008,2014,8.25574858824201e-06,3681.60009765625,111674719,2,3.29671758355286e-05,2.72168715362492e-10
0C4C488CD190D5E697A30E727520F6467C086D4BD7C03772666F33D5B447E127,06293F6EE72354A5EEC27E3925EA2F31420BC3BF0D984801512A4FB156358E10,treat_2008,3030,5.37187733197032e-07,85275,301019567,2,0.000283287232288126,1.52178426156519e-10
