buyer,seller_nace4d,top_supplier,omega_top,bot_supplier,omega_bot,omega_gap,int_nace4d_spend,sum_buyer_tc,n_yr,nace4d_input_share,version,treat_year,topQ_nace4dshare,topQ_omegagap
03C2F8EBEFFAC11E770D85E82485F76642EA0BF2914C018154D0A369C7BF7FAF,3511,3BE59C35E1BFCEE14744A27D1026D2E8F5690AEFBA6276A6EFADA053A2D4F534,0.000229158205560246,D6087F6F564F9EB41A21C09C34F0F42832CCF196F8F173AAD398683A64316F4A,0,0.000229158205560246,23467.0104980469,355623114,2,6.59884286881501e-05,treat_2008,2008,FALSE,TRUE
07397C569A6F3EE3D320F358AC14FDDA7968E82875635449E3BD95D1834FC0E5,2014,7BD8DA430EC6A64C5278A5087EDDDCFD54EE849C1B904B1F1BFF9FE3FB8E5553,8.25574858824201e-06,B3A20E2273DC7AE07DEB357A124E3CFE5365D910D94F11E9DC63BA451FE92EE3,0,8.25574858824201e-06,85653.5,13821056,2,0.00619731951017346,treat_2008,2008,FALSE,FALSE
083C42AB940BBCC0A3859BC45EFA25AD9C63D65F877E10CBE66F9633B7E83442,1051,E30B927536F61331175A68BC7A08D889C65901DBE6824FE8ED84680AF71FAB48,6.54164203332758e-06,24EC9B9D0111DCD6D335B5F1A858B1F4086C18CB005053FE84A5F27D5EA4B086,0,6.54164203332758e-06,4604096.65588379,1332687042,2,0.00345474707173133,treat_2008,2008,FALSE,FALSE
083C42AB940BBCC0A3859BC45EFA25AD9C63D65F877E10CBE66F9633B7E83442,1105,82AD7E022AA1035FA624569E4235B7E60665602F69F48D196D6E577AB3B2F821,3.86397618937294e-05,A2D0C13790C3E409C825E25214303B2E0AB0A1071E3E1997C5F73FCE2D5E2BDC,0,3.86397618937294e-05,9745163.06311035,1332687042,2,0.00731241676101654,treat_2008,2008,FALSE,FALSE
083C42AB940BBCC0A3859BC45EFA25AD9C63D65F877E10CBE66F9633B7E83442,1107,1CB37AB74478F9C217EFCFDA2843A640F506101BDE944EFD19E87241396C4A1C,3.1407618166918e-07,1AAEC2DDC440891E4E4268A5632FEA03CE73F0F3C2F86F4A98909BDBC21759EA,0,3.1407618166918e-07,16556048,1332687042,2,0.0124230576858869,treat_2008,2008,FALSE,FALSE
0AABE45F4FB603AEFF53DCD7E191AED36467BD28C51C0AAB83550B4DE8F2B90A,2351,1EB11C8C03D563589A1E83AF2856341DABF421EDF816A205EC6A0E9C90EACF10,3.82449630403523e-05,B8FDF1A99C14812F711B9B01A2C27EC7B85C6A71A20AB98121F00747A42E5B58,0,3.82449630403523e-05,2717289.50390625,36412644,2,0.0746248886487411,treat_2008,2008,TRUE,FALSE
0AFDA5600C5689E10A8202D92A4A682B1FB99F43FD7431989ABF246906DF5C24,3511,3BE59C35E1BFCEE14744A27D1026D2E8F5690AEFBA6276A6EFADA053A2D4F534,0.000229158205560246,D6087F6F564F9EB41A21C09C34F0F42832CCF196F8F173AAD398683A64316F4A,0,0.000229158205560246,19209.4702148438,27534843,2,0.000697642264197539,treat_2008,2008,FALSE,TRUE
0BD0608E5E6033E97E470697C372C4189D34F4AC0B807046123DBB9D8AB8824D,2014,7BD8DA430EC6A64C5278A5087EDDDCFD54EE849C1B904B1F1BFF9FE3FB8E5553,8.25574858824201e-06,F8F1FAA7804D5A5B8495B44A8586C93F19689545D2D96B5CBBB19221519EC076,0,8.25574858824201e-06,859914,48701838,2,0.0176567052767084,treat_2008,2008,FALSE,FALSE
0BFC34F8E6217EAAA681604AEF49E3C95AC309C23129FABBB0F6F54C0962553C,2014,7BD8DA430EC6A64C5278A5087EDDDCFD54EE849C1B904B1F1BFF9FE3FB8E5553,8.25574858824201e-06,F8F1FAA7804D5A5B8495B44A8586C93F19689545D2D96B5CBBB19221519EC076,0,8.25574858824201e-06,4598.80010986328,111674719,2,4.11803150349837e-05,treat_2008,2008,FALSE,FALSE
0C4C488CD190D5E697A30E727520F6467C086D4BD7C03772666F33D5B447E127,3030,06293F6EE72354A5EEC27E3925EA2F31420BC3BF0D984801512A4FB156358E10,5.37187733197032e-07,51B37CF91459AED30D24D0A9F3FB4DDBCCFF7BC54E9DA657DE461970AA337C3D,0,5.37187733197032e-07,168211,301019567,2,0.000558804205575115,treat_2008,2008,FALSE,FALSE
