cut,version,treat_year,year,supplier_role,mean_share,n_cells,ci_lo,ci_hi
Top quartile by NACE4d input share,treat_2008,2008,2005,bot,0.454123319648592,44,0.318010596013744,0.588056283592621
Top quartile by NACE4d input share,treat_2008,2008,2006,bot,0.550120899154646,55,0.439056096183742,0.655314340953845
Top quartile by NACE4d input share,treat_2008,2008,2007,bot,0.511217343760437,57,0.405376462588835,0.624940374587854
Top quartile by NACE4d input share,treat_2008,2008,2008,bot,0.47779925749593,55,0.356743257019208,0.581578677604679
Top quartile by NACE4d input share,treat_2008,2008,2009,bot,0.330113600243484,52,0.217637359091433,0.453083743028892
Top quartile by NACE4d input share,treat_2008,2008,2010,bot,0.293519419406261,46,0.181408309380734,0.410405763537299
Top quartile by NACE4d input share,treat_2008,2008,2011,bot,0.364541026301364,48,0.244058429396801,0.495438940543139
Top quartile by NACE4d input share,treat_2008,2008,2012,bot,0.319212738986661,47,0.194817020632095,0.435379056988644
Top quartile by NACE4d input share,treat_2008,2008,2013,bot,0.279272059027274,46,0.184135044633396,0.38724537056284
Top quartile by NACE4d input share,treat_2008,2008,2014,bot,0.236178799992707,46,0.13646946543456,0.349304354707984
Top quartile by NACE4d input share,treat_2008,2008,2015,bot,0.234131113497168,47,0.141195593824205,0.338958792755648
Top quartile by NACE4d input share,treat_2008,2008,2016,bot,0.209292732383895,46,0.123294654715946,0.307009795919998
Top quartile by NACE4d input share,treat_2008,2008,2017,bot,0.186260411019858,43,0.0953338049093757,0.293755189955123
Top quartile by NACE4d input share,treat_2008,2008,2018,bot,0.225550060071454,41,0.129113679375972,0.33028042352437
Top quartile by NACE4d input share,treat_2008,2008,2019,bot,0.174646881105751,41,0.0782415074495608,0.278850849959537
Top quartile by NACE4d input share,treat_2008,2008,2020,bot,0.222406354719105,40,0.123058433351345,0.326993549726117
Top quartile by NACE4d input share,treat_2008,2008,2021,bot,0.172206287964819,38,0.0785953002351803,0.267274587551937
Top quartile by NACE4d input share,treat_2008,2008,2022,bot,0.164622674233471,37,0.0758461629091093,0.270856717720805
Top quartile by NACE4d input share,treat_2008,2008,2005,top,0.432815427920737,44,0.294795435689956,0.576584115243565
