h,est,se,tval,pval
-9,0.00643981358066407,0.00584708961471359,1.10137076819533,0.271540424073912
-8,0.00215495046425169,0.00471609820264625,0.456935027994652,0.648019292353636
-7,-0.00195836825733069,0.00505362589565905,-0.387517457319681,0.698623740631132
-6,0.000829656205807417,0.00494870360431046,0.167651221844194,0.866960676908083
-5,-0.00175768947913372,0.00430636445742369,-0.408160873635222,0.683421074705183
-4,-0.00141483112682992,0.00498406262693207,-0.283871057154195,0.776687759455673
-3,-0.00251134020635775,0.00433337308063501,-0.579534731865215,0.562625036411631
-2,-0.00252401221489919,0.00161299799691962,-1.56479562883485,0.118592157197208
0,-0.00292463178307888,0.00379575761532912,-0.77050014238733,0.441556202472146
1,-0.00514721670717934,0.00416162569214751,-1.23682836659037,0.217032945514549
2,-0.00506855204701568,0.00417388762218949,-1.21434799060471,0.225485770358227
3,-0.00306536007556422,0.00383492108590881,-0.799328071398315,0.424676905397857
4,0.000293302620537629,0.00400971494804687,0.0731479978846119,0.94173279757825
5,-0.00254296925081196,0.00404119908645159,-0.62926106742364,0.529614846590075
6,-0.00218748190283084,0.004197889229644,-0.521090906206773,0.60265399901082
7,-0.000640122187150797,0.00402398240044434,-0.159076785991935,0.873705984330573
