h,est,se,tval,pval
-14,-0.92059326171875,594.98992104637,-0.00154724177528884,0.998766201056199
-13,-0.912567138671875,549.209493354128,-0.00166160117353153,0.998675008857706
-12,-0.894561767578125,503.447986277174,-0.0017768702864284,0.998583091254304
-11,-0.879730224609375,457.682805528457,-0.00192213955600453,0.998467251029144
-10,-0.87884521484375,411.917785274444,-0.00213354520309972,0.998298672572596
-9,-0.436309814453125,366.041053793601,-0.00119196961633475,0.999049501431352
-8,-0.35479736328125,320.312876574408,-0.00110765875875999,0.999116732436444
-7,-0.290420532226563,274.571611914797,-0.00105772235593199,0.999156552631638
-6,-0.247222900390625,228.842756624094,-0.00108031778692792,0.99913853462403
-5,-0.144744873046875,183.04579108935,-0.000790757723438836,0.999369435114906
-4,-0.0178604125976563,137.311854244259,-0.000130071891432513,0.999896278249102
-3,0.0362930297851563,91.5295645054376,0.000396517015909107,0.999683809947454
-2,0.0200233459472656,45.7873334926408,0.000437311903093983,0.999651279346699
0,-0.0132064819335938,45.7612622798432,-0.000288595228270416,0.999769868787827
1,-0.0978851318359375,91.5243658454053,-0.00106949806132802,0.999147162469942
2,-0.15081787109375,137.329201507979,-0.00109822142295779,0.999124257939368
3,-0.196517944335938,183.100473341577,-0.00107327928076586,0.999144147256803
4,-0.255950927734375,228.831443281771,-0.00111851292839686,0.999108077124593
5,-0.227706909179688,274.594442983198,-0.000829248060178771,0.999338742212899
6,-0.247039794921875,320.363041704855,-0.000771124514261133,0.999385090997146
7,-0.248992919921875,366.125964419434,-0.000680074466493255,0.999457695983522
