h,est,se,tval,pval
-14,-0.74407737694577,0.0585349798307756,-12.711670510469,8.16661008864481e-26
-13,-0.755739709625764,0.0586287296794896,-12.8902623979272,2.67018589597359e-26
-12,-0.777497043137911,0.0552549240159536,-14.0710906219584,1.69074606850993e-29
-11,-0.762017825194533,0.0541452008334236,-14.0735986470687,1.66462098010563e-29
-10,-0.767942701271449,0.0531299294300514,-14.4540508430844,1.57522927207716e-30
-9,-0.289266161020311,0.0801203131557528,-3.61039728411921,0.000412269878687362
-8,-0.260844552447139,0.0742340337615866,-3.51381353308752,0.000579171085364093
-7,-0.254333455648416,0.0829162259475761,-3.06735446219198,0.00254927486776826
-6,-0.183626321663356,0.0684167089357429,-2.68393970595425,0.00806689149981595
-5,-0.0572586660071341,0.07542171771458,-0.759180084227454,0.448897829296951
-4,0.0584877692805856,0.07434579050186,0.786699137715435,0.432659169286455
-3,0.0653034903851008,0.0652565751855258,1.00071893444364,0.318522410508614
-2,0.0903473158358828,0.0707377937043539,1.27721421752969,0.203436510518958
0,0.0321016154764949,0.0599741428312769,0.535257595374146,0.593238855049904
1,-0.0642084374285064,0.0650675506823806,-0.986796594541143,0.325280255494184
2,-0.141466920315509,0.0750995265868194,-1.88372586013529,0.0614749950833332
3,-0.187004967584799,0.0675213887445572,-2.76956637092085,0.00629895433733109
4,-0.270248856523071,0.0803540571732397,-3.36322602778384,0.000970693041030023
