year,exp_q,mean_share_eu,se_share_eu,n,ci_lo,ci_hi
2000,Q4 (most EU),0,0,126,0,0
2001,Q4 (most EU),0,0,131,0,0
2002,Q4 (most EU),0,0,147,0,0
2003,Q4 (most EU),0,0,153,0,0
2004,Q4 (most EU),0,0,163,0,0
2005,Q4 (most EU),0.93973071215046,0.0155361088049642,170,0.909279938892731,0.97018148540819
2006,Q4 (most EU),0.926464322724873,0.0170425189175678,179,0.89306098564644,0.959867659803306
2007,Q4 (most EU),0.923076683326833,0.0161937282634964,193,0.89133697593038,0.954816390723286
2008,Q4 (most EU),0.933259681077818,0.0152317231135484,197,0.903405503775263,0.963113858380373
2009,Q4 (most EU),0.949262982202221,0.0137802688997247,214,0.92225365515876,0.976272309245681
2010,Q4 (most EU),0.954433422760783,0.0129346889298793,227,0.929081432458219,0.979785413063346
2011,Q4 (most EU),0.96845853046196,0.0102436165999766,230,0.948381041926006,0.988536018997915
2012,Q4 (most EU),0.943455956919429,0.0144969579112021,233,0.915041919413473,0.971869994425385
2013,Q4 (most EU),0.927521962330754,0.0159189985862707,218,0.896320725101663,0.958723199559844
2014,Q4 (most EU),0.925557154543182,0.0170659364627137,211,0.892107919076264,0.959006390010101
2015,Q4 (most EU),0.933499247980076,0.0158806275456019,187,0.902373217990697,0.964625277969456
2016,Q4 (most EU),0.916119147203352,0.0190490923192744,173,0.878782926257574,0.95345536814913
2017,Q4 (most EU),0.901576974545972,0.0217728630134832,161,0.858902163039545,0.944251786052399
2018,Q4 (most EU),0.892559678238032,0.0232877657480577,151,0.846915657371839,0.938203699104225
2011,Q3,0.840896235452081,0.0199395086592181,210,0.801814798480014,0.879977672424148
2012,Q3,0.837138706024995,0.0199743446269764,207,0.797988990556121,0.876288421493868
2013,Q3,0.862151847822438,0.0187012846491875,201,0.825497329910031,0.898806365734846
2014,Q3,0.790966278010209,0.0239197809393788,192,0.744083507369026,0.837849048651391
2017,Q3,0.845663548763465,0.0230311659546737,147,0.800522463492305,0.890804634034626
2006,Q1 (least EU),0.407804981636425,0.0362217461802451,143,0.336810359123145,0.478799604149706
2007,Q1 (least EU),0.354751981100979,0.0338581085943107,151,0.28839008825613,0.421113873945828
2008,Q1 (least EU),0.336645132783806,0.03273965633406,153,0.272475406369048,0.400814859198563
2009,Q1 (least EU),0.301814287050271,0.0292912564302061,187,0.244403424447067,0.359225149653475
2010,Q1 (least EU),0.234898248543323,0.0258434507818748,192,0.184245085010848,0.285551412075798
2011,Q1 (least EU),0.16013727865696,0.0212521038098309,203,0.118483155189691,0.201791402124228
2013,Q1 (least EU),0.173900503146813,0.0220420277772593,200,0.130698128703385,0.217102877590242
2014,Q1 (least EU),0.187403073936195,0.0225586953496548,198,0.143188031050871,0.231618116821518
2007,Q3,0.78246147295608,0.026349085742327,169,0.730817264901119,0.834105681011041
2008,Q3,0.819503433496051,0.0240398128292995,174,0.772385400350624,0.866621466641478
2009,Q3,0.856862545453781,0.0210696248401421,181,0.815566080767102,0.898159010140459
2010,Q3,0.859028673026696,0.0191225819920186,201,0.821548412322339,0.896508933731052
2000,Q2,0,0,91,0,0
2001,Q2,0,0,92,0,0
2003,Q2,0,0,109,0,0
2004,Q2,0,0,121,0,0
2005,Q2,0.663839983757018,0.035088852206084,129,0.595065833433093,0.732614134080943
2009,Q2,0.58739854624995,0.030121131594334,176,0.528361128325055,0.646435964174844
2010,Q2,0.527935517755281,0.0261387387759859,196,0.476703589754348,0.579167445756213
2011,Q2,0.573079474929582,0.0237655823282559,208,0.5264989335662,0.619660016292963
2012,Q2,0.575374981279564,0.0256450444905309,198,0.525110694078124,0.625639268481005
2013,Q2,0.565245684846094,0.0272096312835469,181,0.511914807530342,0.618576562161846
2016,Q2,0.581247947142176,0.0322463007569305,151,0.518045197658592,0.64445069662576
2002,Q2,0,0,110,0,0
2014,Q2,0.532673434617324,0.0285385129228063,182,0.476737949288624,0.588608919946024
2015,Q2,0.588117503811817,0.0295544499331297,169,0.530190781942883,0.646044225680751
2017,Q2,0.610776922871119,0.0330295892817628,142,0.546038927878864,0.675514917863374
2018,Q2,0.625060433885296,0.0331690330862965,137,0.560049129036154,0.690071738734437
2002,Q3,0,0,129,0,0
2006,Q3,0.823472196216393,0.0237369062436296,155,0.776947859978879,0.869996532453907
2018,Q3,0.857671567864758,0.0227335727474142,143,0.813113765279826,0.90222937044969
2000,Q3,0,0,114,0,0
2001,Q3,0,0,110,0,0
2003,Q3,0,0,135,0,0
2004,Q3,0,0,144,0,0
2005,Q3,0.797096796534765,0.0272793051752455,151,0.743629358391284,0.850564234678246
2015,Q3,0.843190262889589,0.0224964535332542,174,0.799097213964411,0.887283311814767
