year,n_buyers_active,n_buyers_ets_nace,share_buyers_ets_nace
2005,120047,110857,0.923446650062059
2006,123708,114767,0.927724965240728
2007,126041,116161,0.921612808530558
2008,127063,116991,0.920732235190417
2009,127432,118471,0.929680143135162
2010,125960,117463,0.932542076849794
2011,127007,118504,0.933050934200477
2012,128823,120119,0.932434425529603
2013,127382,118693,0.931787850716742
2014,129366,120331,0.930159392730702
2015,129097,120047,0.92989767384215
2016,129765,122439,0.943544098948098
2017,128690,121927,0.947447354106768
2018,130068,123419,0.948880585539871
2019,130236,123928,0.951564851500353
2020,123261,117139,0.950333033157284
2021,123296,117805,0.955464897482481
2022,121179,116331,0.95999306810586
