year,n_buyers,mean_share,median_share,aggregate_share,ci_lo,ci_hi
2005,120047,0.265301298250602,0.163219528575913,0.440794532151663,0.26371317433786,0.266997127923375
2006,123708,0.267821028212038,0.164573302315052,0.436849785715773,0.266354801601475,0.269245030224925
2007,126041,0.268365222772838,0.164260385247818,0.420296854849212,0.266773387576216,0.269909972917107
2008,127063,0.258606311359855,0.150586948114811,0.429511329950795,0.257114549845375,0.260025735536441
2009,127432,0.280028012627276,0.177327947131269,0.408980988547175,0.278508745137103,0.281535808464676
2010,125960,0.282435832707965,0.181377730456717,0.415667449495867,0.280683508968284,0.283888245866621
2011,127007,0.283717211271642,0.181743549651341,0.41876329736303,0.282220033991739,0.285304717866146
2012,128823,0.284982256173689,0.18344119490934,0.426630155366021,0.283398270265301,0.2865142872043
2013,127382,0.283294429241151,0.181158511971612,0.437261502855801,0.281815623193223,0.284878694137732
2014,129366,0.277412424974402,0.175411617944029,0.440402612085573,0.27592112675704,0.278840523268276
2015,129097,0.27486999424262,0.17320229153571,0.435301809874013,0.273312745714431,0.27647489595288
2016,129765,0.281120328902974,0.183089583701335,0.438151992694044,0.279662306970489,0.282786385780468
2017,128690,0.289270815979007,0.196206761175715,0.439990381114571,0.287756244289919,0.290708071392362
2018,130068,0.288496423229201,0.196421672516715,0.437847725065703,0.287035345891331,0.289935254340388
2019,130236,0.290649440626911,0.200118281763141,0.432546938491166,0.289149160134371,0.292174036981427
2020,123261,0.290084545577856,0.199150048000886,0.415489009318242,0.288534455494991,0.291561250890426
2021,123296,0.293339270968457,0.202668990683346,0.418101838663822,0.291776378950066,0.294996248345904
2022,121179,0.315619856664391,0.240604791165175,0.403432253981918,0.314092684569529,0.317073805016055
