interval,seller_nace4d,n_cells,mean_n_supp,p10_n_supp,p25_n_supp,median_n_supp,p75_n_supp,p90_n_supp,p99_n_supp,max_n_supp,share_eq_1,share_eq_2,share_3_to_5,share_6_to_10,share_ge_11,share_ge_2
interval_2006_07,4511,75186,2.7681616258346,1,1,2,3,5,18,560,0.472202271699519,0.22913840342617,0.205357380363366,0.0625515388503179,0.0307504056606283,0.527797728300481
interval_2006_07,4673,64134,4.95824367730065,1,1,3,6,11,35,164,0.327766863130321,0.161801852371597,0.238516231640004,0.161100196463654,0.110814856394424,0.672233136869679
interval_2006_07,4671,63650,1.71321288295365,1,1,1,2,3,7,58,0.621382560879812,0.215820895522388,0.141948153967007,0.0188059701492537,0.00204241948153967,0.378617439120189
interval_2006_07,3821,51547,1.53803325120764,1,1,1,2,3,6,70,0.691563039556133,0.20777154829573,0.0858245872698702,0.0116592624207034,0.003181562457563,0.308436960443867
interval_2006_07,8122,46052,1.81896551724138,1,1,1,2,3,10,79,0.631546946929558,0.211130895509424,0.1234039781117,0.0254277772952315,0.00849040215408669,0.368453053070442
interval_2006_07,4322,41939,1.70106583371087,1,1,1,2,3,9,119,0.67853310760867,0.195212093755216,0.100336202579938,0.0185030639738668,0.00741553208231002,0.32146689239133
interval_2006_07,4675,31300,2.15792332268371,1,1,1,2,4,13,42,0.566198083067093,0.211661341853035,0.161629392971246,0.0438338658146965,0.0166773162939297,0.433801916932907
interval_2006_07,7112,26958,2.4157578455375,1,1,1,2,5,19,140,0.613176051635878,0.173714667260183,0.136323169374583,0.0474070776763855,0.0293790340529713,0.386823948364122
interval_2006_07,3511,20910,1.01645145863223,1,1,1,1,1,2,4,0.984839789574366,0.0140602582496413,0.00109995217599235,0,0,0.0151602104256337
interval_2006_07,4638,18382,1.94483734087694,1,1,1,2,4,10,46,0.585464040909586,0.212599281906213,0.164399956479164,0.0281797410510282,0.00935697965400936,0.414535959090415
interval_2006_07,2599,16011,1.39491599525326,1,1,1,1,2,5,21,0.754418837049529,0.165261382799325,0.0721379051901818,0.00755730435325714,0.000624570607707201,0.245581162950472
interval_2006_07,6311,15500,1.19374193548387,1,1,1,1,2,4,15,0.866129032258064,0.100322580645161,0.0303870967741935,0.00290322580645161,0.000258064516129032,0.133870967741936
interval_2006_07,1392,14994,1.49072962518341,1,1,1,2,3,7,17,0.742630385487528,0.150927037481659,0.0891690009337068,0.0153394691209817,0.00193410697612378,0.257369614512472
interval_2006_07,2229,14653,1.58636456698287,1,1,1,2,3,7,19,0.692554425714871,0.177711048931959,0.110284583361769,0.017539070497509,0.00191087149389204,0.307445574285129
interval_2006_07,4211,14367,2.33110600682119,1,1,1,2,4,21,141,0.66457854806153,0.155634440036194,0.110043850490708,0.0367508874504072,0.032992273961161,0.33542145193847
interval_2006_07,3311,14254,1.56299985968851,1,1,1,2,3,7,28,0.705626490809597,0.176090921846499,0.100813806650765,0.0143117721341378,0.00315700855900098,0.294373509190403
interval_2006_07,1107,13294,1.15209869113886,1,1,1,1,2,3,7,0.877914848803972,0.103505340755228,0.0178275913946141,0.000752219046186249,0,0.122085151196028
interval_2006_07,2363,13234,2.26137222306181,1,1,1,2,5,13.6700000000001,42,0.572238174399275,0.182182257820765,0.171225630950582,0.0541030678555237,0.0202508689738552,0.427761825600725
interval_2006_07,2361,12478,3.03133514986376,1,1,1,3,7,26,56,0.568200032056419,0.158919698669659,0.146658118288187,0.0655553774643372,0.0606667735213977,0.431799967943581
interval_2006_07,5221,11968,1.1641878342246,1,1,1,1,2,4,18,0.889204545454545,0.0830548128342246,0.024649064171123,0.00275735294117647,0.000334224598930481,0.110795454545455
interval_2006_07,4676,11401,2.84571528813262,1,1,1,1,2,54,192,0.772300675379353,0.140338566792387,0.0455223226032804,0.00850802561178844,0.0333304096131918,0.227699324620647
interval_2006_07,4646,11235,6.33422340898976,1,1,1,8,21,32,165,0.524432576769025,0.100934579439252,0.086070315976858,0.0610591900311527,0.227503337783712,0.475567423230975
interval_2006_07,1610,11087,1.53152340579057,1,1,1,1,2,9,36,0.76873816181113,0.131324975196176,0.0734193199242356,0.0202940380625958,0.00622350500586272,0.23126183818887
interval_2006_07,2561,10595,1.97753657385559,1,1,1,2,4,9,36,0.592826805096744,0.184804152902312,0.172439830108542,0.0457763095799906,0.00415290231241152,0.407173194903256
interval_2006_07,2011,10560,1.19204545454545,1,1,1,1,2,4,8,0.859090909090909,0.107481060606061,0.0317234848484849,0.00170454545454545,0,0.140909090909091
interval_2006_07,4751,10402,1.16150740242261,1,1,1,1,2,3,25,0.875985387425495,0.0992116900596039,0.0240338396462219,0.000672947510094213,9.61353585848875e-05,0.124014612574505
interval_2006_07,3514,9870,1.10658561296859,1,1,1,1,1,3,15,0.93515704154002,0.0495440729483283,0.0119554204660588,0.00253292806484296,0.000810536980749747,0.0648429584599797
