year,n_cells,mean_n_supp,p10_n_supp,p25_n_supp,median_n_supp,p75_n_supp,p90_n_supp,p99_n_supp,max_n_supp,share_eq_1,share_eq_2,share_3_to_5,share_6_to_10,share_ge_11,share_ge_2
2005,640439,1.85067274166627,1,1,1,2,3,13,443,0.712119343138066,0.14771430222082,0.0965337838576352,0.0286069399271437,0.0150256308563345,0.287880656861934
2006,695027,1.87055610789221,1,1,1,2,3,14,488,0.708503410658866,0.148657534167737,0.0983817894844373,0.0287384518874806,0.0157188138014782,0.291496589341133
2007,685373,1.88494294347749,1,1,1,2,3,14,491,0.709215274018673,0.148532259076445,0.0957405675449719,0.0303586514204674,0.0161532479394432,0.290784725981327
2008,693176,1.90216914607546,1,1,1,2,3,14,518,0.701178344316595,0.152871709349429,0.0984194490288181,0.0312171800523965,0.0163133172527612,0.298821655683405
2009,666081,1.99663854696351,1,1,1,2,3,15,1122,0.693822523086532,0.15016041592539,0.104954202266691,0.03182645954471,0.0192363991766767,0.306177476913468
2010,663854,2.01803257945271,1,1,1,2,4,16,1116,0.688860803730941,0.15155290169224,0.107365474938767,0.0325327556962826,0.0196880639417703,0.311139196269059
2011,664682,2.05225355884468,1,1,1,2,4,16,1214,0.680272671743781,0.154204566995947,0.111603744346921,0.0337680274176223,0.0201509894957288,0.319727328256219
2012,663622,2.05241688792716,1,1,1,2,4,16,1226,0.681264334214357,0.155252538342611,0.110153069066426,0.0328304366039703,0.0204996217726356,0.318735665785643
2013,654240,2.04136861090731,1,1,1,2,4,16,1196,0.684068537539741,0.154252262166789,0.108761310833945,0.0327112374663732,0.0202066519931524,0.315931462460259
2014,671758,2.02009950011761,1,1,1,2,3,16,1235,0.689339017920144,0.152736550960316,0.105916118602235,0.0322348226593505,0.0197734898579548,0.310660982079856
2015,674395,2.02947085906628,1,1,1,2,3,15,1231,0.684963559931494,0.155118291209158,0.107184958370095,0.0324261004307565,0.0203070900584969,0.315036440068506
2016,722195,1.9692036084437,1,1,1,2,3,15,1205,0.70259694403866,0.147663719632509,0.100579483380527,0.0303311432507841,0.0188287096975194,0.29740305596134
2017,740926,1.95296966228746,1,1,1,2,3,15,1222,0.703796330537733,0.148804334036058,0.098889767669106,0.0301852006813096,0.0183243670757943,0.296203669462268
2018,764985,1.92188212840774,1,1,1,2,3,15,1213,0.70956554703687,0.14660679621169,0.0973992954110211,0.0289208285129774,0.0175075328274411,0.29043445296313
2019,773377,1.91558192188286,1,1,1,2,3,14,1183,0.708627228376329,0.147058937620333,0.0981914383282668,0.0288113041892893,0.0173110914857825,0.291372771623671
2020,733967,1.89843821316218,1,1,1,2,3,14,1119,0.711959802007447,0.146155072367014,0.0964593776014453,0.0285135435244364,0.0169122044996573,0.288040197992553
2021,753324,1.91884102988887,1,1,1,2,3,15,1066,0.709040200498059,0.14822971258051,0.0968613770436094,0.0283636257440358,0.0175050841337857,0.290959799501941
2022,750883,1.9219452298161,1,1,1,2,3,15,1052,0.70730992711248,0.149168379095012,0.0973480555559255,0.028654264379404,0.0175193738571788,0.29269007288752
