year,n_buyers_in_ets_nace,n_buyers_in_ets_firm_year,n_buyers_in_ets_firm_ever,share_year,share_ever
2005,110857,29166,29166,0.263095699865593,0.263095699865593
2006,114767,38699,38699,0.337196232366447,0.337196232366447
2007,116161,38799,38799,0.334010554316853,0.334010554316853
2008,116991,27414,27414,0.234325717362874,0.234325717362874
2009,118471,31282,31282,0.264047741641414,0.264047741641414
2010,117463,29612,29612,0.252096404825349,0.252096404825349
2011,118504,26722,26722,0.225494498076014,0.225494498076014
2012,120119,27421,27421,0.228281953729219,0.228281953729219
2013,118693,25472,25472,0.214604062581618,0.214604062581618
2014,120331,25311,25311,0.210344798929619,0.210344798929619
2015,120047,22386,22386,0.186476963189417,0.186476963189417
2016,122439,53797,53797,0.439377975971708,0.439377975971708
2017,121927,53241,53241,0.436662921256161,0.436662921256161
2018,123419,53165,53165,0.430768358194443,0.430768358194443
2019,123928,52746,52746,0.425618100832742,0.425618100832742
2020,117139,49203,49203,0.420039440323035,0.420039440323035
2021,117805,47897,47897,0.406578668138025,0.406578668138025
2022,116331,48658,48658,0.418271999724923,0.418271999724923
