version,treat_year,base_year,year,group,mean_R,n_cells,ci_lo,ci_hi,universe
treat_2008,2008,2007,2005,Placebo (no EUTL supplier),0.544937869210116,1004217,0.544263868708424,0.545676115828386,anyNACE4d
treat_2008,2008,2007,2006,Placebo (no EUTL supplier),0.531632289885151,1208717,0.530980130779295,0.532280135296732,anyNACE4d
treat_2008,2008,2007,2007,Placebo (no EUTL supplier),6.54215434580752e-19,1216940,6.36970549275825e-19,6.71284700765392e-19,anyNACE4d
treat_2008,2008,2007,2008,Placebo (no EUTL supplier),0.41403959245286,1057809,0.413413541820647,0.414655616699559,anyNACE4d
treat_2008,2008,2007,2009,Placebo (no EUTL supplier),0.599092573052924,869097,0.598300291535702,0.599795576287676,anyNACE4d
treat_2008,2008,2007,2010,Placebo (no EUTL supplier),0.635155151319785,817320,0.634323614141653,0.635929506846573,anyNACE4d
treat_2008,2008,2007,2011,Placebo (no EUTL supplier),0.673720326920673,773762,0.672953966852972,0.674534137145081,anyNACE4d
treat_2008,2008,2007,2012,Placebo (no EUTL supplier),0.69826286642249,737009,0.697476663648749,0.699059886233908,anyNACE4d
treat_2008,2008,2007,2013,Placebo (no EUTL supplier),0.719819609895635,697006,0.71898875575874,0.720588941819891,anyNACE4d
treat_2008,2008,2007,2014,Placebo (no EUTL supplier),0.745028337920768,665715,0.744227016976932,0.745797000599873,anyNACE4d
treat_2008,2008,2007,2015,Placebo (no EUTL supplier),0.763071888837373,635110,0.762271396923788,0.76385167682924,anyNACE4d
treat_2008,2008,2007,2016,Placebo (no EUTL supplier),0.779148586696754,606076,0.778371349425962,0.77985801257793,anyNACE4d
treat_2008,2008,2007,2017,Placebo (no EUTL supplier),0.795630520357703,577127,0.79485331485169,0.796391547614372,anyNACE4d
treat_2008,2008,2007,2018,Placebo (no EUTL supplier),0.806922768589204,556907,0.806102400542203,0.807665355703637,anyNACE4d
treat_2008,2008,2007,2019,Placebo (no EUTL supplier),0.820051623153209,533538,0.819261441134521,0.820805306732391,anyNACE4d
