version,treat_year,norm_year,year,supplier_role,group,mean_share,n_cells,ci_lo,ci_hi
treat_2008,2008,2007,2005,Bottom-omega supplier,All cells,0.336020269209091,4008,0.325446280058871,0.346769596161273
treat_2008,2008,2007,2006,Bottom-omega supplier,All cells,0.415589686868105,4331,0.405299235914133,0.425318200912678
treat_2008,2008,2007,2007,Bottom-omega supplier,All cells,0.392550108236644,4339,0.382848475805892,0.402391113946818
treat_2008,2008,2007,2008,Bottom-omega supplier,All cells,0.344632061417297,4086,0.334644217392445,0.353623440098591
treat_2008,2008,2007,2009,Bottom-omega supplier,All cells,0.284340867706261,3826,0.274242217630259,0.295077312538049
treat_2008,2008,2007,2010,Bottom-omega supplier,All cells,0.266172225626907,3594,0.255130513238436,0.276709938450037
treat_2008,2008,2007,2011,Bottom-omega supplier,All cells,0.265556237160649,3397,0.253656331381613,0.275758745386021
treat_2008,2008,2007,2012,Bottom-omega supplier,All cells,0.268090740891326,3295,0.256353434944782,0.279477473460176
treat_2008,2008,2007,2013,Bottom-omega supplier,All cells,0.261442766002659,3183,0.249720516179425,0.273039297349446
treat_2008,2008,2007,2014,Bottom-omega supplier,All cells,0.25559034298279,3078,0.242878705076636,0.267719223235705
treat_2008,2008,2007,2015,Bottom-omega supplier,All cells,0.248099456360249,2890,0.235004612088051,0.260603524406156
treat_2008,2008,2007,2016,Bottom-omega supplier,All cells,0.242905429685626,2745,0.231100848609043,0.255460861525484
treat_2008,2008,2007,2017,Bottom-omega supplier,All cells,0.2352874222817,2648,0.222707154725024,0.248416263574015
treat_2008,2008,2007,2018,Bottom-omega supplier,All cells,0.228051241145882,2526,0.214151332576864,0.242624136203525
treat_2008,2008,2007,2019,Bottom-omega supplier,All cells,0.215463908267409,2433,0.203141341852072,0.228176989636122
treat_2008,2008,2007,2020,Bottom-omega supplier,All cells,0.20825008840546,2279,0.193864494430975,0.222366756400564
treat_2008,2008,2007,2021,Bottom-omega supplier,All cells,0.193486213816292,2167,0.179550046612209,0.207180294027444
treat_2008,2008,2007,2022,Bottom-omega supplier,All cells,0.187992453985642,2103,0.174455034013002,0.20118413579676
treat_2008,2008,2007,2005,Bottom-omega supplier,Other (Q1-Q3),0.346154301317931,2994,0.332824306760125,0.358733704264994
