label,h,est,se,tval,pval
full,-9,-27191.4793434063,8869.9399295082,-3.06557649313347,0.00281420840726036
full,-8,-7419.46485630179,6760.90549176584,-1.09740697682256,0.275180302679542
full,-7,-10497.0447977199,7328.65706956676,-1.43232855597929,0.15526456646412
full,-6,-9806.72844434593,6863.21949492916,-1.4288816570112,0.156250661662698
full,-5,-6321.31447930149,4650.55395336883,-1.35926054028948,0.177215833596975
full,-4,-6459.15267173587,4466.9256076543,-1.44599512932738,0.151401980897938
full,-3,-6177.86717028082,4041.97230385116,-1.52842887230934,0.129660607243595
full,-2,-2120.63983162456,2859.33751675166,-0.741654253546712,0.460088776539398
full,0,8552.14946498675,4201.95853147843,2.03527697879915,0.0445508433958241
full,1,1300.1156157108,2254.41989951037,0.576696300451023,0.565480544707001
full,2,-1117.64599632811,3190.71621814226,-0.350280601569398,0.726887607631408
full,3,-1892.17391273901,3065.52316660625,-0.617243390410839,0.538520442113948
full,4,-3405.01743401625,2652.18441710936,-1.28385394773091,0.20225136085207
full,5,-4970.73582127532,3558.52114506621,-1.3968543725438,0.165645032420467
full,6,-16219.7047669805,5518.5253169135,-2.93913751147781,0.00411345759038214
full,7,-8111.9658893406,6127.35799475132,-1.32389292355519,0.188650058271015
intensive_only,-9,6539.17158378496,3675.8832483367,1.77893886775209,0.085058242640845
intensive_only,-8,-5333.71293192864,2617.64106849089,-2.03760286164964,0.0502020487006184
intensive_only,-7,-3557.86738643132,2455.07604057365,-1.44918826449057,0.157326410153282
intensive_only,-6,-6590.59363735099,1878.15824610242,-3.50907259866301,0.00139860100191466
intensive_only,-5,-64.471585756377,5497.61227762293,-0.0117271976452027,0.990718412518531
intensive_only,-4,1127.63062903289,2638.14761352897,0.427432727134055,0.672018679352226
intensive_only,-3,-6306.59102720888,1345.05903997692,-4.68870944677425,5.2318223653587e-05
intensive_only,-2,3521.51589737345,911.445972985121,3.86365840845175,0.000532830288129371
intensive_only,0,-6919.40787666831,1371.35290390577,-5.04567996827151,1.88421016801209e-05
intensive_only,1,-9090.81225881251,1197.79219663119,-7.58964057737272,1.47948739835785e-08
intensive_only,2,5570.21032951233,1578.4331381948,3.52894918050364,0.00132591854356234
intensive_only,3,15004.6059214304,1790.04118239269,8.38226855841061,1.81193163704453e-09
intensive_only,4,11958.8686067286,3216.16057503565,3.71836801295162,0.000793756038792034
intensive_only,5,12179.280741942,2571.19682755809,4.73681384925667,4.56064972825607e-05
intensive_only,6,5015.6965017828,2531.98773104086,1.98093238774144,0.0565301793714793
intensive_only,7,7234.99030448908,9018.06393965426,0.802277556790805,0.428500234398771
