h,est,se,tval,pval
-9,-0.00385959149281417,0.0022671512293474,-1.70239701827264,0.0892751815933912
-8,-0.00367501179037711,0.00212395429049307,-1.73026877594619,0.0841721633106154
-7,-0.00288799465847574,0.00194762985533558,-1.48282521474191,0.138723167244478
-6,-0.00434955403920676,0.00205276173591323,-2.11887914856895,0.0345714109906324
-5,-0.0011170654255214,0.00140209718990638,-0.796710408923928,0.425980748384243
-4,-0.000495115511124497,0.001163875568403,-0.425402443840163,0.670718309024684
-3,-0.000258259536309702,0.00128504129896194,-0.200973724749799,0.840797252802669
-2,0.000505889212072094,0.000542810277241454,0.931981639410015,0.351776035907174
0,-0.000727881096072855,0.00063861203785372,-1.13978605620896,0.254897169081081
1,-0.0011840576520434,0.00112259728917529,-1.05474836208918,0.292027431581079
2,-0.0017971621803237,0.00125223325925809,-1.43516566664941,0.151837632991815
3,-0.0010259373285003,0.00107338729195957,-0.955794181825414,0.339617805341981
4,-0.00147972370881978,0.0011512993714595,-1.28526406380638,0.199268879445454
5,-0.00148704796551084,0.00138401175544027,-1.07444749632043,0.283117612407284
6,-0.00233982868019516,0.00183556779307085,-1.27471656946034,0.20297561245771
7,-0.00210991415486243,0.00205551275953157,-1.02646609469029,0.305146442715702
