h,est,se,tval,pval
-14,0.117300386860555,0.0321394236475366,3.64973523318131,0.000294948036245351
-13,0.0454369023372329,0.0306505962721771,1.48241495642543,0.138965818429055
-12,-0.0164375359949406,0.0292348615215143,-0.562258041921767,0.574234566629665
-11,-0.0814738197261491,0.0300159801369623,-2.7143481357059,0.00690901002740146
-10,-0.160362852377186,0.0299134026512919,-5.36090307901699,1.35697939777287e-07
-9,0.202318306029971,0.0443532929605501,4.5615171394359,6.6413851298632e-06
-8,0.203976137161513,0.046277942357406,4.40763194668852,1.3229569591122e-05
-7,0.188575046077943,0.0504794265756642,3.73568122441498,0.000212562946625869
-6,0.151908957959518,0.0379714250391462,4.00061250803492,7.44356120671999e-05
-5,0.174565549395698,0.0380650034276089,4.58598538491352,5.94138129241693e-06
-4,0.221622950371184,0.0374397097164526,5.91946230485312,6.63015116167971e-09
-3,0.195962767740065,0.0371602740860717,5.27344785687452,2.12951418760932e-07
-2,0.099858697987885,0.0367463184933591,2.71751571537518,0.00684435381776947
0,-0.0930327621927791,0.030429331561413,-3.05733834491299,0.00237311455041793
1,-0.257544035845905,0.0352478538898842,-7.3066586309193,1.35165151980534e-12
2,-0.390292256184761,0.035129033054286,-11.1102476285536,2.27141462781253e-25
3,-0.515820329833302,0.0386010244595374,-13.3628663242863,2.76787724097367e-34
4,-0.655096155739795,0.0428987553771902,-15.2707496984427,2.44772931983168e-42
5,-0.706652933416071,0.0381997751183393,-18.4988767925185,1.43108310961426e-56
6,-0.805791146932218,0.0426732453363057,-18.8828185103293,2.72192332648296e-58
7,-0.887614976895494,0.0489466975583532,-18.1343179657279,6.11085836527631e-55
