h,est,se,tval,pval
-14,-0.826271052055885,0.0321394252388119,-25.7089554625287,7.99772985194038e-89
-13,-0.825552118200271,0.0306505982403885,-26.9342905389832,3.52217312339894e-94
-12,-0.814844138155019,0.0292348627894662,-27.8723435106602,3.080789273786e-98
-11,-0.807298003508071,0.0300159814728537,-26.89560573717,5.18776735655725e-94
-10,-0.81360461778038,0.0299134047296107,-27.198663112227,2.50744218435823e-95
-9,-0.378341040995614,0.0443532913047644,-8.53016833397825,2.55033842151831e-16
-8,-0.30410079148533,0.0462779413596275,-6.57118235061824,1.45316995964235e-10
-7,-0.246919464190822,0.0504794262893692,-4.89148713330012,1.41901635509465e-06
-6,-0.211003133931612,0.0379714255108479,-5.55689261313962,4.83619049941996e-08
-5,-0.115764124117119,0.0380650030071586,-3.0412219879596,0.00250101856846435
-4,0.00387569523649411,0.0374397107014094,0.103518300859846,0.917600112778423
-3,0.0507979309836685,0.0371602738930763,1.36699560207313,0.172344235574558
-2,0.0272762796092843,0.0367463185546468,0.742286048838356,0.458321206520174
0,-0.0204503438144608,0.0304293331392886,-0.672060203253565,0.501907985818244
1,-0.112379199090389,0.0352478542058449,-3.18825646616962,0.00153640091711611
2,-0.172545001051228,0.0351290317370847,-4.91174941406304,1.2869800159821e-06
3,-0.225490656321341,0.0386010238074074,-5.84157190872411,1.02472076593896e-08
4,-0.292184063850062,0.0428987548746507,-6.8110150213874,3.29558387224539e-11
5,-0.271158423148286,0.0381997748824398,-7.09842987250002,5.27889450981447e-12
6,-0.297714218286273,0.0426732458804794,-6.97660119692139,1.15541177262484e-11
7,-0.306955629871387,0.0489466973454671,-6.27122250363259,8.7680938213151e-10
