spec,term,estimate,se,tval,pval
col1,treat_p1,0.00105896994620922,0.00131179344011106,0.807268822841166,0.420403789369611
col1,treat_p2,-0.000712070170401077,0.00186802762336028,-0.381188244486545,0.703439983975779
col1,treat_p3,-0.00127870087954153,0.00217632776968528,-0.587549769548932,0.557451093181376
col1,treat_yearc,0.000163830283192237,8.49818764303342e-05,1.92782614451377,0.0551941752192993
col2,treat_p1,0.0010589699461964,0.00131179380007474,0.807268601312237,0.420403916693895
col2,treat_p2,-0.000712070170424409,0.00186802809659224,-0.381188147931718,0.703440055511104
col2,treat_p3,-0.00127870087956434,0.00217632911914861,-0.587549405240953,0.557451337329341
col2,treat_yearc,0.000163830283193098,8.49819795973836e-05,1.92782380416733,0.0551944682140254
col3,treat_p1,0.000270462521818841,0.00109751470394649,0.246431797994416,0.805598235626588
col3,treat_p2,-0.00190798578162822,0.00158389097696725,-1.2046193894491,0.229759744178603
col3,treat_p3,-0.00248556695601559,0.00182576173554753,-1.36138626832936,0.174908257794718
col3,treat_yearc,0.000192042694684012,7.68294647007371e-05,2.49959693760785,0.0132297013255748
col4,treat_p1,-0.00208756907032863,0.00141879468145958,-1.47136798411244,0.142653759333124
col4,treat_p2,-0.00491882723577519,0.00204809584421992,-2.40165871614699,0.0171715197730436
col4,treat_p3,-0.00503389659651005,0.00230632628029912,-2.18264719936209,0.0301448807997558
col4,treat_yearc,0.000254663243017309,0.0001230214211993,2.0700723543483,0.0396403022516037
col5,treat_p1,-0.00262116501694249,0.00123166196838897,-2.12815292199938,0.0345362799669978
col5,treat_p2,-0.00597121853159671,0.00174039450960789,-3.43095688858614,0.00072928277258407
col5,treat_p3,-0.00616087421671646,0.00190775070671992,-3.22939165741897,0.00144799758142652
col5,treat_yearc,0.000268666216347887,0.000114053377162562,2.35561824675259,0.019450100618874
col6,treat_p1,0.00176677674597934,0.0013750673238545,1.28486563190726,0.200221758637939
col6,treat_p2,0.000356092083355076,0.00195501750258027,0.182142657487772,0.855642391031129
col6,treat_p3,-0.000280599593331982,0.00230457907235053,-0.121757416223427,0.903204863938888
col6,treat_yearc,0.000133089640275625,8.5550910067351e-05,1.55567766807914,0.121255521688023
